"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-1-1","1","1","40m Pre-Calculus: Part 2 - Lesson 1","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-1-2","1","2","40m Pre-Calculus: Part 2 - Lesson 2","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-1-3","1","3","40m Pre-Calculus: Part 2 - Lesson 3","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-1-4","1","4","40m Pre-Calculus: Part 2 - Lesson 4","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-1-5","1","5","40m Pre-Calculus: Part 2 - Lesson 5","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-2-1","2","1","40m Pre-Calculus: Part 2 - Lesson 6","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-2-2","2","2","40m Pre-Calculus: Part 2 - Lesson 7","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-2-3","2","3","40m Pre-Calculus: Part 2 - Lesson 8","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-2-4","2","4","40m Pre-Calculus: Part 2 - Lesson 9","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-2-5","2","5","40m Pre-Calculus: Part 2 - Lesson 10","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-3-1","3","1","40m Pre-Calculus: Part 2 - Lesson 11","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
"alveary-rec0fRv1pQK8DzhYA","alveary-tracker-rec0fRv1pQK8DzhYA-3-2","3","2","40m Pre-Calculus: Part 2 - Lesson 12","<p>recdGWTJpxfs2vFXW</p>","","","Lesson","0","FALSE"
