"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec14GWBf7XrqDiYY","alveary-recVdjURPHkwTueDH","1","1","15m Grammar: Grade 4 - Lesson 1","<p>Introduction  <br>⍞ Materials: Grammar Island</p><p>➜ INTRO<br>Did you know that sentences do not occur in nature? Language comes from us; it is ourselves, in words!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.5-8</p><p>➜ DISCUSS<br>How is a word different from a random group of letters, like &quot;dixerp?&quot;</p><p>Parts of Speech: Noun and Verb<br>Parts of Sentence: Subject and Predicate<br>Phrases: No Subject Predicate allowed<br>Clauses: Subject Predicate required</p>","<p>★ TEACHER TIP<br> The key to explaining the four levels of grammar revolves around the noun and the verb.</p>","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recijKOCyndKsA9kC","1","2","15m Grammar: Grade 4 - Lesson 2","<p>What Is Grammar? <br>⍞ Materials: Grammar Island</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.9-11</p><p>➜ DISCUSS<br>Think about a team sport. How are the players different from the game? How could this idea be applied to language?</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recEfubndbgQgvpCV","2","1","15m Grammar: Grade 4 - Lesson 3","<p>The Parts of Speech  <br>⍞ Materials: Grammar Island</p><p>➜ INTRO<br>What do we mean when we say the &quot;parts of a bird&quot;? [the small bits that make up the whole bird] Our language has parts that make up the whole, too.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.13-19</p><p>➜ DIAGRAM<br>Copy the diagram on p.17. Color the parts with crayons or colored pencils to match the drawing. Which parts seem most important?</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recQo5TFvzC0xMp1i","2","2","15m Grammar: Grade 4 - Lesson 4","<p>Nouns <br>⍞ Materials: Grammar Island</p><p>➜ RECAP<br>What are the two main kinds of words? [nouns and verbs]</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.20-21</p><p>➜ PLAY<br>What would it be like if you could only talk in nouns? Try it! Can it work? [Remember, you can only use words that NAME things!]</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recDphrPklxPqUkPh","3","1","15m Grammar: Grade 4 - Lesson 5","<p>Pronouns<br>⍞ Materials: Grammar Island</p><p>➜ INTRO<br>How do we know when to use the word &quot;I&quot; and when to use &quot;me&quot;? Think of a sentence with each.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.22-24</p><p>➜ DISCUSS<br>The prefix &quot;pro&quot; means &quot;for.&quot; A &quot;Pro-noun&quot; is a word you use &quot;for a noun.&quot; &quot;Ante&quot; means &quot;before,&quot; and &quot;cede&quot; means &quot;to go.&quot; So, the noun that &quot;went before&quot; the pronoun is called its &quot;antecedent.&quot;<br>Read the left column on p.24 aloud and time it; read the right column aloud and time it. Pronouns are quick!</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-rec2maYzsXHaD0nG9","3","2","15m Grammar: Grade 4 - Lesson 6","<p>Subject Pronouns<br>⍞ Materials: Grammar Island</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.25-27</p><p>➜ WRITE<br>Copy the lists of subject pronouns and object pronouns. Look at the last narration you wrote. Did you use any pronouns? Circle them with an aqua pencil.</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recjaFzdoBY8b8Fgs","4","1","15m Grammar: Grade 4 - Lesson 7","<p>Nouns &amp; Pronouns<br>⍞ Materials: Grammar Island</p><p>➜ INTRO<br>Two of the subject pronouns are &quot;he&quot; and &quot;she.&quot; How do we know when to use which?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.28-29</p><p>➜ DISCUSS<br>&quot;She&quot; is a feminine pronoun, so it needs to replace a feminine noun.</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recFAZN7X5dV39n95","4","2","15m Grammar: Grade 4 - Lesson 8","<p>Adjectives<br>⍞ Materials: Grammar Island</p><p>➜ INTRO<br>Quick! List as many kinds of tables as you can think of in one minute! Can you imagine if there was a whole separate noun for each one of these?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.30-33</p><p>➜ DISCUSS<br>Good writers use adjectives when they are needed. Too many adjectives make sentences too wordy and spoil the story.<br>Adjectives do not &quot;describe&quot; nouns from a distance but actually change them. The old car is a different car from the sports car. Adjectives modify.</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recxtKIgYggezNyLL","5","1","15m Grammar: Grade 4 - Lesson 9","<p>Adjectives (cont.)<br>⍞ Materials: Grammar Island<br> <br>➜ PRACTICE<br>Complete the activity on p.34 of Grammar Island. Why are some adjectives funny and others not funny?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.35-36</p><p>➜ PRACTICE<br>Draw a purple box around each of the seven adjectives that modify the word &quot;duck.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recAz3QUDwMPJ4Z3P","5","2","15m Grammar: Grade 4 - Lesson 10","<p>Practice<br>⍞ Materials: Grammar Island<br> <br>➜ PRACTICE<br>Follow the instructions. Use a purple box for the adjective and an aqua circle for the pronouns. <br>Grammar Island p.37-38</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.39-41</p>","","","Lesson","0","FALSE"
"alveary-rec14GWBf7XrqDiYY","alveary-recrdJTbvZmOKPDhl","6","1","15m Grammar: Grade 4 - Lesson 11","<p>Practice<br>⍞ Materials: Grammar Island<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>Grammar Island p.42</p><p>➜ PRACTICE<br>Follow the instructions. Note that, for now, not every word will get a label. Check your work using the answer key and review any difficult concepts.<br>Grammar Island p.43</p>","","","Lesson","0","FALSE"
