"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec159tgRVDCh4xdi","alveary-rec0Uao0B80fz7KIG","1","1","15m Poetry Study: Grade 11 - Lesson 1","<p>⍞ Materials: The Word Made Fresh</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.87-89 &quot;in the introduction&quot; - &quot;dynamic surprise.&quot;</p><p>• What do you think about the idea of poetry as friendship?<br>• Throughout this course, keep a personal anthology of poems that you've read and liked in your journal. Van Engen starts his book by encouraging us to browse an anthology until we come across a poem that we resonate with in some way, and then to start noticing what poems we like, expanding our circle of friends.</p>","<p>★ TEACHER NOTE<br>If you are jumping into this course, feel free to read the previous chapters on your own time. However, several sections in the upcoming chapter review some of the previous concepts, so it is perfectly fine to start here!</p>","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-reckzuLlWqRNicmOJ","1","2","15m Poetry Study: Grade 11 - Lesson 2","<p>⍞ Materials: Journal</p><p>➜ REFLECT<br>Journal about this quote and reflection questions from p.263, &quot;Ch.4, Think of Poetry Like Friendship, #1&quot;: <br>&quot;If we think of approaching a poem like we might approach a friend, it changes the way we read it. We will pass over many people, many poems, until we find something we share. And very often that shared ground will nourish some form of pleasure or delight. But a good friend, in the end, always brings more than we bargained for. The more we spend time together and the more we converse, the more layers our conversations reveals (88).&quot;</p><p>•Have you experienced a good friendship? Are you open to being surprised, nourished, challenged, and confronted? When has that happened? What does that look like? Have you experienced any sort of book or poem as a good friend before?</p>","","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-rec6exB5eGxwDTHfK","2","1","15m Poetry Study: Grade 11 - Lesson 3","<p>⍞ Materials: The Word Made Fresh</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.89-91 &quot;With that in mind&quot; - &quot;at once.&quot;</p><p>• Can you think of a time when you learned something unexpectedly from a friend?</p>","","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-recpPvrSgaAeWeMKc","2","2","15m Poetry Study: Grade 11 - Lesson 4","<p>⍞ Materials: Anthology &amp; Journal</p><p>➜ READ &amp; REFLECT<br>Use your anthology of choice and read some poetry today. Look for a poem that might become a new friend! Start your personal anthology of poems you like in your journal.</p>","","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-recDw2d91bU4hRmo0","3","1","15m Poetry Study: Grade 11 - Lesson 5","<p>⍞ Materials: The Word Made Fresh</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.91-93 &quot;To illustrate&quot; - &quot;it yields.&quot;</p><p>• Van Engen writes, &quot;Poetry dwells, quite often, in pictures and particulars.&quot; Give examples of where you have seen this to be true in poems you have read.</p>","","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-recmufFUgU4VwG5uq","3","2","15m Poetry Study: Grade 11 - Lesson 6","<p>⍞ Materials: Anthology</p><p>➜ READ &amp; REFLECT<br>Read more poems today. Read a poem that catches your attention at least twice and at least once out loud. What &quot;particulars&quot; does it contain?</p>","","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-recTj22T76IsiVp5N","4","1","15m Poetry Study: Grade 11 - Lesson 7","<p>⍞ Materials: The Word Made Fresh</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.93-95 &quot;The second image&quot; - &quot;by the dark.&quot;</p><p>• Have you ever reread a children's book or a poem that you hadn't read for years? Did you have the experience the author describes of meeting an old friend in a fresh way?</p>","","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-recZylzY7SMTPFmdi","4","2","15m Poetry Study: Grade 11 - Lesson 8","<p>⍞ Materials: Anthology &amp; Journal</p><p>➜ REFLECT<br>Read more poems and add to your personal anthology. What questions can you think of to ask your new friends?</p>","","","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-recRpdMoGh2KWwLSL","5","1","15m Poetry Study: Grade 11 - Lesson 9","<p>⍞ Materials: The Word Made Fresh</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.95-98 &quot;How do poems&quot; - &quot;misfortunes of life.&quot;</p><p>• Have you ever seen something out of the side of your eye that disappears when you look directly at it? Sometimes you can see faint stars with your peripheral vision that disappear when you look right at them. This is another way to think about poetry. Poems often tell us things through associations.</p><p>• EXTRA HELPINGS<br>∞ Tell the truth but tell it slant by Emily Dickinson</p>","","https://planning.alveary.org/links.html?id=rec159tgRVDCh4xdi&term=1&week=5","Lesson","0","FALSE"
"alveary-rec159tgRVDCh4xdi","alveary-rechfBYXdIOP0EMp2","5","2","15m Poetry Study: Grade 11 - Lesson 10","<p>⍞ Materials: Anthology &amp; Journal</p><p>➜ REFLECT<br>Read some more poems today. When you find one that makes you want to ask more, journal about all the associations it brings to mind.</p>","","","Lesson","0","FALSE"
