"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec1IfxRgu1jEPXtR","alveary-rechvBpcY5lnA1nfx","1","1","40m Grammar: Grade 10 - Lesson 1","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ INTRO  <br>This text is best enjoyed by reading the assigned pages aloud and working through the various activities with your teacher.<br>You will want to take advantage of QR codes on specific pages, as the author brings things to life!</p><p>➜ READ ALOUD <br>p.5-8</p><p>➜ LISTEN<br>Listen to the author introduce the text at the QR code at the bottom of p.9.</p><p>➜ READ ALOUD &amp; DISCUSS<br>p.9-18</p><p>• Copy the Latin Stem List with the meaning in your notebook.  <br>• Can you think of other modern examples?<br>• Think about the power of a stem when looking at p.14.<br>• Pick a word or two from the list on p.15. Orally compose or write a sentence using it.<br>• Check your answers for lesson activities.<br>∞ PDF Link: Lesson Answer Key</p><p>• EXTRA HELPINGS<br>If interested, search &quot;[stem] root word examples&quot; online for more. For example: &quot;Com root word examples.&quot;</p>","","https://planning.alveary.org/links.html?id=rec1IfxRgu1jEPXtR&term=1&week=1","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-recablVnArssY7MTD","2","1","40m Grammar: Grade 10 - Lesson 2","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.19-23</p><p>➜ LISTEN &amp; DISCUSS<br>Listen and follow along as the author reads his poem at the QR code at the bottom of p.24.</p><p>• Underline any of the vocabulary words from the chapter.<br>• Do you see any poetic devices? Any alliteration. assonance, end rhyme? Others?</p><p>➜ READ ALOUD &amp; DISCUSS<br>p.25-27</p><p>➜ PRACTICE<br>Orally work through the Lesson 1 Quiz.<br>∞ PDF Link: Quiz<br>∞ PDF Link: Quiz Answer Key</p>","","https://planning.alveary.org/links.html?id=rec1IfxRgu1jEPXtR&term=1&week=2","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-recf3jmCBKj1swfwM","3","1","40m Grammar: Grade 10 - Lesson 3","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.28-35</p><p>• Copy down the classic words and their definitions into your notebook.</p><p>➜ LISTEN &amp; DISCUSS<br>Listen and follow along as the author reads his story at the QR code at the bottom of p.36.</p><p>• After listening to the story read, work out its meaning together. Look back at the chapters for the meaning of words you cannot remember.<br>• Underline the vocabulary words and identify their parts of speech.</p><p>➜ LISTEN &amp; DISCUSS<br>Listen and follow along as the author reads his poem at the QR code at the bottom of p.37.</p><p>• Underline any of the vocabulary words from the chapter.<br>• Do you see any poetic devices? What is the rhyme scheme?</p><p>➜ READ ALOUD &amp; DISCUSS<br>p.38-39</p><p>➜ PRACTICE<br>Orally work through the Lesson 2 Quiz.<br>∞ PDF Link: Quiz<br>∞ PDF Link: Quiz Answer Key</p>","","https://planning.alveary.org/links.html?id=rec1IfxRgu1jEPXtR&term=1&week=3","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-rec8X0dSncy5RHtc4","4","1","40m Grammar: Grade 10 - Lesson 4","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.40-49</p><p>• Copy the Latin Stem List with the meanings into your notebook.  <br>• Can you think of other modern examples?<br>• Are there any words on p.42 that you have never seen before?<br>• Copy the list of Nonfiction Words and their meanings into your notebook.<br>• Pick a word or two from the list on p.43. Orally compose or write a sentence using it.</p><p>➜ LISTEN, COMPLETE, &amp; DISCUSS<br>Listen and follow along as the author reads the sentences at the QR code at the bottom of p.48.</p>","","","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-recLz4k0cMmFs96CW","5","1","40m Grammar: Grade 10 - Lesson 5","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.51</p><p>➜ LISTEN &amp; DISCUSS<br>Listen and follow along as the author reads his poem at the QR code at the bottom of p.51.</p><p>• Underline any of the vocabulary words.<br>• Do you see any poetic devices?  Any alliteration. assonance, end rhyme? Others?</p><p>➜ READ ALOUD &amp; DISCUSS<br>p.52-57</p><p>➜ PRACTICE<br>Orally work through the Lesson 3 Quiz.<br>∞ PDF Link: Quiz<br>∞ PDF Link: Quiz Answer Key</p>","","https://planning.alveary.org/links.html?id=rec1IfxRgu1jEPXtR&term=1&week=5","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-recIkrLlKzRtgMVF9","6","1","40m Grammar: Grade 10 - Lesson 6","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.58-63</p><p>• Copy down the classic words and their definitions into your notebook.</p><p>➜ LISTEN &amp; DISCUSS<br>Listen and follow along as the author reads the grammar sentences at the QR code at the bottom of p.64. Complete the grammar exercise.</p><p>➜ READ ALOUD &amp; DISCUSS<br>p.65-71</p><p>• Orally or in writing, compose 2 sentences from the list on p.65.<br>• As other composition lessons are assigned for the week, skip the assignment on p.67. If interested, feel free to complete the assignment on your own at another time.</p><p>➜ PRACTICE<br>Orally or in writing, work through the Lesson 4 Quiz.<br>∞ PDF Link: Quiz<br>∞ PDF Link: Quiz Answer Key</p>","","https://planning.alveary.org/links.html?id=rec1IfxRgu1jEPXtR&term=1&week=6","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-recASFEzrvBiiXOAE","7","1","40m Grammar: Grade 10 - Lesson 7","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.72-76</p><p>• Copy the Latin Stem List with the meanings into your notebook.  <br>• Can you think of other modern examples?<br>• Copy the list of Nonfiction Words and their stems and meanings into your notebook.</p><p>➜ LISTEN, COMPLETE, &amp; DISCUSS<br>Listen and follow along as the author reads the story at the QR code at the bottom of p.77.</p><p>• Try your hand at writing your own Sesquipedalian Story. Read it aloud.<br>• Skip the essay writing on p.77. If interested, feel free to complete the assignment on your own at another time.</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.78-81</p><p>➜ LISTEN &amp; DISCUSS<br>Listen and follow along as the author reads the sentences and the poem at the QR code at the bottom of p.80, 82.</p><p>★ STUDENT/TEACHER NOTE<br>Since we have composition lessons built into the curriculum using all your reading as context for writing, we won't utilize the essay writing assignments mentioned in this book. But do be sure to read the essay instruction, as it will be a good reminder of what you learned in Essay Voyage last year and helpful for your writing assignments this year and going forward.</p>","","","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-recY5RW6Ca8PDHKq7","8","1","40m Grammar: Grade 10 - Lesson 8","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD &amp; DISCUSS<br>p.84-97</p><p>➜ PRACTICE<br>Orally or in writing, work through the Lesson 5 Quiz.<br>∞ PDF Link: Quiz <br>∞ PDF Link: Quiz Answer Key</p>","","https://planning.alveary.org/links.html?id=rec1IfxRgu1jEPXtR&term=1&week=8","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-rec3kKq34JrB2sTJr","9","1","40m Grammar: Grade 10 - Lesson 9","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.98-105</p><p>• Copy the classic words and their definitions into your notebook.</p><p>➜ LISTEN &amp; DISCUSS<br>Listen and follow along as the author reads the story and the poem at the QR code on p.106-107.</p><p>• Try writing your own Sesquipedalian Story.<br>• Underline any of the vocabulary words in the poem.<br>• Do you see any poetic devices? Any alliteration, assonance, or end rhyme? Others?</p><p>➜ READ ALOUD &amp; DISCUSS<br>p.108-111</p><p>➜ PRACTICE<br>Orally or in writing, work through the Lesson 6 Quiz.<br>∞ PDF Link: Quiz <br>∞ PDF Link: Quiz Answer Key</p>","","https://planning.alveary.org/links.html?id=rec1IfxRgu1jEPXtR&term=1&week=9","Lesson","0","FALSE"
"alveary-rec1IfxRgu1jEPXtR","alveary-recuPoZVp7zFgypqs","10","1","40m Grammar: Grade 10 - Lesson 10","<p>⍞ Materials: Caesar's English II, notebook</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.112-117</p><p>• Copy the Latin Stem List with the meanings into your notebook.  <br>• Can you think of other modern examples?<br>• Copy the list of Nonfiction Words and their stems and meanings into your notebook.<br>• Write two good sentences for each word.<br>• If interested, feel free to complete the assignment about Hadrian's Wall on your own at another time.</p><p>➜ LISTEN, COMPLETE, &amp; DISCUSS<br>Listen and follow along as the author reads the sentences at the QR code at the bottom of p.118. Then complete the grammar exercise.</p><p>➜ READ ALOUD, COMPLETE, &amp; DISCUSS<br>p.119</p>","","","Lesson","0","FALSE"
