"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec1NRlYp2n4n75t8","alveary-recm2EMoEBbOGGEQd","1","1","10m History: Grade 1 (Canada) - Lesson 1","<p>Turtle Island<br>⍞ Materials: The Honour Drum; globe, atlas, or map of Canada</p><p>➜ INTRO<br>What do you know about your own family's history in Canada? Where did your ancestors come from? Where did they settle? What kinds of homes might they have lived in? Where in Canada do you live now?</p><p>➜ LOCATE<br>Use a globe, atlas, or map as a visual aid as you discuss these questions.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.2-3 &quot;Look to the people&quot; - &quot;North American Culture.&quot;</p><p>• You can use Discussion Question #1 (p.3) in your discussion of the reading. We will return to the other Discussion Questions on this page in Term 3.</p><p>• ILLUSTRATE - Draw one of the kinds of dwellings from the reading using watercolour or another medium such as chalk, pastels, or crayons.</p><p>• EXTRA HELPING<br>Listen to a retelling of the Legend of Turtle Island for young children by Joel Agowissa, an Indigenous Support Worker with the Sudbury Catholic District School Board. This would make for a great activity during lunchtime or the afternoon.<br>∞ Video Link: The Ojibwe Legend of Turtle Island</p>","","https://planning.alveary.org/links.html?id=rec1NRlYp2n4n75t8&term=1&week=1","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-reciYv7jlPkIAQ68o","2","1","10m History: Grade 1 (Canada) - Lesson 2","<p>Keeping Time: Moons <br>⍞ Materials: Thirteen Moons on Turtle's Back; the current month's calendar, showing the phases of the moon</p><p>➜ INTRO<br>How many months are in a year? Can you say them all? Indigenous people had their way of marking time using what they observed in nature. One &quot;moon&quot; was the time from one full moon to the next. How many moons do you think there are in a year? Look at a calendar for this month. What day is it today? When is the next full moon? What do you think the moon will look like tonight?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. Read the final page - &quot;A note about this book&quot; - as an introduction to the various ways the native people of North America used nature's signs to tell time. <br>2\. Look at the image of the turtle's back on the opening page and count the scales together.<br>3\. Read the first two sections from &quot;Grandfather leaned over&quot; - &quot;keep us warm.&quot;</p><p>• EXTRA HELPING<br>Make your own full moon turtle calendar.<br>∞ Link: Turtle Lunar Calendar Craft Template</p>","<p>★ TEACHER NOTE<br>For the remainder of Term 1, lessons will include one or two poems from Thirteen Moons on Turtle's Back. As a fun challenge, encourage your students to guess what time of year the poem describes best.</p>","https://planning.alveary.org/links.html?id=rec1NRlYp2n4n75t8&term=1&week=2","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-recsA5bcga8PJj4EY","3","1","10m History: Grade 1 (Canada) - Lesson 3","<p>Drums<br>⍞ Materials: Thirteen Moons; The Honour Drum</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Baby Bear Moon&quot; (second moon): &quot;Long ago&quot; - &quot;dream together.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.4-5 &quot;They come to the drum&quot; - &quot;worth and value.&quot;</p><p>• Questions #1-4 on p.5 can guide your discussion of the reading.</p><p>➜ VIEW<br>∞ Video Link: First Nations traditional drums</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","https://planning.alveary.org/links.html?id=rec1NRlYp2n4n75t8&term=1&week=3","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-rechjEWtuxJp8iu5k","4","1","10m History: Grade 1 (Canada) - Lesson 4","<p>Music<br>⍞ Materials: Thirteen Moons; The Honour Drum</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Maple Sugar Moon&quot; (third moon): &quot;Long ago&quot; - &quot;Maple Sugar Moon.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.6-7 &quot;Theirs is the music&quot; - &quot;preserving our cultures.&quot;</p><p>• Questions #1-4 on p.7 can guide your discussion of the reading.</p><p>➜ VIEW<br>∞ Video Link: Cottonball learns about throat singing <br>∞ Video Link: Inuit throat-singing sisters from Canada</p>","<p>★ TEACHER TIP<br>Remember to recap the previous lesson before starting the new lesson.</p>","https://planning.alveary.org/links.html?id=rec1NRlYp2n4n75t8&term=1&week=4","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-recKUwVRnnSGfGYTg","5","1","10m History: Grade 1 (Canada) - Lesson 5","<p>The Owl and the Lemming: Trickster Tales<br>⍞ Materials: Thirteen Moons</p><p>➜ INTRO<br>This is a &quot;trickster tale&quot; from the Eskimo/Inuit people. Many cultures have these kinds of stories. In the video, you will hear Inuit language and music. See if you can figure out why this kind of story is called a &quot;trickster tale.&quot;</p><p>➜ VIEW &amp; NARRATE<br>∞ Video Link: The Owl and the Lemming</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Frog Moon&quot; (fourth moon): &quot;When the world&quot; - &quot;with their name.&quot;</p><p>• What role does Wis-a-ked-jak play in the poem?</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","https://planning.alveary.org/links.html?id=rec1NRlYp2n4n75t8&term=1&week=5","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-recWEEVMQs4Ig9HdF","6","1","10m History: Grade 1 (Canada) - Lesson 6","<p>Dance<br>⍞ Materials: Thirteen Moons; The Honour Drum</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Budding Moon&quot; (fifth moon): &quot;One year&quot; - &quot;beautiful land.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.8-9 &quot;Dances of meaning&quot; - &quot;need healing.&quot;</p><p>• Questions #1-3 on p.9 can guide your discussion of the reading.</p><p>➜ VIEW &amp; DISCUSS<br>Below are links to several short videos of different types of Indigenous dances. If you don't have enough time during the lesson, you could choose one or two as an afternoon listening activity.</p><p>• What do you notice about the style of dance, the regalia the dancers wear, or what they hold in their hands?</p><p>∞ Video Link: Raven Sutherland jingle dress dance <br>∞ Video Link: Shanley Spence - hoop dance <br>∞ Video Link: Men's fancy dance <br>∞ Video Link (optional, since it is longer): Celebrating through dance</p>","","https://planning.alveary.org/links.html?id=rec1NRlYp2n4n75t8&term=1&week=6","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-recvS4TIBxF7sWlF9","7","1","10m History: Grade 1 (Canada) - Lesson 7","<p>Thirteen Moons<br>⍞ Materials: Thirteen Moons</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Strawberry Moon&quot; (sixth moon): &quot;In late spring&quot; - &quot;moon's gift.&quot;<br>&quot;Moon When Acorns Appear&quot; (seventh moon): &quot;When the world&quot; - &quot;coming harvest.&quot;</p>","<p>★ TEACHER TIP<br>Remember to recap the previous lesson before starting the new lesson.</p>","","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-recUx8xjxINCMrVgW","8","1","10m History: Grade 1 (Canada) - Lesson 8","<p>Thirteen Moons<br>⍞ Materials: Thirteen Moons</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Moon of Wild Rice&quot; (eighth moon): &quot;In the old days&quot; - &quot;Wild Rice Moon&quot;<br>&quot;Moose Calling Moon&quot; (ninth moon): &quot;In this season&quot; - &quot;willows again&quot;</p><p>• ILLUSTRATE - Draw one of the poem's animals using watercolour or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-recnhBBVl7E0tQhyT","9","1","10m History: Grade 1 (Canada) - Lesson 9","<p>Life in the Arctic<br>⍞ Materials: Thirteen Moons; The Pencil</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Moon of Falling Leaves&quot; (tenth moon): &quot;Long ago&quot; - &quot;to the earth.&quot;<br>&quot;Moon When Deer Drop Their Horns&quot; (eleventh moon): &quot;Now is the time&quot; - &quot;peaceful snow.&quot;</p><p>➜ INTRO<br>How easy is it for you to go to a store when you run out of something your family needs? Can you walk? Do you need to drive? How long is the drive? Imagine living somewhere far away from cities and stores. What would happen if you ran out of something?<br>The Pencil is a story based on Susan Avingaq's own childhood growing up in the Arctic and living in an iglu with her family. Through this joyful story, Avingaq shows the importance of good stewardship, using what we have wisely, and the delight that can be found in simple objects.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.31 &quot;Inuktut Pronunciation Guide&quot;<br>Review the Inuktut words before the reading with your student(s).<br>p.2-7 &quot;'See you later!'&quot; - &quot;even a pencil!&quot;</p><p>• Look closely at the pictures. How is Susan's home different from yours? How is it the same?</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","","Lesson","0","FALSE"
"alveary-rec1NRlYp2n4n75t8","alveary-recxFmjkj8ZP0c8bu","10","1","10m History: Grade 1 (Canada) - Lesson 10","<p>Life in the Arctic, cont.<br>⍞ Materials: Thirteen Moons; The Pencil</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Moon When Wolves Run Together&quot; (twelfth moon): &quot;Long ago&quot; - &quot;we are together.&quot;</p><p>• Think about what is happening around you in nature during this time of the year. If you were going to name the full moon this month after something you've observed in nature, what would it be? Could you tell a short story or a simple poem about it?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.31 &quot;Inuktut Pronunciation Guide&quot;<br>Review the Inuktut words before the reading with your student(s).<br>p.8-17 &quot;'The sun's out!'&quot; - &quot;for your brother?&quot;</p><p>• What are some of the ways Susan and her siblings spend their time?</p>","","","Lesson","0","FALSE"
