"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec1g1GjHgu1HrWa6","alveary-recORkSHKIs8j0P0y","1","1","30m Shakespeare: Beginner Track - Lesson 1","<p>⍞ Materials: A Midsummer Night's Dream, Character Props, Cover sheet,</p><p>PREP: <br>Choose which character props you will use. There are two options. These are listed in the Supply List and in Quick Links.</p><p>➜ PRINT<br> Print out a cover sheet for students to keep in their Citizenship notebook or any place they wish. You may also want to print out the lines that will be read aloud during several lessons. <br>∞ Link: Midsummer Night's Dream Cover Sheet<br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ INTRO<br>1\. William Shakespeare is considered the greatest writer in the English<br>   language. He lived from 1564-1616. He is known as the Bard of Avon<br>   since he was born in the town Stratford-upon-Avon in England. He<br>   wrote around 38 plays as well as many poems. Let's watch this video<br>   about his life.<br>∞ Video: The Life and Times of William Shakespeare<br>2\. We are going to read the play Midsummer Night's Dream. Look at this<br>   cover page. <br>∞ Link: Midsummer Night's Dream Cover Sheet<br>   What does the title tell you about the play? What sorts of things do you<br>   think you will read about? In the video, we heard that Shakespeare<br>   wrote three kinds of plays—tragedy, comedy and history. Which one do<br>   you think this is? <br>3\. We are going to practice some lines from the play. We can read it aloud<br>   together or you can listen to me first. Let's see what some of these<br>  words mean: bank-a mound of grass; blow-burst into flower<br>  The speaker is describing an area where Titania the fairy lives where the<br>  flowers are blooming and blowing in the breeze. There is a special flower<br>  that can put a spell on people. We will find out about that later. Now let's<br>  read it again.<br>∞ PDF Link: Lines from Midsummer Night's Dream (Passage 1)</p><p>➜ READ<br>Read about half of the retelling and save half for next time. As you read the retelling you may want to have your student have the character props in front of them to go along with the story. <br>∞ Link: Beautiful Stories from Shakespeare<br>Beginning - &quot;or a busy ape.&quot;</p><p>➜ NARRATE<br>Students can narrate using their character props if desired.</p>","<p>★ TEACHER NOTE<br>For the first two weeks you will read a retelling of the play so students are familiar with the story. We are linking Edith Nesbit's retelling but you can also read Lamb's Tales from Shakespeare or another retelling you may have.</p>","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=1","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-rec6OLRZhxbW0sRVw","2","1","30m Shakespeare: Beginner Track - Lesson 2","<p>⍞ Materials: A Midsummer Night's Dream</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ INTRO<br>Where did people watch Shakespeare's plays when they were first written? Watch this video to learn more about the Globe Theatre.<br>∞ Video Link: The Globe Theatre</p><p>➜ READ<br>We will finish the retelling today. As you read the retelling you may want to have your student have the character props in front of them to go along with the story. <br>∞ Link: Beautiful Stories from Shakespeare<br>&quot;While Puck was gone&quot; - end</p><p>➜ NARRATE<br>Students can narrate using their character props if desired.</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=2","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-recRIIDOY9jeqvnMo","3","1","30m Shakespeare: Beginner Track - Lesson 3","<p>⍞ Materials: A Midsummer Night's Dream, Student World Atlas</p><p>PREP: <br>1\. Print out a list of characters. <br>∞ PDF Link: List of Characters<br>2\. Print out the narration sheets. Students will use these after each lesson<br>   to add a picture or write some key words.<br>∞ PDF Link: Narration sheets</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. (Links are in lessons 1 or 2)</p><p>➜ INTRO<br>Let's look at the list of characters. (As an option, you can watch this video that describes the characters. Please preview.)<br>∞ Video Link: Overview of Characters</p><p>➜ LOCATE<br>⍞ Map Resource: Student World Atlas. p.30-31<br>Find Greece on the World Map. What continent is it part of? <br>Now let's zoom in closer and look at a map of Greece. Find Athens. That is where this play takes place. What are the names of other cities in Greece? What body of water surrounds Greece? <br>∞ Map Link: Map of Greece</p><p>➜ READ<br>In place of reading, you may also follow along with Scene 1 in your book, while listening to the free Arkangel audio on the Folger website (linked below). First read students the summary of the scene on p.6.<br>Act 1: Scene 1 p.7-15 Beginning of Scene - &quot;we follow you.&quot; <br>∞ Link: Arkangel Scene 1 (recording at bottom of page)<br>(Audio Timemarker: Beginning - 7:36)</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using the character props.          <br>• The anticipation of what event begins the play? <br>• What complaint does Egeus bring to Theseus?</p>","<p>★ TEACHER TIP<br>You may want to preview vocabulary on the left hand side in the Folger edition and share a few words with your students. (This is optional.)</p>","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=3","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-rec6jJCliz6DaevFm","4","1","30m Shakespeare: Beginner Track - Lesson 4","<p>⍞ Materials: A Midsummer Night's Dream</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ READ <br>In place of reading, you may also follow along with Scene 1 in your book, while listening to the free Arkangel audio on the Folger website (linked below). <br>Act 1: Scene 1<br>p.15-23 &quot;How now, my love?&quot; - End of scene <br>∞ Link: Arkangel Scene 1 (audio recording at bottom of page. Start at time marker 7:36).</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate back using the character props. <br>• How do the young lovers respond?</p><p>➜ ACTIVITY<br>Have students fill out narration sheet for Act 1, Scene 1</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=4","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-recSbjnrhPfSsoURG","5","1","30m Shakespeare: Beginner Track - Lesson 5","<p>⍞ Materials: A Midsummer Night's Dream</p><p>PREP: Read the story of Pyramus and Thisbe and share your narration with the student. (optional)<br>∞ Link: The Love Story of Pyramus and Thisbe</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ INTRO<br>Read the summary of the scene on p.24 to your students.</p><p>➜ READ<br>Act 1: Scene 2 p.25-31</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.<br>• Who are the “rude mechanicals”? <br>Tell about their plans for a play.</p><p>➜ ACTIVITY<br>Have students fill out narration sheet for Act 1, Scene 2</p>","<p>★ TEACHER TIP: Refer to the Character Chart as you are reading.</p>","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=5","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-recD1ByiAIMTk1plQ","6","1","30m Shakespeare: Beginner Track - Lesson 6","<p>⍞ Materials: A Midsummer Night's Dream</p><p>PREP: You may want to preview vocabulary on the left hand side in the Folger edition and share a few words with your students. (This is optional.) We have made some suggestions every so often in the right-hand column.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜INTRO<br>Read the summary of the scene on p.34 to your students.</p><p>➜ READ<br>Act 2: Scene 1<br>p.35-39 Beginning of scene - &quot;that he were gone!&quot;</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=6","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-recoSnYTjhqlJE628","7","1","30m Shakespeare: Beginner Track - Lesson 7","<p>⍞ Materials: A Midsummer Night's Dream</p><p>PREP: You may want to preview vocabulary on the left hand side in the Folger edition and share a few words with your students. (This is optional.) We have made some suggestions every so often in the right-hand column.</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ READ<br>Act 2: Scene 1<br>p.39-47 &quot;Ill met by&quot; - &quot;overhear their conference.&quot;</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=7","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-recIQCeudurQMc8nL","8","1","30m Shakespeare: Beginner Track - Lesson 8","<p>⍞ Materials: A Midsummer Night's Dream</p><p>PREP: You may want to preview vocabulary on the left hand side in the Folger edition and share a few words with your students. (This is optional.) We have made some suggestions every so often in the right-hand column.</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ READ,<br>Act 2: Scene 1<br>p.47-53 &quot;I love thee&quot; - End of scene</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.<br>• Why are Oberon and Titania fighting?</p><p>➜ ACTIVITY<br>Have students fill out narration sheet for Act 2, Scene 1</p>","<p>★ TEACHER TIP: Refer to the Character Chart as you are reading.</p>","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=8","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-reccvj4v4U4Uw1cTP","9","1","30m Shakespeare: Beginner Track - Lesson 9","<p>⍞ Materials: A Midsummer Night's Dream</p><p>PREP: You may want to preview vocabulary on the left hand side in the Folger edition and share a few words with your students. (This is optional.) We have made some suggestions every so often in the right-hand column.</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 1. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ INTRO<br>Read the introduction to the scene on p.52 aloud to your students.</p><p>➜ READ<br>Act 2: Scene 2<br>p.53-61 Beginning of the scene - &quot;alone will go.&quot;</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.<br>• Who do you think is more responsible for the chaos and confusion that <br>unfolds in the wood, Oberon or Puck?</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=9","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-recFoK0k6dh2b3pJz","10","1","30m Shakespeare: Beginner Track - Lesson 10","<p>⍞ Materials: A Midsummer Night's Dream</p><p>PREP: Preview Vocabulary: almanac</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>We have a new passage we will read today. What are mortals? Let's read aloud the lines from Passage 2. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ INTRO<br>Read the introduction to the scene on p.68 aloud to your students. (You can wait to read the summary until you finish Act 2, Scene 2.)</p><p>➜ READ<br>Act 2: Scene 2-Act 3: Scene 1<br>p.61-73 &quot;O, I am&quot; - &quot;played here.&quot;</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.<br>• What problems do Bottom and the others find with the play?</p><p>➜ ACTIVITY<br>Have students fill out narration sheet for Act 2 Scene 2</p><p>• EXTRA HELPING<br>View a current almanac; discuss how it is used and add it to your daily routine.</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=10","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-rec0UptOFWfeTW6eC","11","1","30m Shakespeare: Beginner Track - Lesson 11","<p>⍞ Materials: A Midsummer Night's Dream</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 2. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ INTRO<br>1\. Read the introduction to the scene p.68 aloud to your students. <br>2\. What do you think will happen when Titania wakes up and was given<br>   the love potion? Let's watch a production of that part of the scene.<br>∞ Video Link: Titania Wakes Up</p><p>➜ READ<br>Act 3: Scene 1<br>p.75-81 &quot;Must I speak&quot; - End of scene</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.<br>• How do they intend to solve those problems and meet what they <br>consider to be the expectations of their audience?</p><p>➜ ACTIVITY<br>Have students fill out narration sheet for Act 3: Scene 1</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=1&week=11","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-rech7wHB9xrEZLf5A","12","1","30m Shakespeare: Beginner Track - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>A Midsummer Night's Dream</p>","<p>★ Shakespeare: Beginner Track — TERM 1 EXAM QUESTIONS<br>· GRADES 4-8 - A Midsummer Night's Dream: Describe a scene with your favorite character.</p>","","Exam","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-rec8FFveWMR9f9SMw","13","1","30m Shakespeare: Beginner Track - Lesson 13","<p>⍞ Materials: A Midsummer Night's Dream</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 2. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ INTRO<br>Read the introduction to the scene p.82 aloud to your students.</p><p>➜ READ<br>Act 3: Scene 2<br>p.83-91 Beginning of scene - &quot;befall prepost'rously.&quot;</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.</p>","","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=2&week=13","Lesson","0","FALSE"
"alveary-rec1g1GjHgu1HrWa6","alveary-recLjJd6MRiSab3c0","14","1","30m Shakespeare: Beginner Track - Lesson 14","<p>⍞ Materials: A Midsummer Night's Dream</p><p>➜ RECAP<br>What did we read last time?</p><p>➜ PRACTICE<br>Let's read aloud the lines from Passage 2. <br>∞ PDF Link: Lines from Midsummer Night's Dream</p><p>➜ READ,<br>Act 3: Scene 2<br>p.91-101 &quot;Why should you&quot; - &quot;Quick, come.&quot;</p><p>➜ NARRATE &amp; DISCUSS<br>Students can narrate using their character props if desired.<br>• Why does Helena think everyone is ganging up on her?</p>","<p>★ TEACHER NOTE<br>You may want to preview vocabulary on the left hand side in the Folger edition and share a few words with your students. (This is optional.)</p>","https://planning.alveary.org/links.html?id=rec1g1GjHgu1HrWa6&term=2&week=14","Lesson","0","FALSE"
