"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec1jHIwzgSj6uy59","alveary-recz1bDH0dSMLZOUo","1","1","40m Geometry: Grade 8 - Lesson 1","<p>Inscribed Circles <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 89</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recqoF5dW0uAvrqbD","1","2","40m Geometry: Grade 8 - Lesson 2","<p>Perpendicular Bisectors  <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 90</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-reczDUjkwLcbCnlCu","2","1","40m Geometry: Grade 8 - Lesson 3","<p>The Amazing Nine-Point Circle <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 91</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recRomRR82qgFew0f","2","2","40m Geometry: Grade 8 - Lesson 4","<p>Drawing Arcs and Tangents <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 92</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recwTNAZU9EHsmIX7","3","1","40m Geometry: Grade 8 - Lesson 5","<p>More Drawing Arcs <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 93</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recVoN3hJvh4ShLgQ","3","2","40m Geometry: Grade 8 - Lesson 6","<p>Catch-Up Day  <br>⍞ Materials: RightStart Math Level G</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recIWhXjDqRkKAJ7O","4","1","40m Geometry: Grade 8 - Lesson 7","<p>Angles 'n Arcs  <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 94</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recBBgE8P371pxZml","4","2","40m Geometry: Grade 8 - Lesson 8","<p>Arc Length <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 95</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recZtqVS677r0yqb6","5","1","40m Geometry: Grade 8 - Lesson 9","<p>Review and Games 9  <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE <br>Lesson 96</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-rec9VkPL29qLTJepv","5","2","40m Geometry: Grade 8 - Lesson 10","<p>Review and Games 9 (cont.)  <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE <br>Lesson 96</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recomLtm4AEqeW2LH","6","1","40m Geometry: Grade 8 - Lesson 11","<p>Area of a Circle <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 97</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recGhm7Flokuw5a9Z","6","2","40m Geometry: Grade 8 - Lesson 12","<p>Catch-Up Day  <br>⍞ Materials: RightStart Math Level G</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-rec1jHIwzgSj6uy59","alveary-recKwZvZn0VMhKKTx","7","1","40m Geometry: Grade 8 - Lesson 13","<p>Finding the Area of a Circle  <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE <br>Lesson 98</p>","","","Lesson","0","FALSE"
