"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec2Ve2pxnvaAIg4K","alveary-rec9APtBgq0MXOWdT","1","1","30m World History: Grades 7-8 - Lesson 1","<p>Los Soldados, A Terrible Mistake<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜ INTRO<br>This is a historical fiction book that takes place in 1835-1836. This genre of book allows you to walk in the shoes of the soldiers of Mexico who were forced to fight the Americans at the Battle of the Alamo. As you read, you will see Spanish terms in italics. You can find the meaning of those words at the back of the book.</p><p>➜ LOCATE<br>∞ Map Link: Mexico<br>Find Guanajuato, which is located in central Mexico, about 130 miles northwest of Mexico City. How would you describe the terrain of this area? <br>Lorenzo lives in this village.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1-part of Ch.2 p.1-14 Beginning - &quot;frown on her face.&quot;</p><p>• How would you describe Lorenzo so far?</p><p>➜ VIEW<br>The predominant religion of Mexico is Roman Catholicism. Our Lady of Guadalupe holds a special place in the religious life of Mexico and is one of the most popular religious devotions. Her image, a woman of mixed Indigenous and European features wearing a turquoise-colored mantle surrounded by a sunburst, has played an important role as a national symbol of Mexico.<br>∞ Image Link: Virgin of Guadalupe</p><p>• DEFINITIONS<br>conscript: (p.6) enrolled into service by compulsion : drafted</p><p>dragoon: (p.7) mounted soldiers that fought both on horseback and on foot</p>","","https://planning.alveary.org/links.html?id=rec2Ve2pxnvaAIg4K&term=1&week=1","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recW5n6I7B9vIGTv6","2","1","30m World History: Grades 7-8 - Lesson 2","<p>A Terrible Mistake, Following the Eagle<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜RECAP<br>What is happening so far in the book?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish Ch.2-beginning of Ch.3 p.14-28 &quot;We did not&quot; - &quot;Something peaceful.&quot;</p><p>• What do you think about the idea of allowing a man's family to travel with him in war?<br>• How would you prove your age? Why was it hard for Lorenzo to prove he was only fifteen?</p><p>➜ VIEW<br>∞ Image Link: Picture of General Antonio López de Santa Anna</p>","","https://planning.alveary.org/links.html?id=rec2Ve2pxnvaAIg4K&term=1&week=2","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recxLizCLO4hYnK2p","3","1","30m World History: Grades 7-8 - Lesson 3","<p>Following the Eagle, The Deserters<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜RECAP<br>Tell briefly what you read.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish Ch.3-beginning of Ch.4 p.28-42 &quot;I have played&quot; - &quot;happen, again, sir.</p><p>• What were some reasons men would desert the army?</p>","<p>★ TEACHER NOTE<br>Preview the crude comment on p.34 made by Bernardo.</p>","","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recyUHwyx1Pib81KY","4","1","30m World History: Grades 7-8 - Lesson 4","<p>The Deserters, A Thing of the Past<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish Ch.4-Ch.5 p.42-59 &quot;Lieutenant Ochoa shouted&quot; - &quot;that haughty Esteban?&quot;</p><p>• Why do you think the punishments were so severe for deserters?</p>","","","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recHOU0KdVV7FW1jv","5","1","30m World History: Grades 7-8 - Lesson 5","<p>El Presidio<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜RECAP<br>What did you read last time?</p><p>➜ LOCATE<br>∞ Map Link: Map of Mexico<br>Find San Luis Potosí. How would you describe the terrain of this area? <br>Lorenzo visits this village with his fellow conscripts.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.6 p.60-75 &quot;On the fourth&quot; - &quot;soldiers shut up.&quot;</p><p>• How did Lorenzo feel at the idea of visiting another village outside of his own?</p><p>• DEFINITIONS<br>peons: (pg.60) person of low social status or a laborer with no skills</p>","<p>★ TEACHER NOTE<br>There is a description of a woman's body on p.62 that you might want to preview.</p>","https://planning.alveary.org/links.html?id=rec2Ve2pxnvaAIg4K&term=1&week=5","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recUDdOoDRfdO2rsk","6","1","30m World History: Grades 7-8 - Lesson 6","<p>El Presidio, El Presidente<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish Ch.6-Ch.7 p.75-90 &quot;Return to your&quot; - &quot;to be there.&quot;</p><p>• How does Lorenzo view education? How does El Presidente view music? What do their views tell you about what's important to Lorenzo and El Presidente?</p>","<p>★ TEACHER NOTE<br>There is an implication on pg. 89 that you might want to preview.</p>","","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recQnM2q4LVOq6kCJ","7","1","30m World History: Grades 7-8 - Lesson 7","<p>El Presidente, The Importance of Goats<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜ INTRO<br>Lorenzo and Estaban find themselves in a tricky situation. As you read through this section, think about how many people went through similar situations to Lorenzo. What would you do if you were accused of something and no one was listening to you?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish Ch.7-Ch.8 p.90-103 &quot;Esteban and I&quot; - &quot;wanted to hear.&quot;</p><p>• Why does Lorenzo change his mind about the importance of goats?</p>","","","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recK2n1yTGJUQ4ph9","8","1","30m World History: Grades 7-8 - Lesson 8","<p>A Rumor of War, Feliz Navidad<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜RECAP<br>Tell briefly what you read.</p><p>➜ LOCATE<br>∞ Map Link: Mexico<br>Find Saltillo and Coahuila on the map. <br>Lorenzo and the rest of the army pack up to head to these towns.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.9-Start of Ch.10 p.104-120.  -&quot;this pace last?&quot;</p><p>• What celebrations does Lorenzo and the rest of the army join in? Discuss what these celebrations look like? How does everyone react to news about the war?</p>","<p>★ TEACHER NOTE<br>There is a situation that you might want to preview on pg. 109.</p>","https://planning.alveary.org/links.html?id=rec2Ve2pxnvaAIg4K&term=1&week=8","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recGHBVcxO2DPqj28","9","1","30m World History: Grades 7-8 - Lesson 9","<p>Feliz Navidad, The General's Orders, La Llorona<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜ INTRO<br>Three Kings Day, or as it called Epiphany celebrates the day the three wise men encounter the Baby Jesus and bring him gifts. It's also the day that many kids get their presents. Epiphany or Three Kings Day is celebrated all over the world and it's traditions differ from people group to people group.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish ch.10-start of ch. 12 p.120-135 &quot;On Christmas Eve&quot; - &quot;in their hands.&quot;</p><p>• How do Lorenzo's Christmas traditions differ from your own? Are you familiar with any of his traditions?</p>","","","Lesson","0","FALSE"
"alveary-rec2Ve2pxnvaAIg4K","alveary-recATE9EYvxHCN4gj","10","1","30m World History: Grades 7-8 - Lesson 10","<p>La Llorona, White Death<br>⍞ Materials: In the Shadow of the Alamo</p><p>➜RECAP<br>Tell briefly what you read.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish ch.12 -start of ch.13, p.135-150 &quot;For over a&quot; - &quot;step for step.&quot;</p><p>• La Llorona is an urban legend in Lorenzo's culture. What are some urban legends you are familiar with?</p>","","","Lesson","0","FALSE"
