"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec2f94XuSZMwo0v1","alveary-rec7VkM2l0YYR0JQN","1","1","30m Labs: Grade 4 - Lesson 1","<p>Lab: Meeting the Microscope<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Meeting the Microscope, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction and then compose the prelab narration in the lab notebook. These need not be more than 1-3 sentences at first, and teachers should feel free to scribe for students, as necessary. Spend remaining time gathering materials for next week.</p>","<p>★ TEACHER TIP<br>Pacing is only a suggestion. Students should engage with the lab at a pace that is appropriate for their abilities and interests.</p>","","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recDiofmfgOvHDiBH","2","1","30m Labs: Grade 4 - Lesson 2","<p>Lab: Meeting the Microscope<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Meeting the Microscope, as directed in the Lab Book.</p><p>Suggested day 2: Students conduct the Procedure today, drawing, diagramming, or dictating in their lab notebook what they observe, just as they would in their nature journals.</p>","","","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recWLSSHlrEShekjj","3","1","30m Labs: Grade 4 - Lesson 3","<p>Lab: Meeting the Microscope<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 3 of Meeting the Microscope, as directed in the Lab Book.</p><p>Suggested day 3: If students have a few last observations to make before completing their notebook, give them a few minutes to do so. Complete the postlab narration, as directed in the Analysis and Conclusion section of the lab. Teachers may scribe, journal in tandem, provide digital tools, or provide any other support as needed. If time remains, students may add a diagram of their microscope.</p>","","","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recAPkodFP21NbKaj","4","1","30m Labs: Grade 4 - Lesson 4","<p>Lab: What's in Your Water?<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of What's in Your Water?, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction and then compose the prelab narration in their lab notebook. Spend the remaining time gathering materials for next week.</p>","<p>★ TEACHER TIP<br>If needed, be sure to pour your agar plates for next week according to the package instructions.<br>∞ Video Link: Pouring Agar Plates (2:51)</p>","https://planning.alveary.org/links.html?id=rec2f94XuSZMwo0v1&term=1&week=4","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recQMee9KghowhGpO","5","1","30m Labs: Grade 4 - Lesson 5","<p>Lab: What's in Your Water?<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of What's in Your Water?, as directed in the Lab Book.</p><p>Suggested day 2: Students conduct the Procedure today, drawing, diagramming, or dictating in their lab notebook what they observe, just as they would in their nature journals.</p>","","","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recLE1xj2R246BuLG","6","1","30m Labs: Grade 4 - Lesson 6","<p>Lab: What's in Your Water?<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 3 of What's in Your Water?, as directed in the Lab Book.</p><p>Suggested day 3: Students complete the Analysis and Conclusion instruction in the lab book, recording in their lab notebook just as they would in their nature journals. Teachers may scribe, journal in tandem, provide digital tools, or provide any other support as needed.</p>","","","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recV7Ox2woo2sWrgm","7","1","30m Labs: Grade 4 - Lesson 7","<p>Lab: What's in Your Mouth?<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 1 of What's in Your Mouth?, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction and then compose the prelab narration in their lab notebook. Spend the remaining time gathering materials for next week.</p>","","","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recYiQfNPxDwMeBvX","8","1","30m Labs: Grade 4 - Lesson 8","<p>Lab: What's in Your Mouth?<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of What's in Your Mouth?, as directed in the Lab Book.<br>∞ Video Link: How to Dry Mount Cheek Cells (4:07)</p><p>Suggested day 2: Students conduct the Procedure today. They will need help fixing and staining their slides. Then they may draw, diagram, or dictate in their lab notebook what they observe, just as they would in their nature journals. Today they will continue to the end, completing the short Analysis and Conclusion with a brief narration.</p>","","https://planning.alveary.org/links.html?id=rec2f94XuSZMwo0v1&term=1&week=8","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recuR0bkoaKVq8uRD","9","1","30m Labs: Grade 4 - Lesson 9","<p>Lab: Explore and Discover!<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 1 of Explore and Discover!, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction and then compose the prelab narration in their lab notebook. Students may collect their materials and begin the Procedure, as time permits.</p>","<p>★ TEACHER TIP<br>If needed, be sure to pour your agar plates for next week according to the package instructions.<br>∞ Video Link: Pouring Agar Plates (2:51)</p>","https://planning.alveary.org/links.html?id=rec2f94XuSZMwo0v1&term=1&week=9","Lab","0","FALSE"
"alveary-rec2f94XuSZMwo0v1","alveary-recit3ZLImnug4mIY","10","1","30m Labs: Grade 4 - Lesson 10","<p>Lab: Explore and Discover!<br>⍞ Materials: Grade 4 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Explore and Discover!, as directed in the Lab Book.</p><p>Suggested day 2: Students conduct the Procedure today, drawing, diagramming, or dictating in their lab notebook what they observe, just as they would in their nature journals.</p>","","","Lab","0","FALSE"
