"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec2vDs8P5SlvGqt8","alveary-recd9MdFlQux3m9BC","1","1","10m Recitation: Grade 11 - Lesson 1","<p>Hymn/Psalm <br> <br>➜ NOTE        <br>Read the recitation piece in its entirety if shorter. Otherwise, work to recite and memorize by section. <br> <br>➜ PRACTICE<br>Hymn Suggestion: &quot;How Firm a Foundation&quot;<br>Our Hymns, Our Heritage</p><p>Psalm suggestion: Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recHypmBrzGAeT5Fm","1","2","10m Recitation: Grade 11 - Lesson 2","<p>Bible Verses <br> <br>PREP: You may want to print out the recitation passages to have handy for weekly practice.</p><p>➜ PRACTICE<br>Choose an OT and NT passage (about 20 verses each) and read aloud.</p><p>Old Testament suggestions: 1 Chronicles 29:1-25<br>New Testament suggestions: Luke 2:1-20, Luke 6:20-42, Luke 12:22-42</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recHJ4H2y1vnRT9Xr","1","3","10m Recitation: Grade 11 - Lesson 3","<p>Poetry <br> <br>PREP: You may want to print out the recitation passages to have handy for weekly practice.</p><p>➜ PRACTICE<br>Suggestions: &quot;The Gardener 85&quot; by Tagore, The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recK3D1bEJDThexWv","2","1","10m Recitation: Grade 11 - Lesson 4","<p>Hymn/Psalm <br> <br>➜ PRACTICE<br>Hymn Suggestion: &quot;How Firm a Foundation&quot;<br>Our Hymns, Our Heritage</p><p>Psalm suggestion: Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recDNUVHuJIuaWNJY","2","2","10m Recitation: Grade 11 - Lesson 5","<p>Bible Verses <br> <br>PREP: You may want to print out the recitation passages to have handy for weekly practice.</p><p>➜ PRACTICE<br>Choose an OT and NT passage (about 20 verses each) and read aloud.</p><p>Old Testament suggestions: 1 Chronicles 29:1-25<br>New Testament suggestions: Luke 2:1-20, Luke 6:20-42, Luke 12:22-42</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recHo14d4y4xNRVf0","2","3","10m Recitation: Grade 11 - Lesson 6","<p>Poetry <br> <br>➜ PRACTICE<br>Suggestions: &quot;The Gardener 85&quot; by Tagore, The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recOMyVwgTj6U9iKO","3","1","10m Recitation: Grade 11 - Lesson 7","<p>Hymn/Psalm <br> <br>➜ PRACTICE<br>Hymn Suggestion: &quot;How Firm a Foundation&quot;<br>Our Hymns, Our Heritage</p><p>Psalm suggestion: Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recJlwzWQHAaAGIzv","3","2","10m Recitation: Grade 11 - Lesson 8","<p>Bible Verses <br> <br>➜ PRACTICE <br>Work on learning your OT and NT passages.</p><p>Old Testament suggestions: 1 Chronicles 29:1-25<br>New Testament suggestions: Luke 2:1-20, Luke 6:20-42, Luke 12:22-42</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recRYiUX7i83Re2sm","3","3","10m Recitation: Grade 11 - Lesson 9","<p>Poetry <br> <br>➜ PRACTICE<br>Suggestions: &quot;The Gardener 85&quot; by Tagore, The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-reczVVmlMvVxXCKyK","4","1","10m Recitation: Grade 11 - Lesson 10","<p>Hymn/Psalm <br> <br>➜ PRACTICE<br>Hymn Suggestion: &quot;How Firm a Foundation&quot;<br>Our Hymns, Our Heritage</p><p>Psalm suggestion: Psalm 139:1-24</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recYpmL4F6OxT1uKx","4","2","10m Recitation: Grade 11 - Lesson 11","<p>⬚ 10m Recitation: Grade 9 - Lesson 11<br>Bible Verses <br> <br>➜ PRACTICE <br>Work on learning your OT and NT passages. Try writing or typing them out this week to help yourself focus differently on the words.</p><p>Old Testament suggestions: 1 Chronicles 29:1-25<br>New Testament suggestions: Luke 2:1-20, Luke 6:20-42, Luke 12:22-42</p>","","","Lesson","0","FALSE"
"alveary-rec2vDs8P5SlvGqt8","alveary-recMQD2YEIPrpjo0w","4","3","10m Recitation: Grade 11 - Lesson 12","<p>Poetry <br> <br>➜ PRACTICE<br>Suggestions: &quot;The Gardener 85&quot; by Tagore, The Tempest Act 1, Scene 2, Lines 1-26</p>","","","Lesson","0","FALSE"
