"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recClAH2k23z3uTJB","1","1","20m Sewing: Level 2 - Lesson 1","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recmt0A2mWn4Ie1bM","2","1","20m Sewing: Level 2 - Lesson 2","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-rechv6gaM5E4ioB5A","3","1","20m Sewing: Level 2 - Lesson 3","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recCnyRq1hdxAhsvm","4","1","20m Sewing: Level 2 - Lesson 4","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recIvHqb5qKSz2SFW","5","1","20m Sewing: Level 2 - Lesson 5","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-reccqoiDFKWVxPpIM","6","1","20m Sewing: Level 2 - Lesson 6","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-reccJGCwx0nZCG2NA","7","1","20m Sewing: Level 2 - Lesson 7","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recw67wOYSl5GSShX","8","1","20m Sewing: Level 2 - Lesson 8","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recez0d53JmU8GaCA","9","1","20m Sewing: Level 2 - Lesson 9","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recIlNqNLRE6kcjfi","10","1","20m Sewing: Level 2 - Lesson 10","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recpUUwePdP4Ko7dl","11","1","20m Sewing: Level 2 - Lesson 11","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recV7I1Rvd3e4FNev","12","1","20m Sewing: Level 2 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to course.</p>","<p>★ Sewing: Level 2 — TERM 1 EXAM QUESTIONS<br>· Choose a project from this term to share with an adult. Tell how you made it.</p>","","Exam","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-reciIexTaeQYM86IB","13","1","20m Sewing: Level 2 - Lesson 13","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recpdRzdu0KuWoKBl","14","1","20m Sewing: Level 2 - Lesson 14","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recUuHLu12uoB1fKK","15","1","20m Sewing: Level 2 - Lesson 15","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recfB7eg8FnaQpWNE","16","1","20m Sewing: Level 2 - Lesson 16","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recwsO8rZnxi4hHpJ","17","1","20m Sewing: Level 2 - Lesson 17","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
"alveary-rec4fSo3zhfoMGHjQ","alveary-recKrW9X0fktGcK9d","18","1","20m Sewing: Level 2 - Lesson 18","<p>⍞ Materials: The Amazing Stitching Handbook for Kids: 17 Embroidery Stitches</p><p>PREP: Preview the project. Gather all materials, and make them easily accessible to students.</p><p>➜ INTRO<br>Read instructions with students one step at a time, or allow them to read to themselves and then narrate. Demonstrate any new skills.</p><p>➜ PRACTICE<br>Work on a new skill, or complete the next part of the project. Self-assess for mastery and/or precision before moving on.</p>","","","Lesson","0","FALSE"
