"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-recmFq8LxZ9p5Accw-g1-3","1","1","20m French Picture Study – Lesson 1","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.6, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>Bonjour, les amis ! - Hello, friends!</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Introduce/Practice Picture Study Vocabulary <br> ⬚ Introduce/Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/recmFq8LxZ9p5Accw.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=1"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=1","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-recO0P1yaNt1YCvzH-g1-3","2","1","20m French Picture Study – Lesson 2","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.6, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>Bonjour la maîtresse ! - Good morning, teacher!</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Review &amp; Practice Picture Study Vocabulary <br> ⬚ Review &amp; Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/recO0P1yaNt1YCvzH.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=2"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=2","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-recGCzQCy7J08ZMIQ-g1-3","3","1","20m French Picture Study – Lesson 3","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.8-9, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>Bonne nuit, maman ! - Goodnight, mom!</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Introduce/Practice Picture Study Vocabulary <br> ⬚ Introduce/Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/recGCzQCy7J08ZMIQ.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=3"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=3","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-rec2wZ0LlGGBG4iPp-g1-3","4","1","20m French Picture Study – Lesson 4","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.8-9, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>Je dors toute la nuit. - I sleep all night.</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Review &amp; Practice Picture Study Vocabulary <br> ⬚ Review &amp; Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/rec2wZ0LlGGBG4iPp.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=4"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=4","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-recoOLoCYvLqQbXXT-g1-3","5","1","20m French Picture Study – Lesson 5","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.6, 8-9, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review Picture Study Lesson Weeks 1-4<br> ⬚ Preview Cultural Study Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>Merci pour votre aide. - Thank you for your help.</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Review Picture Study Vocabulary using gestures/pointing (TPR).	<br>      Have students point to the images in the Picture Book as they say the <br>      coordinating vocab words. <br>  ⬚ Review Picture Study Narration Sentences  <br>  ⬚ Read Cultural Study Introduction<br>  ⬚ View, Narrate &amp; Discuss Cultural Videos</p>
<h2>Additional Notes</h2><p>➜ CULTURAL TOPIC - Paris<br>Paris, France is one of the most visited cities. Enjoy the linked video to discover interesting facts about &quot;The City of Light&quot;. This virtual tour will take you around some famous landmarks such as the Eiffel Tower, the Louvre, the Arc de Triomphe, and Notre Dame Cathedral.</p><p>∞ Video Link: [Paris](https://www.youtube.com/watch?v=CGeI9lfV2kA)</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/recoOLoCYvLqQbXXT.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=5"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=5","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-recYOhtuPTc46CAhJ-g1-3","6","1","20m French Picture Study – Lesson 6","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.10, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>Répétez, s'il vous plaît. - Repeat, please.</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Introduce/Practice Picture Study Vocabulary <br> ⬚ Introduce/Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/recYOhtuPTc46CAhJ.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=6"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=6","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-recQVxG23mWipAA6s-g1-3","7","1","20m French Picture Study – Lesson 7","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.10, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>Je suis désolé(e). - I am sorry.</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Review &amp; Practice Picture Study Vocabulary <br> ⬚ Review &amp; Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/recQVxG23mWipAA6s.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=7"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=7","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-reccXSMgC1HcqbXiq-g1-3","8","1","20m French Picture Study – Lesson 8","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.11, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>J'aime lire des livres. - I like to read books.</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Introduce/Practice Picture Study Vocabulary <br> ⬚ Introduce/Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/reccXSMgC1HcqbXiq.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=8"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=8","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-recJd8qqP8szb4Lq9-g1-3","9","1","20m French Picture Study – Lesson 9","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.11, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review instructions on teaching Picture Study Lessons.<br> ⬚ Preview Lesson &amp; Audio/Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>J'aime jouer dehors. - I like to play outside.</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Play Audio/Video Links &amp; Follow Along<br> ⬚ Review &amp; Practice Picture Study Vocabulary <br> ⬚ Review &amp; Practice Narration Sentences</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/recJd8qqP8szb4Lq9.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=9"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=9","Lesson","0","FALSE"
"alveary-rec5lgyGmTryTXFqV-g1-3","Import is Current","alveary-rectv8Z58XuxQMuvj-g1-3","10","1","20m French Picture Study – Lesson 10","<h2>Materials</h2><p>⍞ Materials: Linnea in Monet's Garden p.10-11, Student Notebook</p>
<h2>Preparation</h2><p>➜ PREP <br> ⬚ Review Picture Study Lesson Weeks 6-9<br> ⬚ Preview Cultural Study Video Links</p>
<h2>Phrase of the Week</h2><p>➜ PHRASE OF THE WEEK<br>J'ai un chien. - I have a dog.</p>
<h2>Lesson</h2><p>➜ RECAP <br> ⬚ Recall what you learned in the previous lesson.</p><p>➜ LESSON <br> ⬚ Review Picture Study Vocabulary using gestures/pointing (TPR).	<br>      Have students point to the images in the Picture Book as they say the <br>      coordinating vocab words. <br>  ⬚ Review Picture Study Narration Sentences  <br>  ⬚ Read Cultural Study Introduction<br>  ⬚ View, Narrate &amp; Discuss Cultural Videos</p>
<h2>Additional Notes</h2><p>➜ CULTURAL TOPIC - Haussmann Architecture<br>Walking through Paris, one takes notice of the buildings lining many of the streets. Tall, rectangular buildings, built with beige stone and iron balconies were created by George-Eugène Haussmann in the latter half of the 1800s. Dive deeper into how and why this renovation happened.</p><p>∞ Video Link: [George-Eugène Haussmann - Architecture](https://classroom.ricksteves.com/videos/paris-haussmann-buildings-and-grand-boulevards) <br>∞ Video Link : [George-Eugène Haussmann - Life History](https://www.youtube.com/watch?v=xUcvsqcD7ww)</p>
<p><a href=""https://planning.alveary.org/pdf/modern-language/individual-lessons/rectv8Z58XuxQMuvj.pdf"">Click here to view charts and additional lesson information.</a></p>
<p><a href=""https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&amp;term=1&amp;week=10"">Click here to view video/audio links.</a></p>","","https://planning.alveary.org/links.html?id=rec5lgyGmTryTXFqV&term=1&week=10","Lesson","0","FALSE"
