"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec6Egfk7sFGPs9e8","alveary-recPZ0hTlO7CJxSy4","1","1","20m Handicrafts - Lesson 1","<p>Clay Modelling- Creating a Slab Dish<br>⍞ Materials: air dry clay, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface, and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Teachers should watch the Teacher Prep tutorial before getting started with the term<br>∞ Video Link: Teacher Prep for Clay Modelling<br>Gather all necessary supplies.</p><p>➜ NOTE<br>Students will be working from a slab each week which will require rolling out a particular size, shape and thickness. They may need help at first learning how to measure these aspects with a ruler until they get to the preferred size. Projects may need to be wrapped up and finished during afternoon occupations or free time but will depend upon the student.</p><p>➜ PRACTICE<br>Watch the tutorial video. <br>∞ Video Link: Project #1 Slab Dish<br>• Begin by wedging your clay into a grapefruit sized lump. Beginning with a ball is best when rolling a slab. <br>• Pick up your clay ball and drop it from a reasonable height onto the table, putting a little force behind it (as you saw in the tutorial). Pick it up, flip it over and do it on the other side. Do this a few times flipping the clay back and forth. This helps the clay to begin to flatten out.<br>• Check the thickness of your clay at this point. You want it to be between 1.25&quot; and 1.5&quot; thick. If it is not yet there, begin rolling it out evenly as you saw in the tutorial. If it is already there, use your hands to begin shaping it into a square. You can tap it on the table as you saw in the tutorial as well. <br>• Continue to shape your clay into a 4&quot; square slab that is between 1.25&quot; and 1.5&quot; thick.<br>• Once you have the correct sized slab, draw a 3&quot; square centered on the slab with a tool or pencil.<br>• Determine how far down from the surface you will need to go to dig out 3/4&quot;. You should place a mark on the side to remind you not to go deeper. Follow what you saw in the tutorial. <br>• Use your ribbon tool to begin removing the clay inside that 3&quot; square. You only want it to be 3/4&quot; deep.<br>• Smooth out the inside and the remaining top edge with a silicone or wooden rib. <br>• Once it is smooth, use a damp -not dripping- sponge to smooth again and get all the crumbs gone. <br>• Set your project aside to dry.<br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time. <br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p><p>TEACHER NOTE: Please make sure you read &quot;About the Course&quot; so you have a better understanding of the purpose of clay modelling and some of the changes we made.</p>","","https://planning.alveary.org/links.html?id=rec6Egfk7sFGPs9e8&term=1&week=1","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recGIIcUzbO9N9vd7","2","1","20m Handicrafts - Lesson 2","<p>Clay Modelling- Bas Relief <br>⍞ Materials: a coin- nickle, dime, quarter, etc., air dry clay, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>➜ NOTE <br>Students may need something to trace around or look at for inspiration for today's project. Examples may be but are not limited to a tennis racket, flower, vase, fish, tree, bicycle, game console, etc.</p><p>PREP: Cut a slab of clay a little less than a grapefruit size for your student to begin with. (Less clay than last lesson.)<br>Gather all necessary supplies.</p><p>➜ NOTE<br>Students will be working from a slab each week which will require rolling out a particular size, shape and thickness. They may need help at first learning how to measure these aspects with a ruler until they get to the preferred size. Projects may need to be wrapped up and finished during afternoon occupations or free time but will depend upon the student.</p><p>➜ PRACTICE<br>Watch the tutorial video. <br>∞ Video Link: Bas Relief Tutorial<br>∞ Link: Bas Relief Examples<br>• Follow the first four steps from our last lesson in order to get the proper slab. Your slab only needs to be between 3/4&quot; and 1&quot; thick.<br>• Look at a quarter, nickel, or dime. Notice how the objects stand out of the surface and yet are smooth. This is what we are aiming for.<br>• Looking at the object you have chosen to render, either trace or draw it onto the surface of your slab.<br>• Use a clay tool to slowly and carefully remove the clay around the outside of your object. Determine if you will remove the clay all the way to the edges of your slab or if you will allow for a frame around the edge. <br>•Do not go more than 1/2&quot; down. Remember this is a bas relief and you only want your objects to be less than halfway protruding from the base surface. <br>• Now that you have removed the clay around the outside of the object, determine what clay needs to be removed to add details on your object. For example, my flower petals that reveal layers and depth in my flower.<br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth out the entire slab. Look back at the linked examples and notice how smooth the reliefs are.  <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p>","","https://planning.alveary.org/links.html?id=rec6Egfk7sFGPs9e8&term=1&week=2","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recg0h96rXgWqOW0z","3","1","20m Handicrafts - Lesson 3","<p>Clay Modelling- High Relief<br>⍞ Materials: air dry clay, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>➜ NOTE <br>Students may need something to trace around or look at for inspiration for today's project. Examples may be but are not limited to a butterfly, sunshine, tennis racket, flower, vase, fish, tree, bicycle, game console, etc.</p><p>PREP: Cut a slab of clay a grapefruit size for your student to begin with.<br>Gather all necessary supplies.</p><p>➜ NOTE<br>Students will be working from a slab each week which will require rolling out a particular size, shape and thickness. They may need help at first learning how to measure these aspects with a ruler until they get to the preferred size. Projects may need to be wrapped up and finished during afternoon occupations or free time but will depend upon the student.</p><p>➜ PRACTICE<br>Watch the tutorial video. <br>∞ Video Link: Project #3 High Relief<br>∞ Link: The Angel of Death and the Sculptor from the Milmore Memorial<br>∞ Link: High Relief Example<br>• Follow the first four steps from our first lesson in order to get the proper slab. You want a 4&quot; square that is 1.25-1.5&quot; deep.<br>• Looking at the object you have chosen to render, either trace or draw it onto the surface of your slab.<br>• Use a clay tool to slowly and carefully remove the clay around the outside of your object. Determine if you will remove the clay all the way to the edges of your slab or if you will allow for a frame around the edge. <br>• You are creating a high relief this time. Look back at the examples again and notice how far the objects protrude from the surface. Be careful not to push so far that you cut away your object nor go through your slab completely. The object needs to remain anchored to your slab. <br>• Now that you have removed the clay around the outside of the object, determine what clay needs to be removed to add details on your object. <br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth out the entire slab. Look back at the linked examples and notice how smooth the reliefs are.  <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p>","","https://planning.alveary.org/links.html?id=rec6Egfk7sFGPs9e8&term=1&week=3","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recYWXWwz57liwVhY","4","1","20m Handicrafts - Lesson 4","<p>Clay Modelling- Additive Slab Sculpture<br>⍞ Materials: air dry clay, slip (the crumbs they have been saving each week from their work saturated with water), sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Cut a slab of clay a grapefruit size for your student to begin with. Your students will also need more clay to add to their slab but it will depend on student and the object they choose to render.<br>Gather all necessary supplies.</p><p>➜ NOTE<br>Students will be working from a slab each week which will require rolling out a particular size, shape and thickness. They may need help at first learning how to measure these aspects with a ruler until they get to the preferred size. Projects may need to be wrapped up and finished during afternoon occupations or free time but will depend upon the student.</p><p>➜ PRACTICE<br>Watch the tutorial video. <br>∞ Video Link: Project #4 Additive Relief<br>∞ Link: Relief Tile- Sarah Western<br>∞ Link: Additive Slab Sculpture Example<br>• Follow the first four steps from our first lesson in order to get the proper slab. You want a 4&quot; square that is 3/4-1&quot; deep.<br>• Looking at the object you have chosen to render, either trace or draw it onto the surface of your slab. This will help you to determine where everything will go on your slab. It is the planning phase. <br>• For this project you will be adding clay to your slab to create a sculpture. You will need to score and slip every single piece. If you do not, your clay will fall apart when drying. (You can use craft glue to glue on dried essential pieces.)<br>• Your object can protrude as far off the surface as you prefer.<br>• Once you have added all of your pieces for your object, smooth all of the seams as you saw in the tutorial video.<br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth out the entire slab. Look back at the linked examples and notice the craftsmanship of the artwork. <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p><p>Assign students a bas relief sculpture project in their literature or history this week.</p>","","https://planning.alveary.org/links.html?id=rec6Egfk7sFGPs9e8&term=1&week=4","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recEwMqIlKVbEd7Te","5","1","20m Handicrafts - Lesson 5","<p>Clay Modelling- Hanging Slabs<br>⍞ Materials: natural objects such as seeds, feathers, flowers, leaves, sticks, shells, etc., plastic drinking straw (any size), yarn or string, beads (optional), air dry clay, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Students will need the same amount of clay as last lesson divided into three equal parts.<br>Gather all necessary supplies.</p><p>➜ NOTE<br>Students will be working from a slab each week which will require rolling out a particular size, shape and thickness. They may need help at first learning how to measure these aspects with a ruler until they get to the preferred size. Projects may need to be wrapped up and finished during afternoon occupations or free time but will depend upon the student.</p><p>➜ PRACTICE<br>Watch the tutorial video. <br>∞ Video Link: Project #5 Hanging Slabs <br>∞ Link: Hanging Slab Example #1<br>∞ Link: Hanging Slab Example #2<br>∞ Link: Hanging Slab Example #3<br>• Follow the first four steps from our first lesson in order to get the proper slab. You want 3- 2&quot; squares that are about 1/2&quot; deep.<br>• Choose several natural objects such as feathers, leaves, pine needles, grasses, flowers, pine cones, seeds, etc. <br>• Smooth out your clay slabs as you normally do at the end before pressing the objects into them. Finish the edges as you will want them to be, whether you want them straight and smooth or wavy, etc. <br>• Lay your chosen objects on top of your slabs in a pleasing arrangement.<br>• Use your rolling pin to roll over the top of the objects putting a small amount of pressure on them.<br>• Carefully peel your natural objects off of your clay and reuse on the next slab or discard them. <br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth away crumbs on the slab. Look back at the linked examples and notice the craftsmanship of the artwork. <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p>","","https://planning.alveary.org/links.html?id=rec6Egfk7sFGPs9e8&term=1&week=5","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recJKrnBhnveI4LB5","6","1","20m Handicrafts - Lesson 6","<p>Clay Modelling- Creating a Slab Cylinder<br>⍞ Materials: cardboard or plastic tubes of any thickness (optional), air dry clay, slip, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Cut two slabs of clay- a grapefruit and golf ball sized for your student to begin with. <br>Gather all necessary supplies. The cardboard or plastic tubes can be used for students who may need an armature to build their cylinders around. If it is a hard plastic, wrap it with plastic wrap or a plastic grocery bag before adding clay to it so that it will release once the clay dries. Do not let the clay dry completely before removing but only to leather hard.</p><p>➜ NOTE<br>The cardboard or plastic tubes can be used for students who may need an armature to build their cylinders around. If it is a hard plastic, wrap it with plastic wrap or a plastic grocery bag before adding clay to it so that it will release once the clay dries. Do not let the clay dry completely before removing but only to leather hard. (You could also use a soda or soup can as an armature but be sure to wrap them in plastic.)</p><p>➜ PRACTICE<br>Watch the tutorial video. <br>∞ Video Link: Project #6 Slab Cylinder<br>∞ Link: Slab Cylinder Examples (These cylinders have been pressed with textures just like in the lesson last week. If you desire to do that, press the textures into the slab before forming the tube.)<br>• Follow the first four steps from our first lesson in order to get the proper slab. You want 1- 3&quot; circle that is 1/4&quot; thick and 1- 6&quot; slab that is 1/4&quot; thick. <br>• Smooth out your clay slabs as you normally do at the end before building your cylinder. <br>• Allow your circle slab to sit out and be drying while you are building your cylinder. (You do not want it to dry completely before using it.)<br>• Roll your cylinder. You may need to use an armature to help with structure. See NOTE above. <br>• Overlap the ends and mark how far you will need to score or each overlap. Then score with a tool.<br>• Add slip to the score marks on one side and join sides together.<br>• Once seam is well established, smooth the inside and the outside of the cylinder.</p><p>➜ NOTE <br>• Keep a hand on the inside of the cylinder/tube as you are smoothing in order to keep your cylinder from collapsing. Do the same on the outside when you are smoothing the inside in order to keep the cylinder from bulging out. <br>• Score around the top edge of the circle slab and score the bottom edge of the cylinder where the two pieces will meet.<br>• Add slip to the score marks and press the cylinder onto the circle slab carefully but with some pressure. You should be able to lift the cylinder and have the base stay attached at this point.<br>• Smooth out this seam. Use a long tool to smooth the inside seam. <br>• Add decoration to the surface if you did not press a texture in before beginning to build. <br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth out the cylinder. Look back at the linked examples and notice the craftsmanship of the artwork. <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p><p>Assign students a bas or high relief sculpture in science. Allow them to visualize a scientific concept that they are studying and to create it in clay.</p>","","https://planning.alveary.org/links.html?id=rec6Egfk7sFGPs9e8&term=1&week=6","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recMaxPenh3hZfjWa","7","1","20m Handicrafts - Lesson 7","<p>Clay Modelling- Creating a Slab Cylinder #2<br>⍞ Materials: air dry clay, slip, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Gather all necessary supplies.</p><p>➜ NOTE<br>Students will be working from a slab each week which will require rolling out a particular size, shape and thickness. They may need help at first learning how to measure these aspects with a ruler until they get to the preferred size. Projects may need to be wrapped up and finished during afternoon occupations or free time but will depend upon the student.</p><p>➜ PRACTICE<br>• There is no tutorial video for this lesson. Students are to create another slab cylinder vessel like the last lesson. Their slabs and cylinder vessels can be any size they would like. <br>• If you did not add a surface texture before building your last slab cylinder, try it this time. <br>• Don't forget to score and slip and smooth your seams.<br>• Add decoration to the surface if you did not press a texture in before beginning to build. <br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth out your cylinder. Look back at the linked examples and notice the craftsmanship of the artwork. <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p>","","","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recGesAhkWZc5n1SY","8","1","20m Handicrafts - Lesson 8","<p>Clay Modelling- Slab Hump Vessel<br>⍞ Materials: a ball or balloon at least 4&quot; in diameter, plastic wrap (or plastic grocery bag), air dry clay, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Gather all necessary supplies. <br>Teachers should cut a grapefruit sized slab for students to roll out for a slab.</p><p>➜ NOTE<br>Students will be working from a slab each week which will require rolling out a particular size, shape and thickness. They may need help at first learning how to measure these aspects with a ruler until they get to the preferred size. Projects may need to be wrapped up and finished during afternoon occupations or free time but will depend upon the student.</p><p>➜ PRACTICE<br>Watch the tutorial video. <br>∞ Video Link: Project #7 Slump &amp; Hump Molds<br>∞ Link: Slab Hump Vessel Example #1<br>∞ Link: Slab Hump Vessel Example #2<br>• Wrap your hump mold with plastic wrap. You may need to tape the plastic wrap on. Do this on the flip side of the mold where your clay will not be.<br>• Place the ball or balloon in a cup or can or another bowl to hold it still while using it. <br>• Roll out your slab to be large enough to fit a little less than halfway over the mold. You want your slab to be at least 1/4&quot; thick.<br>• Smooth your slab completely with your silicone or wooden rib. <br>• Lay the slab over your mold. Tap it down lightly with an open hand as you turn the mold around as you saw in the tutorial. <br>• You can add feet by making three little pieces- all the same size, and scoring and slipping them onto the exposed side of the slab. You can also roll a coil for the foot. Score and slip it on. Be sure to smooth out your seams.<br>• Cover your slab loosely with plastic and allow it to dry for 24-48 hours. It should dry slowly so that it does not crack. Check on it from time to time to make sure it is not drying unevenly. If you find that it is, you can mist spray the areas that are drying faster. Just dampen them, do not drench them. <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p><p>Assign your students a bas relief for map work in geography.</p>","","https://planning.alveary.org/links.html?id=rec6Egfk7sFGPs9e8&term=1&week=8","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recRKK8RPAhJC6gkB","9","1","20m Handicrafts - Lesson 9","<p>Clay Modelling- Catch-up or Create a Slab Project of Your Choice<br>⍞ Materials: air dry clay, slip, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Gather all necessary supplies.</p><p>➜ PRACTICE<br>Make another of your favorite slab projects or finish the surfaces of previous projects with acrylic paint. Be sure to spray your dried clay project with a finish before applying paint. If you use a brushed finish or fail to apply a spray finish then your paint will likely peel off while you are applying it or after it dries. <br>• Don't forget to score and slip and smooth your seams.<br>• Add decoration to the surface if you did not press a texture in before beginning to build. <br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth out your cylinder. Look back at the linked examples and notice the craftsmanship of the artwork. <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br>At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p>","","","Lesson","0","FALSE"
"alveary-rec6Egfk7sFGPs9e8","alveary-recahoMs5mZWURWaz","10","1","20m Handicrafts - Lesson 10","<p>Clay Modelling- Catch-up or Create a Slab Project of Your Choice<br>⍞ Materials: air dry clay, slip, sponge, water, work surface, table cloth or other surface covering, clay tools, air tight container or plastic bag to store clay projects in from week to week, paper towel or cloth for cleaning hands, surface and wrapping damp around projects still in progress at the end of lesson time, rolling pin, ruler, spray bottle (for misting clay as you work), Krylon Triple Thick Acrylic Glaze</p><p>PREP: Gather all necessary supplies.</p><p>➜ PRACTICE<br>Make another of your favorite slab projects or finish the surfaces of previous projects with acrylic paint. Be sure to spray your dried clay project with a finish before applying paint. If you use a brushed finish or fail to apply a spray finish then your paint will likely peel off while you are applying it or after it dries. <br>• Don't forget to score and slip and smooth your seams.<br>• Add decoration to the surface if you did not press a texture in before beginning to build. <br>• When you have finished with your object and are satisfied, use your finger, a tool or a damp sponge to smooth out your cylinder. Look back at the linked examples and notice the craftsmanship of the artwork. <br>• After 24-48 hours of drying, take your clay outside to spray with a satin finish. Let it sit for 24 hours and then you can apply acrylic paint if you desire to add color. You can spray it again after painting. (Spray outside in fresh air and leave outside for several hours to get rid of fumes.)<br>• Clean up your work area as your teacher has instructed. Keep your clay crumbs in an old yogurt or cottage cheese cup. Each week you can mix a little water in to create slip.</p><p>➜ NOTE<br> At the end of your lesson time, wrap a damp, but not dripping wet, cloth or paper towel around your work in progress and store it in an air tight container or plastic bag if you did not finish during class time.</p><p>How is your modeling going so far? Are you investing effort into your craftsmanship?</p><p>Assign your students a slab built model in architecture or history. This will help them to visualize the significant details of architecture.</p>","","","Lesson","0","FALSE"
