"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec6h4nkUT7DoBh5s","alveary-rec2VjuiSCKFqtMwf","1","1","60m Food Science Labs - Lesson 1","<p>⍞ Materials: Salt, Fat, Acid, Heat, ingredients for Caesar Salad p.48, protein, bread, indicated kitchen supplies</p><p>➜ KITCHEN LAB<br>We'll learn more about salads in the coming weeks, but for this week, make Caesar Salad as on p.48-49 in SFAH. You may either use store-bought mayo for now or try the recipe (visual p.86-87 or traditional p.375). Serve alongside your choice of protein and bread/croutons. If you want to make your own mayonnaise, you might find the video below helpful.<br>∞ Video Link: Mayonnaise and the Science of Emulsions</p>","","https://planning.alveary.org/links.html?id=rec6h4nkUT7DoBh5s&term=1&week=1","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-recQEgCiaeKtMZKKg","2","1","60m Food Science Labs - Lesson 2","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Salt Lesson. Decide on next Salt Lesson p.428 and add to shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-rec5XgyuTq9N96iil","3","1","60m Food Science Labs - Lesson 3","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Salt Lesson. Decide on next Salt Lesson p.428 and add to shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-rec8y43cAPYzOZ5LR","4","1","60m Food Science Labs - Lesson 4","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Salt Lesson. Decide on the next Cooking Lesson and add to the shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-recpZcZqELbh1cmrw","5","1","60m Food Science Labs - Lesson 5","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Cooking Lesson. Decide on the next Cooking Lesson and add to the shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-recn1bXMO8NjgbdYZ","6","1","60m Food Science Labs - Lesson 6","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Cooking Lesson. Decide on the next Cooking Lesson and add to the shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-recp27XqU1SDJz0kd","7","1","60m Food Science Labs - Lesson 7","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Cooking Lesson. Decide on the next Cooking Lesson and add to the shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-recmGGODzwdfStML9","8","1","60m Food Science Labs - Lesson 8","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Cooking Lesson. Decide on the next Cooking Lesson and add to the shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-recWVbNqrhpTMrbZC","9","1","60m Food Science Labs - Lesson 9","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Cooking Lesson. Decide on the next Cooking Lesson and add to the shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
"alveary-rec6h4nkUT7DoBh5s","alveary-recXYIkBrPInOEsS2","10","1","60m Food Science Labs - Lesson 10","<p>⍞ Materials: Salt, Fat, Acid, Heat, indicated ingredients, and kitchen supplies</p><p>➜ KITCHEN LAB<br>Prepare the chosen Cooking Lesson. Decide on the next Cooking Lesson and add to the shopping list, if you haven’t already.</p>","","","Lab","0","FALSE"
