"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recZ30FvwkCDwOtEK","1","1","30m History of Lit: Grades 9-12 - Lesson 1","<p>Introduction - Romanticism<br>⍞ Materials: History of Lit PDF</p><p>➜ INTRO<br>What authors and books come to mind when you think about literature in 19th century? You may be familiar with terms such as the &quot;Romantic period&quot; or &quot;Victorian period.&quot; Tell or jot down anything that comes to mind.<br>Over the year we'll learn about the lives and writings of people who wrote from about 1800-1900 AD. These individuals wrote in a wide array of genres: poetry, essays, short stories, plays, science fiction, mysteries, thrillers, children's stories, and more. When possible, the readings scheduled in History of Lit will align with what you are reading in your Poetry and General Literature courses.<br>We'll focus on authors who wrote in English but will also spend some time getting a taste for influential texts written in other languages as well. Every culture has significant texts and stories, so while we're limited in this course to English texts and texts translated into English, it's important to remember there is a world of books and literary traditions from cultures around the world which we don't have the time or often the language to read in this course!</p><p>English writings from the end of the 18th century into the first half of the 19th century are sometimes grouped together as part of the &quot;Romantic Period.&quot; As with any generalization, this is a label scholars have put on the time frame as they look back, not something authors were so much thinking about consciously as they wrote, although as we will see, writers and poets from this period were often aware that their style of writing was something new.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>∞ PDF Link: History of Lit PDF &quot;The Romantic Period&quot; p.1-7</p><p>• What are some of the themes to look out for when you read literature from the Romantic Period? How did Romantic writers break with the traditions of Classicism? Do you recognize any ideas about poets and poetry in this reading that are still current today? How would you say our time is different or similar? What &quot;rules&quot; define literature written in English today?</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=1","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recMN2pqDm7qxexny","2","1","30m History of Lit: Grades 9-12 - Lesson 2","<p>William Wordsworth and Samuel Taylor Coleridge<br>⍞ Materials: English Literature for Boys &amp; Girls</p><p>➜ RECAP<br>What do you recall about the major themes of the Romantic Period from last week's reading?</p><p>➜ INTRO<br>Today, we will learn more about the life and work of two poets - William Wordsworth and Samuel Taylor Coleridge, who are most closely associated with English Romantic poetry.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. Marshall, Ch.LXXIV &quot;Wordsworth - the Poet of Nature.&quot;<br>• How did Wordsworth's experiences as a child seem to influence his later poetry?</p><p>2\. Marshall, Ch.LXXV &quot;Wordsworth and Coleridge - the Lake Poets.&quot;<br>• What are some similarities and differences between the two poets?</p><p>• IMPORTANT DATES<br>William Wordsworth (1770-1850)</p><p>Samuel Taylor Coleridge (1772-1834)</p><p>First publication of the Lyrical Ballads (1798)</p>","","","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recxpnFHOx2PGOmJS","3","1","30m History of Lit: Grades 9-12 - Lesson 3","<p>Rabindranath Tagore</p><p>➜ INTRO<br>If you are taking the Poetry Reading course this year, you will spend much of Term 1 reading poems by the Bengali writer, philosopher, and artist Rabindranath Tagore. He wrote in Bengali, but translated his own works into English. He is a significant figure for Indian nationalism, and, though not himself a politician, was a vocal proponent of India's independence at the turn of the twentieth century.</p><p>➜ VIEW, NARRATE &amp; DISCUSS<br>This video provides an excellent overview of Tagore's life and work. It will take nearly the entire lesson time to watch, although you can watch at 1.25x speed.<br>∞ Video Link: Rabindranath Tagore – Mystic Poet, Literary Genius &amp; Nobel Laureate</p><p>• What were some of Tagore's major contributions to arts and history?</p><p>➜ READ<br>∞ Link: The Gardener 85<br>This short poem is a timely piece to read, since Tagore was still alive and writing a century ago.</p><p>• IMPORTANT DATES<br>Rabindranath Tagore (1861-1941)</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=3","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recNi70TSIIvWvraF","4","1","30m History of Lit: Grades 9-12 - Lesson 4","<p>Sir Walter Scott<br>⍞ Materials: English Literature for Boys &amp; Girls</p><p>➜ INTRO<br>E.M. Forster described Sir Walter Scott as a writer &quot;over whom we shall violently divide,&quot; and certainly he has had his share of ardent readers and detractors. But one reason his works are still appreciated, as the literary critic Walter Allen said, is that &quot;without being in the strict sense a historian, he revolutionized the writing of history.&quot; Today we will learn more about this author whom Virginia Woolf described as &quot;perhaps the last novelist to practice the great, the Shakespearean art, of making people reveal themselves in speech,&quot; and of whom Jane Austen said, &quot;Walter Scott has no business to write novels, especially good ones. It is not fair. He has Fame and Profit enough as a Poet&quot;!</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.LXXVII &quot;Scott - The Awakening of Romance<br>Ch.LXXVIII &quot;Scott - 'The Wizard of the North'&quot;</p><p>• What elements of Scott's subject matter and style seem distinctive to you?</p><p>➜ READ<br>∞ Link: Lochinvar</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=4","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recTFFuheW7evr7om","5","1","30m History of Lit: Grades 9-12 - Lesson 5","<p>Percy Bysshe Shelley<br>⍞ Materials: History of Lit PDF</p><p>➜ RECAP<br>What do you recall about Sir Walter Scott from last week?</p><p>➜ INTRO<br>Today, we are turning our attention to the first of two second-generation Romantic poets: Percy Bysshe Shelley, the husband of Mary Shelley (the author of Frankenstein). If you are also taking the Poetry course, you will read some of his poetry this week. However, today you will also read an excerpt from his Defence of Poetry, a philosophical essay on the nature and function of poets and poetry.<br>Do you recall any details about Shelley from the overview of the Romantic Period you read in Week 1?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>1\. ∞ Article Link: Percy Bysshe Shelley Biography</p><p>2\. Defence of Poetry<br>∞ Link: History of Lit PDF p.8-13</p><p>• What are the main points Shelley is making in this excerpt? What images and arguments stand out to you the most? What do you think he means by &quot;poets are the unacknowledged legislators of the world?&quot;</p><p>• COMPOSITION - Compare/Contrast<br>Compare and contrast what you read of Shelley's Defence to the Preface to the Lyrical Ballads.</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=5","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recovIRpHlU44TMI4","6","1","30m History of Lit: Grades 9-12 - Lesson 6","<p>Mary Wollstonecraft Shelley</p><p>➜ RECAP<br>What do you recall about Percy Bysshe Shelley from last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>This article is fairly long. You may skim through the information about her early life with Percy Shelley, but be sure to read the excerpts of her travel writing and other prose towards the end of the article.</p><p>∞ Article Link: Mary Wollstonecraft Shelley Biography</p><p>• What aspects of Mary Shelley's character are evident in her writing? If you are reading Frankenstein this year, does knowing more about the author's life affect your reading of her work?</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=6","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recxSlVQzdY5Hiskb","7","1","30m History of Lit: Grades 9-12 - Lesson 7","<p>John Keats<br>⍞ Materials: English Literature for Boys and Girls</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.LXXXI &quot;Keats - The Poet of Beauty&quot;</p><p>• What are some connections between Keats and other writers you have studied this term? Which excerpts of his writing did you enjoy the most in today's reading?</p>","","","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recEFBKhTM05n61Ug","8","1","30m History of Lit: Grades 9-12 - Lesson 8","<p>Gertrudis Gómez de Avellaneda</p><p>➜ INTRO<br>Today, we will learn about a Romantic poet from another part of the world - Gertrudis Gómez de Avellaneda - who was born in Cuba and lived in Spain. She is the subject of The Lightning Dreamer, a biographical story told through poems, which you will start reading this week if you are taking the Poetry Reading 9-12 course.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>∞ Article Link: Biography of Gertrudis Gomez de Avellaneda</p><p>• What aspects of her life made it difficult for her to be a poet? What aspects made it easier for her to be a poet than other women during this time period?<br>• The article describes her as &quot;the epitome of the Romantic poet, the tragic heroine who rises to public acclaim yet, in private, is bitterly unhappy,&quot; which is a quotation from the preface to a 2001 edition of her novel Sab. Are there other Romantic poets you've learned about so far this term that you would describe the same way?<br>• What questions do you have about Avellaneda's life and work?</p><p>➜ READ &amp; DISCUSS<br>∞ Link: 10 Poems by Gertrudis Gomez de Avellaneda</p><p>• What are your first impressions of her poetry? What subjects does she choose to write about?<br>• Do her poems remind you of anything else you've read?</p><p>• EXTRA HELPING<br>Listen to a recitation of &quot;To a Butterfly&quot;<br>∞ Video Link: To A Butterfly by Gertrudis Gómez de Avellaneda</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=8","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recQTOON35mOlgh3I","9","1","30m History of Lit: Grades 9-12 - Lesson 9","<p>José María Heredia</p><p>➜ RECAP<br>What do you remember about Gertrudis Gomez de Avellaneda's life and poetry?</p><p>➜ INTRO<br>As a child in Cuba, Gertrudis Gomez de Avellaneda was tutored by the Cuban Romantic poet José María Heredia. Today, we will learn more about him and read two selections of his poetry. If you are reading The Lightning Dreamer, you will discover just how much influence Heredia had on Gertrudis Gomez de Avellaneda's development as a writer and thinker.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>∞ Article Link: Biography of José María Heredia</p><p>➜ READ &amp; DISCUSS<br>∞ Link: Niagara<br>∞ Link: The Hurricane</p><p>• How would you describe the mood of these poems?<br>• What do Niagara Falls and The Hurricane symbolize in these poems?<br>• Do these poems remind you of any others you have read this year?</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=9","Lesson","0","FALSE"
"alveary-rec6j5XLnrMBoubth","Import is Current","alveary-recqYLmfEU3mRgfrk","10","1","30m History of Lit: Grades 9-12 - Lesson 10","<p>Felicia Dorothea Hemans</p><p>➜ RECAP<br>Which of the two poems by Heredia that you read last week did you prefer?</p><p>➜ INTRO<br>We're jumping back in time by a few decades today to meet Felicia Dorothea Hemans, an English Romantic poet who was wildly popular in her own day. She was read and admired by many poets you have been reading so far this term.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>∞ Article Link: Biography of Felicia Dorothea Hemans</p><p>• Writing allowed Hemans to provide for herself and her five sons after her husband abandoned her, but what were some ways that the challenges she faced negatively impacted her writing?<br>• Do you see any similarities in the biographies of Felicia Hemans and Mary Shelley?</p><p>➜ READ &amp; DISCUSS<br>∞ Link: To Wordsworth<br>∞ Link: The Haunted House<br>∞ Link: Casabianca</p><p>• How would you describe the style of these poems? Do they remind you of other works you've read so far this year?<br>• The poem Casabianca, with its tragic pathos, was a poem that almost took on a life of its own upon publication, being often imitated and (later on) parodied. What do you think it was about this poem that made it so popular?</p>","","https://planning.alveary.org/links.html?id=rec6j5XLnrMBoubth&term=1&week=10","Lesson","0","FALSE"
