"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-1-1","1","1","30m Keyboarding - Lesson 1","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-1-2","1","2","30m Keyboarding - Lesson 2","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-2-1","2","1","30m Keyboarding - Lesson 3","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-2-2","2","2","30m Keyboarding - Lesson 4","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-3-1","3","1","30m Keyboarding - Lesson 5","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-3-2","3","2","30m Keyboarding - Lesson 6","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-4-1","4","1","30m Keyboarding - Lesson 7","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-4-2","4","2","30m Keyboarding - Lesson 8","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-5-1","5","1","30m Keyboarding - Lesson 9","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-5-2","5","2","30m Keyboarding - Lesson 10","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-6-1","6","1","30m Keyboarding - Lesson 11","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
"alveary-rec6r1YSTtDI9TXFv","alveary-tracker-rec6r1YSTtDI9TXFv-6-2","6","2","30m Keyboarding - Lesson 12","<p>➜ INTRO<br>Watch any video tutorials that go with your current lesson in typing.com.</p><p>➜ PRACTICE<br>Keeping fingers in their proper places on the home row, complete the exercise(s) for this lesson.</p><p>➜ PLAY<br>Use correct fingering to play any games that go with the lesson.</p><p>➜ EXPLORE (optional)<br>Visit Extra Helpings for more ideas and resources to take your typing to the next level!</p>","","","Lesson","0","FALSE"
