"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec6wnEhawnLo3GTm","alveary-recJfpq4j1Ln61AwT","1","1","20m Old Testament: Grade 2 - Lesson 1","<p>God Created Light and the World Around Us <br>⍞ Materials: Bible Story Handbook</p><p>PREP: If you haven't read the Introduction section on p.13-30, please do that. Prior to this lesson, read lessons 1-2, p.33-37.</p><p>➜ INTRO<br>This year we will be reading true stories from the Bible that show us who God is and what he is like. This is his story of how he created a people with whom he could dwell and have a relationship.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 1:1-19 (Stop after several verses to have student narrate.)</p><p>➜ VIEW &amp; DISCUSS<br>Talk about what was created each day.<br>∞ Art Print Link: Creation Window</p>","","https://planning.alveary.org/links.html?id=rec6wnEhawnLo3GTm&term=1&week=1","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-rec6HJThIVou3TkrD","1","2","20m Old Testament: Grade 2 - Lesson 2","<p>God Made Animals and People <br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lessons 3-4 p.37-42</p><p>➜ RECAP<br>What did you read about Creation last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 1:20-31 (Stop after several verses to have student narrate.)</p><p>➜ VIEW &amp; DISCUSS<br>How does this artwork compare with the picture you imagined?<br>∞ Image Link: The Garden of Eden by Jan Brueghel the Elder</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","https://planning.alveary.org/links.html?id=rec6wnEhawnLo3GTm&term=1&week=1","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recQs4WxtMIyjQCZC","1","3","20m Old Testament: Grade 2 - Lesson 3","<p>God Rested; God Created Men and Women <br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lesson 4 p.39-42</p><p>➜ RECAP<br>What did you read about Creation last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 2:1-9; Genesis 2:15-24</p>","","","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recoTlTjzIyjowEbk","2","1","20m Old Testament: Grade 2 - Lesson 4","<p>The Fall <br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lesson 5 p.42-45</p><p>➜ RECAP<br>What did you read about Creation last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 3</p>","","","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recXNalyQYagIlVdd","2","2","20m Old Testament: Grade 2 - Lesson 5","<p>Cain and Abel <br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lesson 6 p.45-47</p><p>➜ RECAP<br>What did you read about the Fall last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 4:1-16</p>","","","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recP36tM7tCpR6eM5","2","3","20m Old Testament: Grade 2 - Lesson 6","<p>Noah <br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lesson 7 p.47-49</p><p>➜ RECAP<br>What did you read about Cain and Abel last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 6:9-22</p>","","","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recJr1fGOEQlR6g5Y","3","1","20m Old Testament: Grade 2 - Lesson 7","<p>Noah <br>⍞ Materials: Bible Story Handbook, God's Bible Timeline</p><p>➜ NOTE <br>Various times throughout the year, we have the students look at God's Bible Timeline as a way to recap the previous lessons. You can read the descriptions of the events or just quickly go through them. Not all of the events are covered in their readings. Feel free to skip those or briefly talk about them.</p><p>PREP: Read lesson 7 p.47-49</p><p>➜ RECAP<br>God's Bible Timeline p.12-13 (top row)<br>We will look at a timeline that shows the events we have read about so far. Try to guess what story the picture is illustrating.</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 7:1-16</p>","","","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recjivqDdSjw2elSx","3","2","20m Old Testament: Grade 2 - Lesson 8","<p>Noah <br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lesson 7 p.47-49</p><p>➜ RECAP<br>What did you read about Noah last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 7:17-24; Genesis 8:1-5</p>","","","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recQwGJbiasMxPHvF","3","3","20m Old Testament: Grade 2 - Lesson 9","<p>Noah<br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lesson 7 p.47-49</p><p>➜ RECAP<br>What did you read about Noah last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 8:6-19</p>","","","Lesson","0","FALSE"
"alveary-rec6wnEhawnLo3GTm","alveary-recAOJP8xuUFKMLCf","4","1","20m Old Testament: Grade 2 - Lesson 10","<p>Noah <br>⍞ Materials: Bible Story Handbook</p><p>PREP: Read lesson 7 p.47-49</p><p>➜ RECAP<br>What did you read about Noah last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Genesis 8:20-22; Genesis 9:7-17</p><p>➜ VIEW &amp; DISCUSS<br>How does this artwork compare with the picture you imagined?<br>∞ Art Print Link: Prayer of Thanks After Disembarking from Noah's Ark by Domenico Morelli</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","https://planning.alveary.org/links.html?id=rec6wnEhawnLo3GTm&term=1&week=4","Lesson","0","FALSE"
