"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec70iVDbPNOjYgyU","alveary-recw3ueUE8ezEBbga","1","1","45m Microbiology Lessons - Lesson 1","<p>⍞ Materials: I Contain Multitudes</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 8 pages each week.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-rec4eLzQp75evbvBx","1","2","45m Microbiology Lessons - Lesson 2","<p>⍞ Materials: A Field Guide to Bacteria</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week, starting with the Appendices. Continue with the Introduction and read forward. Sometimes there will be practical things to do with the microscope and bacteria, but other times you will be reading to gain a greater understanding of bacteria from many different places. Sometime before next week, watch the author's video on bacteria. You may or may not agree with the author's perspective, but the point of the video is to see where some of the more recent thinking is concerning microbes.</p><p>➜ VIEW        <br>∞ Video Link: Talk by Betsey Dexter</p>","","https://planning.alveary.org/links.html?id=rec70iVDbPNOjYgyU&term=1&week=1","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recxg1TzYI6spB06A","1","3","45m Microbiology Lessons - Lesson 3","<p>⍞ Materials: Microbe Hunters or A Planet of Viruses</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recCEM24gPfSc16V9","1","4","45m Microbiology Lessons - Lesson 4","<p>⍞ Materials: The Immortal Life of Henrietta Lacks</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week.</p><p>Gather some family and friends and watch the video &quot;Seven Wonders of the Microbe World.&quot;</p><p>➜ VIEW	<br>∞ Video Link: Seven Wonders</p>","","https://planning.alveary.org/links.html?id=rec70iVDbPNOjYgyU&term=1&week=1","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recbszMtqnwIJeZP0","1","5","45m Microbiology Lessons - Lesson 5","<p>⍞ Materials: Illustrated Guide to Home Biology Experiments</p><p>➜ READ<br>Read p.3-51 at your own pace over the next few lab periods. If you already have a good working microscope of reasonable quality, you may be able to skim through the microscope chapter. If you are not that familiar with your microscope, you may benefit from reading it. You will move at your own pace through the microbiology labs in this book after completing the first 6 in order (Labs I-1 through II-3). Then, you are free to pick and choose based on your interests and/or the availability of needed supplies. The more you do, the more you will grow in your understanding of microbiology! There are several labs in the book that are general biology labs (10-12,18,20,21,23, and 24). You will skip over these and focus on the ones that require a microscope.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recsQ9drkLVx11NyS","2","1","45m Microbiology Lessons - Lesson 6","<p>⍞ Materials: I Contain Multitudes</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 8 pages each week.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recggbdd3ewGyf3jZ","2","2","45m Microbiology Lessons - Lesson 7","<p>⍞ Materials: A Field Guide to Bacteria</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week. Come up with an interesting way to present or summarize the information in this book. It could be a map, chart, diagram, or something else.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-rec5ukoFFy3QSt3HD","2","3","45m Microbiology Lessons - Lesson 8","<p>⍞ Materials: Microbe Hunters or A Planet of Viruses</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recZe55py0oknJO2U","2","4","45m Microbiology Lessons - Lesson 9","<p>⍞ Materials: The Immortal Life of Henrietta Lacks</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-rec2eDE52e00l3Sul","2","5","45m Microbiology Lessons - Lesson 10","<p>⍞ Materials: Illustrated Guide to Home Biology Experiments</p><p>➜ READ<br>Finish reading p.3-51.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recGQktg2W87WYYqP","3","1","45m Microbiology Lessons - Lesson 11","<p>⍞ Materials: I Contain Multitudes</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 8 pages each week.</p><p>• PLAN WEEKLY<br>⬚ nature walk - record observations<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recOScedjrlWd1WNw","3","2","45m Microbiology Lessons - Lesson 12","<p>⍞ Materials: A Field Guide to Bacteria</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-rechYrf6iMefp0gpp","3","3","45m Microbiology Lessons - Lesson 13","<p>⍞ Materials: Microbe Hunters or A Planet of Viruses</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week.</p>","","","Lesson","0","FALSE"
"alveary-rec70iVDbPNOjYgyU","alveary-recyDPygApgnPOOv2","3","4","45m Microbiology Lessons - Lesson 14","<p>⍞ Materials: The Immortal Life of Henrietta Lacks</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read and narrate 10 pages each week.</p>","","","Lesson","0","FALSE"
