"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recONGYsBSIY3L50v","1","1","30m Church History: Grades 10-12 - Lesson 1","<p>⍞ Materials: Turning Points in American Church History: How Pivotal Events Shaped a Nation and a Faith, Journal or Notebook</p><p>➜ READ<br>Chapter 7 The Benevolent Empire, p.131-151</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, identify three ideas that were new to you from this chapter and explain why those ideas captured your attention.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recY66Ieww5CXDBHa","2","1","30m Church History: Grades 10-12 - Lesson 2","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Chapter 1 The Church Fathers: Who Is Included?, p.1-4<br>and<br>Chapter 2 Clement and the Corinthian Coup, p. 5-10</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, explain how developing a literary relationship with the early Church Fathers can impact a person's spiritual life.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recpEc2BM2mwWKCIL","3","1","30m Church History: Grades 10-12 - Lesson 3","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.3 The Didache: Out of the Mist of History, p.11-17</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>If you were writing a catechism, what three areas of instruction would you prioritize first and why? Write your answer in your journal/notebook.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recBwfUUZc8qgkHco","4","1","30m Church History: Grades 10-12 - Lesson 4","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.4 Ignatius: Prophet, Pastor, and Witness, p.18-28</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ CHARACTER SKETCH<br>Develop a character sketch of Ignatius and share it with a family member or friend.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rech3yR8NLwxmwVXB","5","1","30m Church History: Grades 10-12 - Lesson 5","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.5 The Martyrdom of Polycarp, p.29-37</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DEFINE &amp; REFLECT<br>In your journal/notebook, define martyrdom and reflect on the impact martyrdom has on the church.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recIVck8uPMyyeVLM","6","1","30m Church History: Grades 10-12 - Lesson 6","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.6 Diogenetus and the Mystery of Christian Newness, p.38-46</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, write down the questions the &quot;mystery author&quot; answered, and respond to those questions in your own words.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recauEgg9VKTF90mR","7","1","30m Church History: Grades 10-12 - Lesson 7","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.7 Justin and the Philosopher's Cloak, p.47-57</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ EXPLAIN<br>In your journal/notebook, explain why Justin considered himself a philosopher. Why did Justin refer to Christ as a &quot;key that unlocked all doors...&quot;?</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recKeQOpUdEyvGjgn","8","1","30m Church History: Grades 10-12 - Lesson 8","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.8 Irenaeus and the Gnostic Threat, p.58-67</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ LIST<br>In your journal/notebook, identify the heresies that Irenaeus confronted, and make a list of the potential heresies the church is battling against today. Are there similarities between today's heresies and those that Irenaeus confronted?</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec85sCO7wSZwl0EV","9","1","30m Church History: Grades 10-12 - Lesson 9","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.9 Irenaeus and the Battle for the Bible, p.68-76</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ EXPLAIN<br>Explain how the canon of Scripture was established to a friend or family member.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recC35nQolkSErb8q","10","1","30m Church History: Grades 10-12 - Lesson 10","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.10 Clement and the School of Alexandria, p.77-87</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ CONTRAST<br>In your journal/notebook, contrast gnosticism with Clement's understanding of a &quot;true&quot; gnostic.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec3XTIaSzFmVi1aZ","11","1","30m Church History: Grades 10-12 - Lesson 11","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.11 Origen: Zeal and Genius, p.88-101</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DESCRIBE<br>In your journal/notebook, describe the catechetical institute of Alexandria and include the academic disciplines that were studied. Why did the institute include disciplines beyond biblical studies?</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recNtH2phWd9SPGNS","12","1","30m Church History: Grades 10-12 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p><p>Question will come from: <br>When The Church Was Young</p>","<p>★ Church History: Grades 10-12 — TERM 1 EXAM QUESTIONS<br>· When the Church Was Young: Select an Early Church Father from the reading that you enjoyed learning about and identify several things you learned from him. Explain how you are incorporating those things into your daily living.</p>","","Exam","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recdjxFHZF3rrmnS1","13","1","30m Church History: Grades 10-12 - Lesson 13","<p>⍞ Materials: Turning Points in American Church History: How Pivotal Events Shaped a Nation and a Faith, a Journal or Notebook</p><p>➜ READ<br>Ch.8 Houses Divided, p.153-172</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ IDENTIFY<br>In your journal/notebook, identify three ideas that captured your attention and explain why.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec7oIHx4Ak7Y1fEV","14","1","30m Church History: Grades 10-12 - Lesson 14","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.12 The Tragedy of Tertullian, p.102-112</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DESCRIBE<br>In your journal/notebook, describe Tertullian's views on Christian persecution and martyrdom.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rechiofYRxfGivcnS","15","1","30m Church History: Grades 10-12 - Lesson 15","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.13 Cyprian and the Unity of the Church, p.113-124</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ NARRATE<br>In your journal/notebook, identify what concerned Cyprian the most.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec8P7PKZBB19z4WY","16","1","30m Church History: Grades 10-12 - Lesson 16","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.14 Hippolytus and the Lex Orandi, p.125-138</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ CONTRAST<br>In your journal/notebook, contrast the transformation of behavior with the intellectual understanding of doctrine.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recvXGfxyt3cTkuCm","17","1","30m Church History: Grades 10-12 - Lesson 17","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.15 The Great Persecution, p.139-149</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, write about something that caught your attention.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec9VZNTe2jNZb7o8","18","1","30m Church History: Grades 10-12 - Lesson 18","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.16 Nicea, the First Ecumenical Council, p.150-161</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ EXPLAIN<br>Explain to a family member or a friend why the Council of Nicaea was convened.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recGXBZFxVWmA6Ppe","19","1","30m Church History: Grades 10-12 - Lesson 19","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.17 Athanasius against the World, p.162-178</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DESCRIBE<br>How would you describe Athanasius's character to someone who has never heard of him? Write your answer in your journal/notebook.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recMMQlMFqZlHi2jf","20","1","30m Church History: Grades 10-12 - Lesson 20","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.18 Basil the Great, p.179-191</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, write a &quot;Rule of Life&quot; that would challenge you to become more disciplined and intentional with your time and share it with a family member or friend.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-reckk1pZyNWbRZOS6","21","1","30m Church History: Grades 10-12 - Lesson 21","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.19 Two Gregorys and a Council, p.192-199, from the beginning of the chapter - &quot;the imperial capital.&quot;</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DESCRIBE<br>In your journal/notebook, describe the type of relationship Gregory and Basil cultivated.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec7HZ5S4yGGITjqJ","22","1","30m Church History: Grades 10-12 - Lesson 22","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.19 Two Gregorys and a Council, p.199-209, from &quot;Basil had helped&quot; - end of chapter.</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ COMPARE &amp; CONTRAST<br>In your journal/notebook, compare and contrast the two Gregorys.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recAkjbBwtNilGG9Y","23","1","30m Church History: Grades 10-12 - Lesson 23","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.20 Ambrose of Milan: The Jonah of the West, p.210-222</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DISCUSS<br>Identify something that stood out to you from the reading.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec9PmRTqtgziTqpK","24","1","30m Church History: Grades 10-12 - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p><p>Questions will come from: <br>When The Church Was Young</p>","<p>★ Church History: Grades 10-12 — TERM 2 EXAM QUESTIONS<br>· When the Church Was Young: Write about the impact persecution had on the early church. How did the Early Church Fathers respond to the persecution they faced? Include examples.</p>","","Exam","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recdVfylzif0t7ApL","25","1","30m Church History: Grades 10-12 - Lesson 25","<p>⍞ Materials: Turning Points in American Church History: How Pivotal Events Shaped a Nation and a Faith, Journal or Notebook</p><p>➜ READ<br>Ch.9, p.173-192</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, select one of the personal letters (p.178 or p.184) and write a response letter to the individual.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recaeR0FIRCMBAwmc","26","1","30m Church History: Grades 10-12 - Lesson 26","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.21 Augustine and Amazing Grace, p.223-232, from the beginning of the chapter - &quot;to contend with.&quot;</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DESCRIBE<br>In your journal/notebook, describe the impact Augustine's mother had on his life.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recTVKyedsADdblzK","27","1","30m Church History: Grades 10-12 - Lesson 27","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.21 Augustine and Amazing Grace, p.233-242, from  &quot;Ten years after&quot; - end of chapter.</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, write about something from the reading that caught your attention.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec9obcVTs4KPHSiu","28","1","30m Church History: Grades 10-12 - Lesson 28","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.22 The Preacher with the Golden Tongue, p.243-255</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ LIST<br>In your journal/notebook, make a list of the reforms John implemented to refocus the church on its mission. Do any of those reforms need to be implemented today?</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recSFcaDpzQUEkag7","29","1","30m Church History: Grades 10-12 - Lesson 29","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.23 Jerome and the Bible, p.256-265</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, write about something from the reading that caught your attention.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recruQKkOlfMY9lCD","30","1","30m Church History: Grades 10-12 - Lesson 30","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.24 Leo and Peter, p.266-274</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DESCRIBE <br>In your journal/notebook, describe how Leo approached his role as pope, and explain why he was given such a unique title.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recMFSEplwRrpKTKO","31","1","30m Church History: Grades 10-12 - Lesson 31","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.25 Gregory the Great, p.275-279, from the beginning of the chapter - &quot;centuries to come.&quot;</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, write about something from the reading that grabbed your attention.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recPxB2eGWCblzz3q","32","1","30m Church History: Grades 10-12 - Lesson 32","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.25 Gregory the Great, p.279-285, from &quot;Gregory ranked effective&quot; - end of chapter.</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ LIST<br>In your journal/notebook, list the qualities or skills Gregory the Great expected every pastor to develop.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recidqDnYF5HNMVbp","33","1","30m Church History: Grades 10-12 - Lesson 33","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.26 The Voice in the Voices, p.286-289, from the beginning of the chapter - &quot;Gospel of Thomas, were not.&quot;</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ DISCUSS<br>Read the following passage and explain what the author is communicating:<br>&quot;What they passed on was not primarily a book, or a set of truths. It was a life. It was the truth...There are some things that you can only learn by absorbing them. You absorb such a thing by living with people who have it. And once absorbed, you can never fully articulate it. But you can live it, and you can pass it on to those you live with.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec6mzegEaekHj9nb","34","1","30m Church History: Grades 10-12 - Lesson 34","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Ch.26 The Voice of the Voices, p.289-294, from &quot;The most fundamental&quot; - end of chapter.</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ WRITE<br>In your journal/notebook, write about something in the reading that caused you to pause and reflect.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-rec4LPcz9hDqkpv6z","35","1","30m Church History: Grades 10-12 - Lesson 35","<p>⍞ Materials: When The Church Was Young: Voices of the Early Fathers, a Journal or Notebook</p><p>➜ READ<br>Postscript When the Church Was Young, p.295-296</p><p>➜ NARRATE<br>Take a moment and either silently or aloud summarize the main ideas of this section.</p><p>➜ CATCH UP<br>You use this week to catch up on previous readings or assignments.</p>","","","Lesson","0","FALSE"
"alveary-rec7YwUnwd3brNELW","Import is Current","alveary-recCFJNR2666gIGps","36","1","30m Church History: Grades 10-12 - Lesson 36","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p><p>Questions will come from: <br>When The Church Was Young</p>","<p>★ Church History: Grades 10-12 — TERM 3 EXAM QUESTIONS<br>· When the Church Was Young: Write about three important takeaways from the reading that have impacted your daily life and explain why.</p>","","Exam","0","FALSE"
