"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec7uNgPYM9JcXao1","alveary-recVN7wfTsBcjNJFX","1","1","10m History: Grade 1 (U.S.) - Lesson 1","<p>The First Americans<br>⍞ Materials: The Very First Americans, Globe</p><p>➜ INTRO<br>Point to Iraq (Tigris and Euphrates Rivers) on a globe. This is where the Garden of Eden is believed to have been. From there, where could people spread out and walk as the population grew? Point to North America. Could they walk here? How do you think they might have gotten here?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1 &quot;Long, long ago&quot; - &quot;The name stuck.&quot;</p><p>➜ LOCATE<br>Find the Bering Strait on the globe.</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recvRqeeAMvpcKKbZ","2","1","10m History: Grade 1 (U.S.) - Lesson 2","<p>People of the Tundra<br>⍞ Materials: Frozen Land, Globe</p><p>➜ RECAP<br>What do you remember from what we read last time?</p><p>➜ INTRO<br>When the first people came to America, some stayed in the frozen north (see picture). Humans need food, water, shelter, and clothing to survive. How might you get these things if you lived here? Find the Hudson Bay on a globe. This is where our story takes place. Is it near where you live?<br>∞ Image Link: Frozen Tundra</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-8 &quot;As the sun&quot; - &quot;be a fish.&quot;</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","https://planning.alveary.org/links.html?id=rec7uNgPYM9JcXao1&term=1&week=2","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recnGtjPZXCsb7TBA","3","1","10m History: Grade 1 (U.S.) - Lesson 3","<p>Caribou and Other Animals<br>⍞ Materials: Frozen Land</p><p>➜ INTRO<br>What kinds of animals do you think live near Kenalogak? What do you think they might eat?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.9-16 &quot;Kenalogak loves&quot; - &quot;the wolf skin.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p><p>• NATURE NOTEBOOK - Prompt in Outdoor Work Quick Link: Go to a natural area near your home. Imagine you are a Native American living in that place. Notice what is around you. How would you find or make food, water, shelter, and clothing so you could survive?</p>","","","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recDxiUrzHNaYlrcd","4","1","10m History: Grade 1 (U.S.) - Lesson 4","<p>Making an Igloo<br>⍞ Materials: Frozen Land</p><p>➜ RECAP<br>What do you remember about the Inuit?</p><p>➜ INTRO<br>What do you like to do when you spend time with your grandparents? Are there any special stories or songs they like to share? Today, Kenalogak's grandparents are coming for a visit.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.17-27 &quot;Playing outside&quot; - &quot;snow and ice.&quot;</p>","","","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-rec30jKYciyZ6EXb7","5","1","10m History: Grade 1 (U.S.) - Lesson 5","<p>The Owl and the Lemming</p><p>➜ INTRO<br>This is a &quot;trickster tale&quot; from the Eskimo/Inuit people. Lots of cultures have these kinds of stories. In the video, you will hear Inuit language and music. See if you can figure out why this kind of story is called a &quot;trickster tale.&quot;</p><p>➜ VIEW &amp; NARRATE<br>∞ Video Link: The Owl and the Lemming</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","https://planning.alveary.org/links.html?id=rec7uNgPYM9JcXao1&term=1&week=5","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recPJPqXXFoYB8gJU","6","1","10m History: Grade 1 (U.S.) - Lesson 6","<p>People of the Pacific Northwest<br>⍞ Materials: The Very First Americans</p><p>➜ INTRO<br>Not all of the first Americans stayed in the frozen north. Look at this picture. How is the land different from where Kenalogak lives? What do you think people who settled here may have used for food, water, shelter, and clothing?<br>∞ Image Link: Pacific Northwest</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.3-8 &quot;Tribes like the Chinook,&quot; - &quot;rich he was.&quot;</p>","<p>★ TEACHER TIP<br>Remember to recap the previous lesson before starting the new lesson.</p>","https://planning.alveary.org/links.html?id=rec7uNgPYM9JcXao1&term=1&week=6","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recSA3El1JDUUvKfB","7","1","10m History: Grade 1 (U.S.) - Lesson 7","<p>Comparing Two Ways of Life<br>⍞ Materials: The Very First Americans</p><p>➜ VIEW &amp; DISCUSS<br>Study the picture. Talk about some of the differences you notice between how these people live and how Kenalogak's family lives. If Kenalogak came for a visit to this village, what might she find strange? If one of these children were to visit Kenalogak, what would she need to do differently to survive? <br>p.5-6</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recKvAKFRWg2nFjye","8","1","10m History: Grade 1 (U.S.) - Lesson 8","<p>Totem Poles<br>⍞ Materials: Globe</p><p>➜ INTRO<br>Find British Columbia on a globe. Is it very close to Hudson Bay? Is it close to where you live? The people we will learn about today live here.</p><p>➜ VIEW &amp; DISCUSS<br>In this video, we learn about totem poles and other parts of the culture of the Pacific Northwest Tribes.<br>∞ Video Link: Pacific Northwest People</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons. Try illustrating a totem pole.</p>","","https://planning.alveary.org/links.html?id=rec7uNgPYM9JcXao1&term=1&week=8","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recnV9HMJyCG6tG45","9","1","10m History: Grade 1 (U.S.) - Lesson 9","<p>Totem Poles<br>⍞ Materials: Tales the Totems Tell (PDF)  <br>∞ PDF Link: Tales the Totems Tell</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The First Totem Pole&quot; p.1-9<br>&quot;When Ramlaryaelk&quot; - &quot;the totem pole.&quot;</p>","<p>★ TEACHER TIP<br>Remember to recap the previous lesson before starting the new lesson.</p>","https://planning.alveary.org/links.html?id=rec7uNgPYM9JcXao1&term=1&week=9","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-rec7nUBjh37jLwyM0","10","1","10m History: Grade 1 (U.S.) - Lesson 10","<p>Totem Poles (cont.)<br>⍞ Materials: Tales the Totems Tell (PDF)  <br>∞ PDF Link: Tales the Totems Tell</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;The Raven and the Indians&quot; p.10-17<br>&quot;Of all the&quot; - &quot;touched the moon.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using Legos, puppets, or by acting out the scene.</p>","https://planning.alveary.org/links.html?id=rec7uNgPYM9JcXao1&term=1&week=10","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recYLY8QGWqryPQ4K","11","1","10m History: Grade 1 (U.S.) - Lesson 11","<p>Catch-Up Day</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recbLgZyruYqLy0hq","12","1","10m History: Grade 1 (U.S.) - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course. If a book was not finished during the term, adjust the exam questions to reflect what was read or allow students to tell about or draw from stories or excerpts that they remember. If a student has difficulty getting started or gets &quot;stuck,&quot; they may look back at illustrations to help them refocus on ideas.</p><p>Questions will come from:<br>The Very First Americans, Frozen Land, Tales the Totems Tell</p>","<p>★ History: Grade 1 (U.S.) — TERM 1 EXAM QUESTIONS<br>· Frozen Land: Tell about the people of the Frozen Tundra. <br>OR <br>The Very First Americans: Tell about the people of the Pacific Northwest.</p><p>· Tell about or draw the story of the Owl and the Lemming.<br>OR <br>Tales the Totem Tells: Tell about or draw the story of the Raven and the Indians.</p>","","Exam","0","FALSE"
"alveary-rec7uNgPYM9JcXao1","alveary-recmntQaJx084qeJ9","13","1","10m History: Grade 1 (U.S.) - Lesson 13","<p>People of the Southwest<br>⍞ Materials: The Very First Americans</p><p>➜ INTRO<br>How is the place in this picture different from the Pacific Northwest? If your Tribe lived here, how could you get food, water, shelter, and clothing? The tall rock formation that is flat on top is called a &quot;mesa,&quot; which means &quot;table&quot; in Spanish.<br>∞ Image Link: Desert Mesa</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.9-12 &quot;The hot, dry&quot; - &quot;with the rain.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons. Try illustrating a mesa.</p>","","https://planning.alveary.org/links.html?id=rec7uNgPYM9JcXao1&term=2&week=13","Lesson","0","FALSE"
