"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recGZpz6VOeASTYVF","1","1","30m Old Testament: Grades 7-12 - Lesson 1","<p>⍞ Materials: Bible, Old Testament Today, notebook</p><p>➜ INTRO (For Grades 7-12)<br>This year you will be reading 2 Samuel, I Kings, I &amp; 2 Chronicles, selections of Psalms, Proverbs, and Ecclesiastes. You will be reading the passages chronologically, or in the order of the events. &quot;The goal of studying the Bible chronologically is not to replace the time-honored canonical arrangement, but instead to honor time as a setting in which the biblical record appeared. Readers who study the Bible this way will return to their traditional Bibles better equipped to read them. Acquiring a sense of the flow of the Bible's story will put flesh and blood on its message&quot; (from Chronological Guide to the Bible).<br>1\. Your ESV Concise Study Bible (Grades 7-8) or Cultural Backgrounds Study Bible (Grades 9-12) will have maps, articles, and notes to help you along the way. If you have a question about a specific verse, see if there is a note about that verse below the text.<br>2\. Use your Student Bible Atlas or atlas in your Bible to locate places as needed.<br>3\. We will also utilize Old Testament Today and the Bible Project website as a handbook for helping us understand the background information we need to be informed readers. Look up the chapter of the Bible book you are reading in OT Today for any interesting sections you have not read before. Similarly, do a search at the Bible Project Website for the book you are reading and see what interesting articles or videos they have available when you have time in a lesson.</p><p>➜ VIEW<br>1\. Throughout the year, you will watch short videos of Dr. John Walton, the co-author of OT Today. The videos were created specifically for Alveary students. We hope they help you understand the Bible better. <br>2\. You will be reading selections from the Psalms throughout the year. Watch this video to learn more about the Psalms. <br>∞ Video Link: Overview of the Psalms</p><p>➜ PRINT<br>You may want to print out the summary of the book to reference as you read selections from the Psalms.<br>∞ Image Link: Psalms Overview Poster</p><p>➜ READ, NARRATE &amp; RESPOND<br>1\. OT Today p.367-370 &quot;To understand what&quot; - &quot;individual and nation.&quot;<br>2\. Psalms 79-82</p><p>The psalms are difficult to tie to a specific historical context. They are the worship songs of Israel and are intended to apply to the needs of all worshippers across time. Some psalms do have historical superscriptions that make it possible to associate them with specific events, but these make up only about 10% of all the psalms. Another criterion is to place the psalms ascribed to David (or Solomon or Moses) during the life of that person. A second criterion is to place Psalms according to their type (from the Chronological Guide to the Bible).</p><p>• EXTRA HELPING<br>∞ Video Link: Bible Project Overview of the Psalms</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=1","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recoXzJxIPd2S98Pl","1","2","30m Old Testament: Grades 7-12 - Lesson 2","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in the Psalms last time?</p><p>➜ INTRO<br>Last year, we read through I Chronicles 16. Today, we will keep moving forward chronologically.</p><p>➜  VIEW<br>∞ Video Link: Davidic Covenant</p><p>➜ READ, NARRATE, &amp; RESPOND<br>1\. Read about 1-2 Chronicles p.223-224 in OT Today.<br>2\. Psalm 83<br>3\. I Chronicles 17</p><p>• EXTRA HELPING<br>Watch this summary of the whole OT in under 13 minutes.<br>∞ Video Link: OT Summary</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=1","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-rec0AyYOTouqEVqC0","2","1","30m Old Testament: Grades 7-12 - Lesson 3","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in the Psalms and I Chronicles last time?</p><p>➜ VIEW<br>When you read the Bible chronologically, you switch back and forth between 1-2 Samuel, 1-2 Chronicles, and 1-2 Kings. Dr. Walton will explain what the differences are between those books, even though they are telling about the same time period. <br>∞ Video Link: Differences Between Two Accounts of Israelite History</p><p>➜ READ, NARRATE, &amp; RESPOND<br>1\. Read about 1-2 Samuel in OT Today p.204-208.<br>2\. Psalm 88<br>3\. 2 Samuel 8-9</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=2","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-rec3MhWYzDlluA2HN","2","2","30m Old Testament: Grades 7-12 - Lesson 4","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in the Psalms and 2 Samuel last time?</p><p>➜ READ &amp; VIEW<br>1\. OT Today p.12-15 &quot;A plotline traces&quot; - &quot;these three terms.&quot;<br>2\. ∞ Video Link: Big Ideas and Plotlines</p><p>➜ READ, NARRATE, &amp; RESPOND<br>2 Samuel 10-11</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=2","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recxx4xFnWuVNQucq","3","1","30m Old Testament: Grades 7-12 - Lesson 5","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in 2 Samuel last time?</p><p>➜ READ &amp; VIEW<br>1\. OT Today p.19-21 &quot;Confidence in the Results&quot; - &quot;hermeneutics are insufficient.&quot;<br>2\. ∞ Video Link: Defective Views of God</p><p>➜ READ, NARRATE, &amp; RESPOND<br>1\. 2 Samuel 12<br>2\. Psalm 51</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=3","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recBXmBPeD3P6GoYN","3","2","30m Old Testament: Grades 7-12 - Lesson 6","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in the Psalms and 2 Samuel last time?</p><p>➜ READ &amp; VIEW<br>1\. Read OT Today p.9-12 &quot;Most people come&quot; - &quot;the Old Testament.&quot;<br>2\. ∞ Video Link: Tapestry Illustration</p><p>➜ READ, NARRATE, &amp; RESPOND<br>2 Samuel 13</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=3","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recSPFIqUuV0WxL7i","4","1","30m Old Testament: Grades 7-12 - Lesson 7","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in 2 Samuel last time?</p><p>➜ READ &amp; VIEW<br>1\.	OT Today p.181 -186 Pedestals and Role Models (Skip 182-183)<br>2\.	∞ Video Link: Biblical Characters</p><p>➜ READ, NARRATE, &amp; RESPOND<br>2 Samuel 14:1-15:12</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=4","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recaFLq9F64ZSPc5I","4","2","30m Old Testament: Grades 7-12 - Lesson 8","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in 2 Samuel last time?</p><p>➜ VIEW<br>∞ Video Link: Moralistic Lessons</p><p>➜ READ, NARRATE, &amp; RESPOND<br>1\. OT Today p.373-374 Interior Psalms Book 1 <br>2\. 2 Samuel 15:13-37<br>3\. Psalm 3<br>4\. 2 Samuel 16</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=4","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recjlKnFZKEDtWUic","5","1","30m Old Testament: Grades 7-12 - Lesson 9","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in the Psalms and 2 Samuel last time?</p><p>➜ VIEW<br>∞ Video Link: God's Track Record</p><p>➜ READ, NARRATE, &amp; RESPOND<br>1\. Psalm 7<br>2\. 2 Samuel 17</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=5","Lesson","0","FALSE"
"alveary-rec7uZOhGTkCcJ1MV","Import is Current","alveary-recikw3VtVHmvdyfv","5","2","30m Old Testament: Grades 7-12 - Lesson 10","<p>⍞ Materials: Bible, OT Today, notebook</p><p>➜ RECAP<br>What do you recall about your reading in the Psalms and 2 Samuel last time?</p><p>➜ READ &amp; VIEW<br>1\. OT Today p.180-181 (The Power of Story)<br>2\.	∞ Video Link: God's Attributes</p><p>➜ READ, NARRATE, &amp; RESPOND<br>2 Samuel 18</p>","","https://planning.alveary.org/links.html?id=rec7uZOhGTkCcJ1MV&term=1&week=5","Lesson","0","FALSE"
