"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-1-1","1","1","40m Math Lessons: Grade 8 (Denison) - Lesson 1","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-1-2","1","2","40m Math Lessons: Grade 8 (Denison) - Lesson 2","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-1-3","1","3","40m Math Lessons: Grade 8 (Denison) - Lesson 3","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-1-4","1","4","40m Math Lessons: Grade 8 (Denison) - Lesson 4","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-1-5","1","5","40m Math Lessons: Grade 8 (Denison) - Lesson 5","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-2-1","2","1","40m Math Lessons: Grade 8 (Denison) - Lesson 6","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-2-2","2","2","40m Math Lessons: Grade 8 (Denison) - Lesson 7","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-2-3","2","3","40m Math Lessons: Grade 8 (Denison) - Lesson 8","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-2-4","2","4","40m Math Lessons: Grade 8 (Denison) - Lesson 9","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-2-5","2","5","40m Math Lessons: Grade 8 (Denison) - Lesson 10","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-3-1","3","1","40m Math Lessons: Grade 8 (Denison) - Lesson 11","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-3-2","3","2","40m Math Lessons: Grade 8 (Denison) - Lesson 12","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-3-3","3","3","40m Math Lessons: Grade 8 (Denison) - Lesson 13","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-3-4","3","4","40m Math Lessons: Grade 8 (Denison) - Lesson 14","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-3-5","3","5","40m Math Lessons: Grade 8 (Denison) - Lesson 15","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-4-1","4","1","40m Math Lessons: Grade 8 (Denison) - Lesson 16","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-4-2","4","2","40m Math Lessons: Grade 8 (Denison) - Lesson 17","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-4-3","4","3","40m Math Lessons: Grade 8 (Denison) - Lesson 18","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-4-4","4","4","40m Math Lessons: Grade 8 (Denison) - Lesson 19","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-4-5","4","5","40m Math Lessons: Grade 8 (Denison) - Lesson 20","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-5-1","5","1","40m Math Lessons: Grade 8 (Denison) - Lesson 21","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-5-2","5","2","40m Math Lessons: Grade 8 (Denison) - Lesson 22","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-5-3","5","3","40m Math Lessons: Grade 8 (Denison) - Lesson 23","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-5-4","5","4","40m Math Lessons: Grade 8 (Denison) - Lesson 24","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-5-5","5","5","40m Math Lessons: Grade 8 (Denison) - Lesson 25","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
"alveary-rec8KH0dlph0jIUpf","alveary-tracker-rec8KH0dlph0jIUpf-6-1","6","1","40m Math Lessons: Grade 8 (Denison) - Lesson 26","<p>recLFXCTf9DbG3MQb</p>","","","Lesson","0","FALSE"
