"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec8nnMd0TneKbQ0w","alveary-recMkp6gafxak92Rv","1","1","45m Introduction to Engineering Lessons - Lesson 1","<p>How Engineering Works<br>⍞ Materials: The Things We Make</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>From medieval cathedrals to modern soda cans, this book will help you grasp &quot;the engineering method&quot; and notice it working all around you. Note that during a discussion regarding bias in the design process (Ch.2), the author uses two terms that may be unfamiliar to you:<br>porn - short for pornography; inappropriate, sexually-oriented media that treats people as material objects rather than whole persons.<br>cisgender - a modern term used to describe people whose biological sex and sociological gender are aligned, as opposed to transgender.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Introduction</p><p>➜ PREPARE<br>Since an important aspect of engineering is tinkering and developing your intuition, spend some time looking for an item you'd like to work with on your Tinker Lab days. This could be a broken clock, coffee maker, soap dispenser, etc. Anything found in a closet or a thrift store that you can take apart and figure out without worrying your teacher is the perfect thing!</p><p>• PLAN WEEKLY<br>⬚ take a nature walk<br>⬚ science free read</p>","<p>★ TEACHER TIP<br>There are two sensitive terms used in Ch.2, which some students may not be familiar with. The author only mentions them in a larger discussion about the impact of design bias. Nothing beyond the basic definitions provided in today's introduction is needed, but you may want to preview pp.30, 42 if you would like to understand the context or consider any additional discussion you would like to introduce.</p>","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recfbGA3AtaZD84bB","1","2","45m Introduction to Engineering Lessons - Lesson 2","<p>Tinker Lab<br>⍞ Materials: by student choice &amp; notebook</p><p>➜ INTRO<br>You have two days each week to tinker with found objects that you have permission to take apart, figure out, and attempt to put back together (or improve). Basements, closets, thrift shops, and scrap exchanges are great places to find objects for tinkering. When you finish with one object, simply find another!</p><p>➜ TINKER<br>Take apart, figure out, and attempt to put back together (or improve). Record your observations.</p>","","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recm5oqjbD1EX1RBv","1","3","45m Introduction to Engineering Lessons - Lesson 3","<p>Tinker Lab<br>⍞ Materials: by student choice &amp; notebook</p><p>➜ TINKER<br>Take apart, figure out, and attempt to put back together (or improve). Record your observations.</p>","","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recpk5vUn8bS26A6U","1","4","45m Introduction to Engineering Lessons - Lesson 4","<p>Engineering Literature<br>⍞ Materials: The Boy Who Harnessed the Wind</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>about 20 pages or 1 chapter per week</p>","","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-reclmTfXEr6iqbONd","1","5","45m Introduction to Engineering Lessons - Lesson 5","<p>Flex Day<br>⍞ Materials: Selected engineering literature, tinker/project supplies, or internet access</p><p>➜ NOTE<br>Use this flex day to finish the week's reading or continue any hands-on activities. Or, you might read and narrate a current event (link below and in your Quick Links) or research an interesting engineering question that came to mind during a nature walk or drive around town, such as 'How do frogs jump so far?' or 'Why does that tall building look like it's tilting?'  A fun TEDEd video is provided for inspiration.<br>∞ Video Link: TEDEd (6:19)<br>∞ Website Link: Science News Explores</p>","","https://planning.alveary.org/links.html?id=rec8nnMd0TneKbQ0w&term=1&week=1","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recCO4KHZ4apAg5sC","2","1","45m Introduction to Engineering Lessons - Lesson 6","<p>How Engineering Works<br>⍞ Materials: The Things We Make</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1</p><p>• PLAN WEEKLY<br>⬚ take a nature walk<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recNDqNi0Azv2HAK8","2","2","45m Introduction to Engineering Lessons - Lesson 7","<p>Tinker Lab<br>⍞ Materials: by student choice &amp; notebook</p><p>➜ TINKER<br>Take apart, figure out, and attempt to put back together (or improve). Record your observations.</p>","","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recliNrdYCWPHIduX","2","3","45m Introduction to Engineering Lessons - Lesson 8","<p>Tinker Lab<br>⍞ Materials: by student choice &amp; notebook</p><p>➜ TINKER<br>Take apart, figure out, and attempt to put back together (or improve). Record your observations.</p>","","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recobZ7HWBnn0PsAt","2","4","45m Introduction to Engineering Lessons - Lesson 9","<p>Engineering Literature<br>⍞ Materials: The Boy Who Harnessed the Wind</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>about 20 pages or 1 chapter per week</p>","","","Lesson","0","FALSE"
"alveary-rec8nnMd0TneKbQ0w","alveary-recLw8gZf4HDH6CGY","2","5","45m Introduction to Engineering Lessons - Lesson 10","<p>Flex Day<br>⍞ Materials: Selected engineering literature, tinker/project supplies, or internet access</p><p>➜ NOTE<br>Use this flex day to finish the week's reading or continue any hands-on activities. Or, you might read and narrate a current event from Science News Explores (in your Quick Links) or research an interesting engineering question that came to mind during a nature walk or drive around town, such as 'How do frogs jump so far?' or 'Why does that tall building look like it's tilting?'</p>","","","Lesson","0","FALSE"
