"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-1-1","1","1","40m Calculus: Part 1 - Lesson 1","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-1-2","1","2","40m Calculus: Part 1 - Lesson 2","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-1-3","1","3","40m Calculus: Part 1 - Lesson 3","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-1-4","1","4","40m Calculus: Part 1 - Lesson 4","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-1-5","1","5","40m Calculus: Part 1 - Lesson 5","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-2-1","2","1","40m Calculus: Part 1 - Lesson 6","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-2-2","2","2","40m Calculus: Part 1 - Lesson 7","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-2-3","2","3","40m Calculus: Part 1 - Lesson 8","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-2-4","2","4","40m Calculus: Part 1 - Lesson 9","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-2-5","2","5","40m Calculus: Part 1 - Lesson 10","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-3-1","3","1","40m Calculus: Part 1 - Lesson 11","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-3-2","3","2","40m Calculus: Part 1 - Lesson 12","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-3-3","3","3","40m Calculus: Part 1 - Lesson 13","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-3-4","3","4","40m Calculus: Part 1 - Lesson 14","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-3-5","3","5","40m Calculus: Part 1 - Lesson 15","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-4-1","4","1","40m Calculus: Part 1 - Lesson 16","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-4-2","4","2","40m Calculus: Part 1 - Lesson 17","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-4-3","4","3","40m Calculus: Part 1 - Lesson 18","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-4-4","4","4","40m Calculus: Part 1 - Lesson 19","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-4-5","4","5","40m Calculus: Part 1 - Lesson 20","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-5-1","5","1","40m Calculus: Part 1 - Lesson 21","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-5-2","5","2","40m Calculus: Part 1 - Lesson 22","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-5-3","5","3","40m Calculus: Part 1 - Lesson 23","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-5-4","5","4","40m Calculus: Part 1 - Lesson 24","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-5-5","5","5","40m Calculus: Part 1 - Lesson 25","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-6-1","6","1","40m Calculus: Part 1 - Lesson 26","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-6-2","6","2","40m Calculus: Part 1 - Lesson 27","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
"alveary-rec8qMhWphMYz5stD","alveary-tracker-rec8qMhWphMYz5stD-6-3","6","3","40m Calculus: Part 1 - Lesson 28","<p>recoxkwtjQJFMHAa5</p>","","","Lesson","0","FALSE"
