"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec9adbFUr8Zxug05","alveary-rec3yJ8ZJsZmrgWeu","1","1","10m Recitation: Grade 3 - Lesson 1","<p>Old Testament</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recUqjsvmNKMIp0n7","1","2","10m Recitation: Grade 3 - Lesson 2","<p>Poem</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recSc5HTLtdYYyjR4","1","3","10m Recitation: Grade 3 - Lesson 3","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recI7TCmgCwV3fQyS","1","4","10m Recitation: Grade 3 - Lesson 4","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-rec5KFG6Pns7GtmQx","1","5","10m Recitation: Grade 3 - Lesson 5","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-rec6S4cGABDxTu5Lc","2","1","10m Recitation: Grade 3 - Lesson 6","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recgHr46K8zpdVPNJ","2","2","10m Recitation: Grade 3 - Lesson 7","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-rec5S4ClV5hnUQNoz","2","3","10m Recitation: Grade 3 - Lesson 8","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recAemzAj7Ulg6Q4d","2","4","10m Recitation: Grade 3 - Lesson 9","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-rec4eVDSAocISj3YU","2","5","10m Recitation: Grade 3 - Lesson 10","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recbS0ciBtyKE1PdA","3","1","10m Recitation: Grade 3 - Lesson 11","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recv2ObcdO50Pq7vq","3","2","10m Recitation: Grade 3 - Lesson 12","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recNBkN3eXkZf0JOS","3","3","10m Recitation: Grade 3 - Lesson 13","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-rec3wwDVI0kYNhAmY","3","4","10m Recitation: Grade 3 - Lesson 14","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore</p>","","","Lesson","0","FALSE"
"alveary-rec9adbFUr8Zxug05","alveary-recI0rk4wlXWy7UKv","3","5","10m Recitation: Grade 3 - Lesson 15","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 6:1-7</p>","","","Lesson","0","FALSE"
