"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec9g2E2myK8cBPym","alveary-recK6wcutoUPEXZjG","1","1","40m Geography: Grade 12 - Lesson 1","<p>⍞ Materials: Across This Land</p><p>PREP: Sketch or print the following blank map for today.<br>∞ Map Link: Blank Map</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.  <br>Copy Map P1 from page xvi from the Preface.</p><p>➜ MAPWORK<br>Create one map, adding interesting details from each reading as you go along. <br> <br>If interested:    <br>∞ Article Link: Idaho Batholith</p>","","https://planning.alveary.org/links.html?id=rec9g2E2myK8cBPym&term=1&week=1","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recXyT4oG4P63UmCC","1","2","40m Geography: Grade 12 - Lesson 2","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapter 1 Genesis of a Dream</p><p>Narrate silently, which means to go over in your mind what you read. You are narrating to yourself instead of in writing or orally.  Start at the beginning and ask yourself what came next until you have gone over the chapter.  It may seem strange at first, but you will quickly get used to it.</p><p>➜ WRITE<br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p><p>If interested:<br>∞ Video Link: Carving the Canoe</p>","","https://planning.alveary.org/links.html?id=rec9g2E2myK8cBPym&term=1&week=1","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recGfvU1eou5E7sg4","2","1","40m Geography: Grade 12 - Lesson 3","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recADBuRMHntp01VR","2","2","40m Geography: Grade 12 - Lesson 4","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapter 2 The Journey Begins</p><p>➜ WRITE<br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recwZY5ez6WplAbxg","3","1","40m Geography: Grade 12 - Lesson 5","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-rec2iCyTPcaM0X4hI","3","2","40m Geography: Grade 12 - Lesson 6","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapter 3 Botanizing the River</p><p>➜ WRITE <br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recnJ2MgGsQsEHpeP","4","1","40m Geography: Grade 12 - Lesson 7","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recwY8NbOy2XSOusB","4","2","40m Geography: Grade 12 - Lesson 8","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapter 4 Wind Faeries</p><p>➜ WRITE<br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recwFkhvYeUSq07XV","5","1","40m Geography: Grade 12 - Lesson 9","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recEHB5zAXaqriKXL","5","2","40m Geography: Grade 12 - Lesson 10","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapter 5 Gates of the Praire</p><p>➜ WRITE<br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recgAGEe1Yz9WAcNK","6","1","40m Geography: Grade 12 - Lesson 11","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br> ~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recoHQ6Zu6Ak6TkO1","6","2","40m Geography: Grade 12 - Lesson 12","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapter 6 Ghosts of the Tower</p><p>➜ WRITE<br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recEuArrbI5vganux","7","1","40m Geography: Grade 12 - Lesson 13","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recWuxGXe3gXFWWps","7","2","40m Geography: Grade 12 - Lesson 14","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapters 7 and 8 A Hail of a Portage and Tools and Provisions</p><p>➜ WRITE<br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-rec5c5rz9pLeUOjQJ","8","1","40m Geography: Grade 12 - Lesson 15","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-recgKwIOpC35CYz1M","8","2","40m Geography: Grade 12 - Lesson 16","<p>⍞ Materials: Five Months on the Missouri River</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Chapter 9 Decisions of Leadership</p><p>➜ WRITE<br>Compose 5 questions and/or 5 reflections about the chapter.<br>Create or sketch a map as you travel down the river. Add places or items of interest to your map.</p>","","","Lesson","0","FALSE"
"alveary-rec9g2E2myK8cBPym","alveary-rec5S8RmkgHnEv0DO","9","1","40m Geography: Grade 12 - Lesson 17","<p>⍞ Materials: Across This Land</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>~15 pages.</p><p>➜ MAPWORK<br>Add to your map.</p>","","","Lesson","0","FALSE"
