"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-rec9q1uN0mnJneQd5","alveary-recBhFrruKyzJ9FDP","1","1","15m Natural History: Grade 6 - Lesson 1","<p>Ocean Currents<br>⍞ Materials: Tracking Trash</p><p>PREP: Read Teacher Tip.</p><p>➜ INTRO<br>Look at the picture on the cover and the title. Have you ever noticed trash on the beach or in a stream? This book is about how one scientist uses that trash as an opportunity to learn more about the ocean and the creatures that live within it. Examine the map opposite p.1 and notice the current. Why do you suppose the mapmaker was interested in that current, and what does that have to do with our story?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-4 &quot;Benjamin Franklin&quot; - &quot;learn from it.&quot;</p><p>• How do these ocean currents affect the climate? You can study the map on p.20-21 of your NatGeo World Atlas.<br>• Explain weather versus climate.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>If students read Tornado Scientist, they might recall that air masses are warmed by the Earth or water beneath them. Movement occurs based on their temperature and density, and this is a driving force behind weather patterns.</p>","","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-recmG56ZlmXtNM4HV","2","1","15m Natural History: Grade 6 - Lesson 2","<p>An Opportunity<br>⍞ Materials: Tracking Trash</p><p>PREP: Read Teacher Tip.</p><p>➜ RECAP<br>Recall what this scientist is studying and why. Let's find out how he started tracking trash.</p><p>➜ READ &amp; NARRATE<br>p.4-7 &quot;Curt didn't&quot; - &quot;Pacific Ocean.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.8-9 &quot;Finding a certain&quot; - &quot;of the spill.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>This passage has two parts with two different purposes. The first part tells how this experiment began and is more likely to be narrated as a series of events. The second explains latitude and longitude (and why they are important) and is more likely to be narrated as points that describe these concepts. It can be helpful to teach students to identify the purpose of different passages as they prepare to narrate.</p>","","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-recWfW5kgDijD2Uoy","3","1","15m Natural History: Grade 6 - Lesson 3","<p>Drift Experiments<br>⍞ Materials: Tracking Trash</p><p>➜ RECAP<br>Remind me how Curt started tracking trash. Scientists have known for a long time that ocean motion isn't random. How do you think scientists typically study ocean currents?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.11-15 &quot;Throughout this&quot; - &quot;floating sneakers.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-rec6QErIg7EWKYFrU","4","1","15m Natural History: Grade 6 - Lesson 4","<p>Modeling Ocean Motion<br>⍞ Materials: Tracking Trash</p><p>PREP: Read Teacher Tip.</p><p>➜ RECAP<br>How were the scientists studying the ocean in the last passage? Today, we'll find out what happened when they used the OSCURS program to study the sneaker spill. We'll also learn about different types of ocean motion.</p><p>➜ READ &amp; NARRATE<br>p.15-17 &quot;In 1992&quot; - &quot;more recoveries.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-19 &quot;Imagine you&quot; - &quot;Indian Ocean.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: How Do Ocean Currents Work? (4:34)</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP<br>Supplemental links for optional support are provided at the END of the lesson. They can be used at any point to help generate interest during the introduction, liven up the lesson, or add to the discussion later. They are NOT required and should NOT take away from the narration and discussion. Experiment and see what works best for your student(s).</p>","https://planning.alveary.org/links.html?id=rec9q1uN0mnJneQd5&term=1&week=4","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-recu08sXXN67hV338","5","1","15m Natural History: Grade 6 - Lesson 5","<p>A Variation<br>⍞ Materials: Tracking Trash</p><p>PREP: Read Teacher Tip</p><p>➜ RECAP<br>What did the scientists learn from the OSCURS computer program? What other kinds of objects do you think would make a good study? Look at the picture on p.20.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.21-26 &quot;While they&quot; - &quot;brand of oceanography.&quot;</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","<p>★ TEACHER TIP <br>Are your learners demonstrating more familiarity/interest in the ocean or ocean currents?  More interest/ease in thinking about how the ocean impacts climate or wildlife?  If not, consider observing together more often, exploring extra helpings, or taking a field trip to the ocean or waterway.</p>","","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-reclxHhb1qeGJaImG","6","1","15m Natural History: Grade 6 - Lesson 6","<p>Riding the Currents<br>⍞ Materials: Tracking Trash</p><p>➜ RECAP<br>Recall what happened in the last passage. These ocean scientists continue to work with citizen scientists to make some interesting discoveries. So, we'll read about that and some microscopic ocean creatures that depend on ocean motion today.</p><p>➜ READ &amp; NARRATE<br>p.26-28 &quot;It is at&quot; - &quot;to track it.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.29-31 &quot;Sneakers&quot; - &quot;all of us.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Video Link: The Story of Plankton (3:01)<br>∞ Image Link: What is Upwelling?</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=rec9q1uN0mnJneQd5&term=1&week=6","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-recVfekNpeb4dXaL0","7","1","15m Natural History: Grade 6 - Lesson 7","<p>Where Do Floating Objects Go?<br>⍞ Materials: Tracking Trash</p><p>➜ RECAP<br>Recall what we read last week. They seem to use the OSCURS program a lot. How do you think a computer simulation is helpful if it's just a hypothetical experiment?</p><p>➜ READ<br>p.33 &quot;What would happen&quot; - &quot;might look like.&quot;</p><p>➜ VIEW<br>Examine the figure on p.32, following the parts of the figure using the caption. If students want to look back at the North Pacific Subtropical Gyre, refer to p.19.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.34-37 &quot;At the beginning&quot; - &quot;Garbage Patch.&quot;</p><p>➜ SUPPLEMENTAL<br>∞ Image Link: Garbage Patch Photos</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=rec9q1uN0mnJneQd5&term=1&week=7","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-recc5TM8q5jWSrhWs","8","1","15m Natural History: Grade 6 - Lesson 8","<p>The Garbage Patch<br>⍞ Materials: Tracking Trash</p><p>➜ RECAP<br>Tell me what they found out in the last passage. What do you think happens to everything in the Garbage Patch?</p><p>➜ READ &amp; NARRATE<br>p.37-39 &quot;What happens&quot; - &quot;the problem.&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.40 &quot;People often&quot; - &quot;same thing!&quot;</p><p>• Discuss the chain of cause and effect that begins with trash in the environment.</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-recXRL9siU8CSPXsA","9","1","15m Natural History: Grade 6 - Lesson 9","<p>Ghost Nets<br>⍞ Materials: Tracking Trash</p><p>➜ RECAP<br>What did we learn in the last reading? When cleaning your room, have you ever found unexpected stuff that you didn't even know you'd lost? That's similar to what happens in today's reading.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.43-46 &quot;In 1991&quot; - &quot;drift in them.&quot;</p><p>• How do you think knowledge about ocean currents can help?</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","","Lesson","0","FALSE"
"alveary-rec9q1uN0mnJneQd5","alveary-recCPJGJHd6gdOp7B","10","1","15m Natural History: Grade 6 - Lesson 10","<p>In Search of Garbage<br>⍞ Materials: Tracking Trash</p><p>➜ RECAP<br>Tell me about the discovery from the last reading. What do you think scientists are doing to solve the problem? What do you think the average person can do?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.46-51 &quot;Our first&quot; - &quot;your mother!&quot;</p><p>• Interestingly, continued research has discovered that coastal creatures are beginning to colonize the Garbage Patch!  You can read more about it in the link, as desired. Does the presence of life change how we think about the Garbage Patch? Should it?</p><p>➜ SUPPLEMENTAL<br>∞ Article Link: Garbage Patch Home</p><p>• OUTDOOR WORK<br>Weekly walks and daily outdoor time are vital! Resources in Quick Links.</p>","","https://planning.alveary.org/links.html?id=rec9q1uN0mnJneQd5&term=1&week=10","Lesson","0","FALSE"
