"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recA6HB08c9AIMjPN","alveary-rectzWnsYyKKZDmMQ","1","1","20m Math Lessons: Grade 4 - Lesson 1","<p>Review Entering Quantities on the Abacus<br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 1</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-recTezdX7Ha1yI5hn","1","2","20m Math Lessons: Grade 4 - Lesson 2","<p>Review Addition Strategies <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 2</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-recg0YletIXi6atlU","1","3","20m Math Lessons: Grade 4 - Lesson 3","<p>Review 100s with Place-Value Cards <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 3</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-recjGkjO9fPCi4mLK","1","4","20m Math Lessons: Grade 4 - Lesson 4","<p>Review 1000s and Side 2 of Abacus <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 4</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-rec9XzJH9BV89Ppaz","1","5","20m Math Lessons: Grade 4 - Lesson 5","<p>Review Trading on Side 2 of Abacus <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 5</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-recZ6jzIMawec0v2w","2","1","20m Math Lessons: Grade 4 - Lesson 6","<p>Review Mental Adding <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 6</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-reccZeSnz4T2P4RvP","2","2","20m Math Lessons: Grade 4 - Lesson 7","<p>Review Subtraction Strategies <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 7</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-rec5t0QLPNhg6iXQ6","2","3","20m Math Lessons: Grade 4 - Lesson 8","<p>Review Subtracting on Side 2 of Abacus <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 8</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-reckVusXtJKwP1nNA","2","4","20m Math Lessons: Grade 4 - Lesson 9","<p>Review Traditional Subtracting on Abacus <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 9</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-rec8u4C8l4YGngY7l","2","5","20m Math Lessons: Grade 4 - Lesson 10","<p>Catch-Up Day <br>⍞ Materials: RightStart Math Level D</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-recPgtNdfoSwcfazT","3","1","20m Math Lessons: Grade 4 - Lesson 11","<p>Review Arrays <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 10</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-reccJmEZEKR9rdwD8","3","2","20m Math Lessons: Grade 4 - Lesson 12","<p>Review Multiplication in Arrays <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 11</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-recfHbtLUniCQneHR","3","3","20m Math Lessons: Grade 4 - Lesson 13","<p>Chinese Checkerboard Problem <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 12</p>","","","Lesson","0","FALSE"
"alveary-recA6HB08c9AIMjPN","alveary-recXBby7cuCd4jsU6","3","4","20m Math Lessons: Grade 4 - Lesson 14","<p>Multiplying by Two <br>⍞ Materials: RightStart Math Level D</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 13</p>","","","Lesson","0","FALSE"
