"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recAAfOFACRITtn58","alveary-recLnfXrciUOjoLfo","1","1","45m Sloyd: Level 7 - Lesson 1","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper (This is different from traditional, American copy paper, though it looks very similar. The measurements will be completely off if you choose to use traditional copy paper.)</p><p>Level 7 starts back at the beginning of sloyd with folding techniques. However, these folding techniques require higher-level thinking, encouraging students to envision them as ways to build structures.  Paul Jackson has created videos to go along with some of the techniques, but students are encouraged to read the instructions carefully and figure these things out based on what they have learned in the previous models. While sloyd is beneficial for all students to envision geometrical forms in reality, Level 7 will be particularly interesting to the students who wish to go on to higher-level maths, engineering, design, architecture, and more.</p><p>PREP: Students will need the book and A4 paper for these models. Some models will require the paper to be cut into a square or cut in half lengthwise before beginning.</p><p>➜ READ<br>Look through the diagrams on p.08 and read through the Introduction p.09-015.</p><p>➜ PRACTICE<br>Watch the tutorial videos.<br>∞ Video Link: Basic Concepts<br>∞ Video Link: Pleating into Sixteenths<br>Work through the first basic concept of Linear Divisions: Sixteenths p.016-017.</p>","","https://planning.alveary.org/links.html?id=recAAfOFACRITtn58&term=1&week=1","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recPHhUj5RJgvavZl","2","1","45m Sloyd: Level 7 - Lesson 2","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Watch the tutorial video.<br>∞  Video Link: Pleating into Thirty-Seconds<br>Work through Linear Thirty-Seconds p.018-019.<br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","https://planning.alveary.org/links.html?id=recAAfOFACRITtn58&term=1&week=2","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recartijCDIh8X3Ff","3","1","45m Sloyd: Level 7 - Lesson 3","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Work through Linear Sixty-Fourths p.020.<br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recOvstho3INY1giy","4","1","45m Sloyd: Level 7 - Lesson 4","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Watch the tutorial video.<br>∞ Video Link: Pleating into Rotational Sixteenths<br>Work through Rotational Divisions: Sixteenths p.021-022.<br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","https://planning.alveary.org/links.html?id=recAAfOFACRITtn58&term=1&week=4","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recueT351aXP13O63","5","1","45m Sloyd: Level 7 - Lesson 5","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Work through Rotational Sixteenths Variations p.023-025. You will have two lesson times to work through these models.</p>","","","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-rec6Fb0D4AecY2Utm","6","1","45m Sloyd: Level 7 - Lesson 6","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Work through Rotational Sixteenths Variations p.023-025. You will have two lesson times to work through these models.</p>","","","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-rec5p4oBdl7T4mA8u","7","1","45m Sloyd: Level 7 - Lesson 7","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Watch the tutorial video.<br>∞ Video Link: Pleating into Rotational Thirty-Seconds<br>Work through Rotational Thirty-Seconds p.026. <br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","https://planning.alveary.org/links.html?id=recAAfOFACRITtn58&term=1&week=7","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recMk65gKxUMU5v4k","8","1","45m Sloyd: Level 7 - Lesson 8","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Work through Diagonal Divisions p.027-028. <br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recxnv2v4ArEaOOCy","9","1","45m Sloyd: Level 7 - Lesson 9","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ READ<br>Read about grid divines on p.029</p><p>➜ PRACTICE<br>Work through Grid Divisions p.029-030.<br>These models are based on previously learned techniques. Look carefully at the diagrams to understand what you are to do. <br>You will have three lesson times to work through these models. <br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recM8BKeM7Kbiksqp","10","1","45m Sloyd: Level 7 - Lesson 10","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Work through Grid Divisions p.029-030.<br>These models are based on previously learned techniques. Look carefully at the diagrams to understand what you are to do. <br>You will have three lesson times to work through these models. <br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-reclgR2goJ6f2rO6X","11","1","45m Sloyd: Level 7 - Lesson 11","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Work through Grid Divisions p.029-030.<br>These models are based on previously learned techniques. Look carefully at the diagrams to understand what you are to do. <br>This is your last lesson to work through these models. <br>If you have time remaining, work through any models you have previously completed multiple times.</p>","","","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recaC9B0OCWBIlVut","12","1","45m Sloyd: Level 7 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS <br>Answer question(s) related to course.</p><p>Questions will come from: <br>Folding Techniques For Designers.</p>","<p>★ Sloyd: Level 7 — TERM 1 EXAM QUESTIONS<br>· Share one of the pieces you made this term with an adult and explain how you made it.</p><p>· Create a model from memory using the correct supplies to do so.</p>","","Exam","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-rec6yLajXvdBZRZbW","13","1","45m Sloyd: Level 7 - Lesson 13","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ READ<br>Read about Symmetrical Repeats p.031. For Term 2, you will be working through the four basic types of two-dimensional symmetry: translation, reflection, rotation, and glide reflection. You will have two to four weeks to work through each of these types.</p><p>➜ PRACTICE<br>Watch video tutorials on symmetrical translations.<br>∞ Video Link: Symmetrical Motif 1<br>∞ Video Link: Symmetrical Motif 2<br>Work through the models on symmetrical translations p.031-034. You have two lessons to work through both of these models. If you finish with lesson time left, work through the models again to help further your understanding of these folds.</p>","","https://planning.alveary.org/links.html?id=recAAfOFACRITtn58&term=2&week=13","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-recwHT8WGqxP7hkJq","14","1","45m Sloyd: Level 7 - Lesson 14","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ READ<br>Read about Symmetrical Repeats p.031. For Term 2, you will be working through the four basic types of two-dimensional symmetry: translation, reflection, rotation, and glide reflection. You will have two to four weeks to work through each of these types.</p><p>➜ PRACTICE<br>Watch video tutorials on symmetrical translations.<br>∞ Video Link: Symmetrical Motif 1<br>∞ Video Link: Symmetrical Motif 2<br>Work through the models on symmetrical translations p.031-034. You have two lessons to work through both of these models. If you finish with lesson time left, work through the models again to help further your understanding of these folds.</p>","","https://planning.alveary.org/links.html?id=recAAfOFACRITtn58&term=2&week=14","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-rec7dQAHbe7P7efpR","15","1","45m Sloyd: Level 7 - Lesson 15","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Watch video tutorials on symmetrical reflection.<br>∞ Video Link: Symmetrical Reflection<br>Work through the models on symmetrical reflection p.035. You have two lessons to work through both of these models. If you finish with lesson time left, work through the models again to help further your understanding of these folds.</p>","","https://planning.alveary.org/links.html?id=recAAfOFACRITtn58&term=2&week=15","Lesson","0","FALSE"
"alveary-recAAfOFACRITtn58","alveary-rec4lIh6FC5DN5496","16","1","45m Sloyd: Level 7 - Lesson 16","<p>Advanced Folding Techniques<br>⍞ Materials: Folding Techniques For Designers, A4 paper</p><p>PREP: Gather and prepare supplies for this model.</p><p>➜ PRACTICE<br>Work through the models on symmetrical reflection p.035. You have two lessons to work through both of these models. If you finish with lesson time left, work through the models again to help further your understanding of these folds.</p>","","","Lesson","0","FALSE"
