"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recAPaenh8ojoVZ5Y","alveary-recGH9qQ2pEGpOQRB","1","1","20m Lettering: Level 2 - Lesson 1","<p>Faceted Style<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial and refresh your memory about your tools.<br>∞ Video Link: Lettering 2: Faceted Style</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Faceted Style&quot; Ch.4 p.40-41</p><p>➜ PRACTICE<br>Follow the steps in the book, incorporating tips from the tutorial. Begin working through the letters of the alphabet and the numbers 0-9. This will take two weeks to complete.</p>","","https://planning.alveary.org/links.html?id=recAPaenh8ojoVZ5Y&term=1&week=1","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-rec3fWSC3SPTucQAj","2","1","20m Lettering: Level 2 - Lesson 2","<p>Faceted Style (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ STUDY<br>Observe closely the example letters and numbers on p.41.</p><p>➜ PRACTICE<br>Finish drawing the letters of the alphabet and the numbers 0-9 in the faceted style. If you finish early, practice drawing your name in the faceted style.</p>","","","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-rec1Pe7A0ZNckrTkI","3","1","20m Lettering: Level 2 - Lesson 3","<p>Vintage Circus Style<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering 2: Vintage Circus Style</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Vintage Circus Style&quot; Ch.4 p.42-43</p><p>➜ PRACTICE<br>Follow the steps in the book, incorporating tips from the tutorial. Begin working through the letters of the alphabet and the numbers 0-9. This will take three weeks to complete.</p>","","https://planning.alveary.org/links.html?id=recAPaenh8ojoVZ5Y&term=1&week=3","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-rec9eSLOltuzisOBd","4","1","20m Lettering: Level 2 - Lesson 4","<p>Vintage Circus Style (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ STUDY<br>Observe closely the example letters and numbers on p.43.</p><p>➜ PRACTICE<br>Continue drawing the letters of the alphabet and the numbers 0-9 in the vintage circus style.</p>","","","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-recKHO5jIZqHJ5VI8","5","1","20m Lettering: Level 2 - Lesson 5","<p>Vintage Circus Style (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Talk about the characteristics of the vintage circus lettering style.</p><p>➜ PRACTICE<br>Finish drawing the letters of the alphabet and the numbers 0-9 in the vintage circus style. When you finish, try drawing a quote in this style.</p>","","","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-recyW3AMo7Zvufdcl","6","1","20m Lettering: Level 2 - Lesson 6","<p>Bubble Style<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering 2: Bubble Style</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Bubble Style&quot; Ch.4 p.44-45</p><p>➜ PRACTICE <br>Follow the steps in the book, incorporating tips from the tutorial. Begin working through the letters of the alphabet and the numbers 0-9. You will have two weeks to complete.</p>","","https://planning.alveary.org/links.html?id=recAPaenh8ojoVZ5Y&term=1&week=6","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-reck4FfLbP9PTIfex","7","1","20m Lettering: Level 2 - Lesson 7","<p>Bubble Style (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Observe closely the example letters and numbers on p.45. Talk about the characteristics of the bubble lettering style.</p><p>➜ PRACTICE<br>Finish drawing the letters of the alphabet and the numbers 0-9 in the bubble style. Work on the lower case letters as well.</p>","","","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-recfAZgBIjbZdXbKl","8","1","20m Lettering: Level 2 - Lesson 8","<p>Banners<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ VIEW<br>Watch the tutorial.<br>∞ Video Link: Lettering 2: Banners</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Banners&quot; Ch.5 p.61-69</p><p>➜ PRACTICE <br>Follow the steps in the book, incorporating tips from the tutorial. Begin working through the different banner types.</p>","","https://planning.alveary.org/links.html?id=recAPaenh8ojoVZ5Y&term=1&week=8","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-recrk53Sf6D754pDf","9","1","20m Lettering: Level 2 - Lesson 9","<p>Banners (cont.)<br>⍞ Materials: The Complete Book of Chalk Lettering</p><p>➜ RECAP<br>Observe closely the example banners on pages 61-69. Talk about the characteristics of the many banner styles.</p><p>➜ PRACTICE<br>Finish drawing all of the different banner types in Ch.5.</p>","","","Lesson","0","FALSE"
"alveary-recAPaenh8ojoVZ5Y","alveary-recRgngPhrzoGSfKI","10","1","20m Lettering: Level 2 - Lesson 10","<p>Project #1 <br>⍞ Materials: The Complete Book of Chalk Lettering, watercolors, brushes, Art Book</p><p>➜ DEMONSTRATE<br>Draw your favorite quote from this term using one of the lettering styles and banners you have learned during the past 9 weeks. You may also incorporate styles that you learned in Level 1. You will have two weeks to complete this project.</p><p>➜ DRAW<br>Do this project in your Art Book using watercolors and brush.</p>","","","Lesson","0","FALSE"
