"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recAVmSJ61vSdTrfR","alveary-recCFd7c3LAE7Sj1X","1","1","45m Labs: Grade 8 - Lesson 1","<p>Measuring Starburst Candy<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Measuring Starburst Candy, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction and Procedure this week.</p>","<p>★ TEACHER TIP<br>Students measure manufactured candy to learn about metric, accuracy, and precision. Remember the most important objective is always building skills and habits. Pacing is only a suggestion. Students should engage with lab at a pace that is appropriate for their abilities and interest.</p>","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-recWUqINBAcJcy6Gp","2","1","45m Labs: Grade 8 - Lesson 2","<p>Measuring Starburst Candy<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 2 of Measuring Starburst Candy, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 2: Students complete the Analysis and Conclusions today.</p>","<p>★ TEACHER TIP<br>Inviting students to share their lab notebooks is a great way to engage discussion and keep up with their learning! They should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-rec94nGpooVb4XRzO","3","1","45m Labs: Grade 8 - Lesson 3","<p>Galileo's Falling Balls<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Galileo's Falling Balls, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction. As time permits, they may begin steps 1-3 of the Procedure.</p>","<p>★ TEACHER TIP<br>Students work with velocity and acceleration while practicing with metric and use of a spreadsheet.</p>","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-recKb7f8TUHAPJh2I","4","1","45m Labs: Grade 8 - Lesson 4","<p>Galileo's Falling Balls<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Galileo's Falling Balls, as directed in the Lab Book.</p><p>Suggested day 2: Students complete the Procedure this week.</p>","","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-recxs7mZmKjhrbDeS","5","1","45m Labs: Grade 8 - Lesson 5","<p>Galileo's Falling Balls<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 3 of Galileo's Falling Balls, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 3: Students complete the Analysis and Conclusions this week.</p>","<p>★ TEACHER TIP<br>Be sure to have students share their notebook, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-rec82mAA36GrxnLWP","6","1","45m Labs: Grade 8 - Lesson 6","<p>Magic of Inertia Activity<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete the Magic of Inertia activity, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p>","<p>★ TEACHER TIP<br>This is a brief activity that will be completed this week. Be sure to have them share their notebook, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-reciN7uqayPyUs6Uy","7","1","45m Labs: Grade 8 - Lesson 7","<p>Forces<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Forces, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction. If time permits, they might complete step 1 of the Procedure.</p><p>∞ Video Link: Step 1b How-to (2:32)</p>","<p>★ TEACHER TIP<br>Students adjust variables to the ramp from Lab 2 to evaluate forces related to gravity, friction, etc. Expect students to refer back to the process of using a spreadsheet from Lab 2. Reaching back to apply what was previously learned in a new situation is important. Encourage and model for them.</p>","https://planning.alveary.org/links.html?id=recAVmSJ61vSdTrfR&term=1&week=7","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-recmZoC1l66Jik0rY","8","1","45m Labs: Grade 8 - Lesson 8","<p>Forces<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Forces, as directed in the Lab Book.</p><p>Suggested day 2: Students work through the Procedure today. If they need to take a break and complete the Procedure next week, they should do so between steps as directed in the lab.</p>","","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-recl2AbOIegXEegOI","9","1","45m Labs: Grade 8 - Lesson 9","<p>Forces<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 3 of Forces, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 3: If students have not yet done so, they should complete the Procedure. Analysis and Conclusions today. If they need an extra week, take the time needed to finish.  There should be plenty of time for the last activity in Week 11.</p>","<p>★ TEACHER TIP<br>Be sure to have students share their notebook, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recAVmSJ61vSdTrfR","alveary-rec8VOGqijPuqtAls","10","1","45m Labs: Grade 8 - Lesson 10","<p>Equal and Opposite Activity<br>⍞ Materials: Grade 8 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of the Equal and Opposite activity, as directed in the Lab Book. Students may complete this activity in 1 week, but may also spend more time.</p>","<p>★ TEACHER TIP<br>Students play with balls to observe Newton’s 3rd law.</p>","","Lab","0","FALSE"
