"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recC9UFboe5SqAjFU","alveary-rec8UuYNNHLLhZ9yw","1","1","40m Composition: Grade 11 - Lesson 1","<p>⍞ Materials: Steering the Craft</p><p>➜ READ &amp; NARRATE<br>&quot;Introduction&quot;</p><p>➜ WRITE<br>Write a list of the topics mentioned that you already know. Make notes on the topics that are new or you are unsure about.</p><p>★ STUDENT/TEACHER NOTE<br>In addition to these more formal composition lessons, be sure to keep up the habit of written and oral narrations throughout the week. Aim for 8-10 written narrations per week, and use different ways of narrating to keep it interesting!</p>","","","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-rectq32ooPST2xLhb","1","2","40m Composition: Grade 11 - Lesson 2","<p>⍞ Materials: Advanced Academic Writing II</p><p>➜ INTRO<br>What is the value of writing? Of poetry, stories, essays, and biographies? Jot down your thoughts.</p><p>➜ REVIEW<br>You've learned about structure before, but it's worth reviewing as you begin another year.<br>Advanced Academic Writing II<br>p.1,4-5</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>As you practice and read many different forms of writing over the year, continue to consider the questions at the beginning of this lesson. Why create anything with words (or other mediums)? Tolkien considers these questions (and many more) in his poem &quot;Mythopoeia.&quot;</p><p>Read the poem aloud. Underline phrases or words that stick out to you, and keep the questions above in your mind as you read.<br>∞ Poetry Link: Mythopoeia</p><p>• Why are words valuable to Tolkien? Why create stories or any other form of art?</p><p>★ STUDENT/TEACHER NOTE<br>You may write or type your narrations and compositions initially. But for these composition lessons, be sure to type the final draft you turn in to your teacher.</p>","","https://planning.alveary.org/links.html?id=recC9UFboe5SqAjFU&term=1&week=1","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-recGO6UGVDZJdGvzL","1","3","40m Composition: Grade 11 - Lesson 3","<p>Tech/Visual</p><p>➜ CREATE<br>Sometimes a &quot;picture is worth a thousand words.&quot; Use this lesson to create an infographic by hand or in Canva, PowerPoint, or another design software. Look at some of the coffee infographics in the attached article to get a sense of the possibilities. Whether created digitally or by hand, visual illustrations are a powerful narration tool as well to help you understand what you read, so feel free to incorporate visuals into your daily narrations!</p><p>First, brainstorm what you want to illustrate. Here are some ideas: <br>• Show the process of conducting a science lab.<br>• Key events in your life or the life of a historical character you're reading about. <br>• Outline a sermon you've heard or key points from a chapter in one of your books.<br>• Your daily or weekly schedule.<br>• Your family tree.<br>• Something else entirely!<br>• How to make your favorite recipe.</p><p>∞ Article Link: Coffee Infographic</p>","","https://planning.alveary.org/links.html?id=recC9UFboe5SqAjFU&term=1&week=1","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-rec0YnSMByJ3JD74j","1","4","40m Composition: Grade 11 - Lesson 4","<p>Questions</p><p>➜ INTRO<br>Charlotte Mason said that we only know what we ask ourselves questions about, and then can communicate to ourselves and others. She called all the different ways that we can narrate &quot;forms of vitality.&quot; Here are her actual words:</p><p>One thing at any rate we know with certainty, that no teaching, no information becomes knowledge to any of us until the individual mind has acted upon it, translated it, transformed, absorbed it, to reappear, like our bodily food, in forms of vitality. Therefore, teaching, talk, and tale, however lucid or fascinating, affect nothing until self-activity be set up; that is, self-education is the only possible education; the rest is mere veneer laid on the surface of a child's nature (Vol. 6, p.240).</p><p>This is how we know and why we narrate. We help ourselves along in this process by developing the habit of asking good questions. A famous scientist named Louis Agassiz was a master at helping students see and observe more by learning to ask themselves questions about whatever they were studying. Read the account of one of his students when first being examined for the opportunity.</p><p>➜ READ<br>p.96-100 &quot;The examination&quot;- &quot;knowledge of fossils.&quot;<br>∞ Website Link: Autobiography of Nathaniel Shaler<br> <br>➜ WRITE<br>Write as many observations and questions about one of your readings as you have time for.</p>","<p>★ TEACHER/STUDENT NOTE<br>If you did Grade 10 Composition last year and remember the reading about Agassiz, skip to the WRITE assignment, or complete the whole lesson to refresh your memory. It's a good reminder!</p>","https://planning.alveary.org/links.html?id=recC9UFboe5SqAjFU&term=1&week=1","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-recxUSn5L4HS6Huli","2","1","40m Composition: Grade 11 - Lesson 5","<p>⍞ Materials: Steering the Craft</p><p>➜ READ<br>Ch.1<br>• Think about examples from your reading. Listen for &quot;the sound of writing&quot; this week.</p><p>➜ WRITE<br>Complete Part One of Exercise One: Being Gorgeous.</p>","","","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-rec3LfLuxSzGW7hTe","2","2","40m Composition: Grade 11 - Lesson 6","<p>⍞ Materials: Advanced Academic Writing II<br>What makes a good argument?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.52-54<br>• Have you ever thought about research as re-searching before? <br>• To emphasize the argumentative and persuasive component of an essay, MCT writes, &quot;our thesis is not a mere personal opinion; it is the truth.&quot; What MCT means is that writers should give their best effort to discern, research, and understand their claims and put forward a thesis they believe is true (not just their first impressions). What he does not mean is that writers should assume that their essays are the &quot;last word&quot; on a subject. Our job as writers is to do our best to explain the truth as we see it, while also recognizing that new discoveries and new perspectives may cause us to rethink or revise our opinions over time. We need to develop firm convictions but also hold them humbly. Write or discuss your thoughts on this idea.</p><p>➜ PRACTICE<br>Write the conclusion that follows from these premises (or explain the problem with the syllogism). Don't look at the answer key until you're done!<br>• All humans are mortal. Socrates is a human. <br>• All mammals have a backbone. A dolphin is a mammal. <br>• All fruits are blue. An apple is a fruit. <br>• All Toyotas need fuel to run. A hybrid car needs fuel to run.</p><p>➜ EXPLORE<br>With extra time, explore how you can use Venn diagrams to visually think about the logical relationship between sentences. Try creating diagrams for the sentences above.<br>∞ Article Link: Syllogisms</p><p>• ANSWER KEY<br>- Therefore, Socrates is mortal.<br>- Therefore, a dolphin has a backbone.<br>- Therefore, an apple is blue. Note: For this syllogism, the premise is faulty, but the logic is sound.<br>- It is tempting to conclude &quot;All Toyotas are hybrids,&quot; but this conclusion does not follow from the premises.</p>","","https://planning.alveary.org/links.html?id=recC9UFboe5SqAjFU&term=1&week=2","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-rec2sUUJl8Nr5m1sJ","2","3","40m Composition: Grade 11 - Lesson 7","<p>Poetry</p><p>➜ WRITE<br>Compose a poem that tells a story (either one you made up or a retelling of something you've read). Use the epic convention of starting &quot;in media res&quot; or in the middle of the action. For instance, if you are telling the story of your day, start with the moment you looked out the window and saw a hawk eat a worm, not the moment you woke up.</p><p>Give your poem an intentional structure and label what it is (refer back to Making of a Poem from Grade 9 Poetry study for a list of forms if desired).</p>","","","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-recd31UPdX3OLQmkp","2","4","40m Composition: Grade 11 - Lesson 8","<p>Inspection</p><p>➜ WRITE<br>Gather 3 of your favorite books from the term so far, and reread the first few pages of each. Where does each author begin? How do they draw you into the story? What details do you notice in just the first few pages that give you a clue to what time period you're reading about, who the main character(s) is/are, what the purpose of the book is, what the genre is, and the author's style? Write down your findings.</p><p>Think about a few of your other favorite books in general. What about them grabs your attention? Add to your findings.</p>","","","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-rec5cd6QI8oiCWQPY","3","1","40m Composition: Grade 11 - Lesson 9","<p>⍞ Materials: Steering the Craft</p><p>➜ PRACTICE<br>Ch.1<br>Repeat Exercise One: Being Gorgeous, and Complete Part Two.</p>","","","Lesson","0","FALSE"
"alveary-recC9UFboe5SqAjFU","alveary-rec8sU2juP7fLCIy7","3","2","40m Composition: Grade 11 - Lesson 10","<p>⍞ Materials: Advanced Academic Writing II<br>Fallacies</p><p>➜ INTRO<br>Describe examples of bad arguments you've seen or heard.</p><p>➜ READ<br>p.55-57</p><p>➜ READ<br>∞ Article Link: Logical Fallacies</p><p>➜ DISCUSS<br>Describe each of the fallacies you read about in your own words, or create a poster, sketch, spreadsheet, PowerPoint, or 3D model of each of them to help you visualize and understand them in a way that makes sense to you.</p><p>★ STUDENT TIP<br>Look for fallacies as you read and go about life!</p>","","https://planning.alveary.org/links.html?id=recC9UFboe5SqAjFU&term=1&week=3","Lesson","0","FALSE"
