"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-1-1","1","1","15m Written Narration: Grade 7 - Lesson 1","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-1-2","1","2","15m Written Narration: Grade 7 - Lesson 2","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-1-3","1","3","15m Written Narration: Grade 7 - Lesson 3","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-1-4","1","4","15m Written Narration: Grade 7 - Lesson 4","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-1-5","1","5","15m Written Narration: Grade 7 - Lesson 5","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-1-6","1","6","15m Written Narration: Grade 7 - Lesson 6","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-2-1","2","1","15m Written Narration: Grade 7 - Lesson 7","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-2-2","2","2","15m Written Narration: Grade 7 - Lesson 8","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-2-3","2","3","15m Written Narration: Grade 7 - Lesson 9","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
"alveary-recC9nRRdwTdgzeDi","Import is Current","alveary-tracker-recC9nRRdwTdgzeDi-2-4","2","4","15m Written Narration: Grade 7 - Lesson 10","<p>➜ WRITTEN NARRATION<br>Complete six written narrations this week. The rest will be oral narrations to yourself or your teacher. See the intro pages of the lesson plans for ideas on how to keep narrations varied and interesting!</p><p>★ TEACHER TIP<br>Make sure students are practicing typing skills and typing narrations and compositions regularly.</p>","","https://planning.alveary.org/links.html?id=recC9nRRdwTdgzeDi","Lesson","0","FALSE"
