"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recCUFQnuRiF2W9BY","alveary-reczRo40kK0aAidqV","1","1","20m Math Lessons: Grade 6 - Lesson 1","<p>Review AL Abacus &amp; Addition Strategies <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 1</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recL1Myo5k3gwhpfK","1","2","20m Math Lessons: Grade 6 - Lesson 2","<p>Review Mental Adding <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 2</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-rec0SpHlckOb0qFFE","1","3","20m Math Lessons: Grade 6 - Lesson 3","<p>Review Subtraction Strategies  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 3</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recWqKylE35FAMeDO","1","4","20m Math Lessons: Grade 6 - Lesson 4","<p>Review Multiplication Strategies  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 4</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recDKiaLdHynnsGHK","1","5","20m Math Lessons: Grade 6 - Lesson 5","<p>Review the Math Balance  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 5</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recb6hzsuwcD6oW5L","2","1","20m Math Lessons: Grade 6 - Lesson 6","<p>Review Division Strategies  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 6</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recEgxhGkL9f3Uv9r","2","2","20m Math Lessons: Grade 6 - Lesson 7","<p>Review Finding Remainders  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 7</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recp7hnBmyUIsqrNp","2","3","20m Math Lessons: Grade 6 - Lesson 8","<p>Remainders on the Math Balance  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 8</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recAoQMjeeN1EtJ4T","2","4","20m Math Lessons: Grade 6 - Lesson 9","<p>Review Short Division  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 9</p>","","","Lesson","0","FALSE"
"alveary-recCUFQnuRiF2W9BY","alveary-recraSsCXsOaszCnP","2","5","20m Math Lessons: Grade 6 - Lesson 10","<p>Review Remainders after Dividing by 9  <br>⍞ Materials: RightStart Math Level F</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 10</p>","","","Lesson","0","FALSE"
