"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recCjt5GENqEs1b6a","alveary-recNIeHtR6w93dRZD","1","1","20m Bible Stories - Lesson 1","<p>Old Testament: The Garden of Eden (Genesis 1:1-3:24)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 1 p.1-5 &quot;This great round&quot; - &quot;from that day.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: The Garden of Eden by Yoram Raanan</p>","<p>★ TEACHER TIP<br>Students should also be encouraged to narrate using legos, puppets, or by acting out the scene.</p>","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=1","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-recYTjRBTQ22zvXKR","1","2","20m Bible Stories - Lesson 2","<p>New Testament: The Annunciation (Luke 1:1-80)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ NOTE<br>Charlotte Mason would alternate between OT and NT for Bible lessons. She always wanted students to be reading about the life of Christ. For some students, switching back and forth can get confusing. You may want to use a resource like God's Bible Timeline, which is part of the program for grades 2-6. When you recap a lesson, it might be easier for your student to recap the last NT lesson if you are reading the NT that day. You do not need to worry about students understanding the flow of the Bible story at this age or mixing up who is in the OT and who is in the NT. They will sort it out as they get older and will grow in their understanding over time.  For students who are overwhelmed or frustrated by switching between OT and NT, teachers may opt to do all the OT lessons first and then do all the NT lessons.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 110 p.417-420 &quot;At the time&quot; - &quot;John the Baptist.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: Annunciation by Guido Reni</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=1","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-recAGku2NPJgZZgGG","1","3","20m Bible Stories - Lesson 3","<p>Old Testament: Cain and Abel (Genesis 4:1-18)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 2 p.5-7 &quot;So Adam and&quot; - &quot;had called Enoch.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: The Sacrifice of Cain and Abel by Mariotto Albertinelli</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=1","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-recZEoBUDLfK4C9Px","1","4","20m Bible Stories - Lesson 4","<p>New Testament: Christ is Born (Matthew 1:18-25; Luke 2:1-39)<br>⍞ Materials: Hurlbut's Story of the Bible<br> <br>➜ READ, NARRATE, &amp; DISCUSS<br>Story 111 p.421-424 &quot;Soon after&quot; - &quot;of the world.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: The Nativity by John Singleton Copley</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=1","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-recs6nEr1uGmuBqYZ","2","1","20m Bible Stories - Lesson 5","<p>Old Testament: Noah (Genesis 5:1-9:17)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 3 p.7-12 &quot;After Abel was&quot; - &quot;to the world.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: Noah's Ark by Aaron Douglas</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=2","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-recBsFlDE8TW2BHan","2","2","20m Bible Stories - Lesson 6","<p>Old Testament: The Tower of Babel (Genesis 10:1-11:9)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 4 p.12-14 &quot;After the great&quot; - &quot;many languages.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: The Tower of Babel by Pieter Bruegel the Elder</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=2","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-recTHSXEvDPeoQHVY","2","3","20m Bible Stories - Lesson 7","<p>New Testament: Visitors From Asia (Matthew 2:1-23)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 112 p.424-426 &quot;For some time&quot; - &quot;given to them.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>Is this painting different than you imagined?<br>∞ Art Print Link: Adoration of the Magi by Albrecht Dürer</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=2","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-rec61LGaisMf8C5Pf","2","4","20m Bible Stories - Lesson 8","<p>Old Testament: Abram (Genesis 11:27-13:18)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 5 p.15-19 &quot;Not far from&quot; - &quot;to the Lord.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: Abraham Leaves Haran by Francesco Bassano</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=2","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-recsaBbUGD64A3v6k","3","1","20m Bible Stories - Lesson 9","<p>New Testament: The Boy Jesus at Home (Luke 2:40-52)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Story 113 p.427-429 &quot;Jesus was brought&quot; - &quot;years of age.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: Christ in the House of his Parents by John Everett Millais</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=3","Lesson","0","FALSE"
"alveary-recCjt5GENqEs1b6a","alveary-reccqkOLqOcl41Gl8","3","2","20m Bible Stories - Lesson 10","<p>Old Testament: Lot (Genesis 14:1-15:21)<br>⍞ Materials: Hurlbut's Story of the Bible</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Story 6 p.19-22 &quot;So Lot lived&quot; - &quot;covenant with Abram.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>∞ Art Print Link: Abraham and Lot Divide the Land by Nicolaes Moeyaert</p>","","https://planning.alveary.org/links.html?id=recCjt5GENqEs1b6a&term=1&week=3","Lesson","0","FALSE"
