"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recD6sCXurd6xJISq","alveary-rec4DBwTxWLzT0Tu8","1","1","45m Art: Level 7 - Lesson 1","<p>Color Theory: Introducing Phthalo Blue, Quinacridone Gold &amp; Quinacridone Red   <br>⍞ Materials: spray bottle, watercolor palettes prepared with new primary colors Phthalo Blue, Quinacridone Gold &amp; Quinacridone Red, brushes, water, cloth, printed color wheel</p><p>PREP: Print on cardstock<br>∞ Link: Color Wheel</p><p>➜ RECAP<br>• Recall all you know about color thus far.<br>• Name the primary colors that you used in previous levels.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Different Primaries = Different Rainbows L7 L1</p><p>➜ INTRO<br>We will use new primary colors in Levels 7 &amp; 8: Phthalo Blue, Quinacridone Gold &amp; Quinacridone Red. New primary colors will create a completely new rainbow. Let’s create a new color wheel as we begin to explore our new colors. We have two lessons to complete this.</p><p>➜ PRACTICE<br>• New color wheel (Complete over two lesson periods; work at your own pace.)<br>• Paint primary colors first; then secondary; then tertiary.<br>• Students will need to mix fresh secondary and tertiary colors. <br>• Refer to the example to see placement within the wheel.<br>• Color placement on the color wheel must be exact. Start over if you make a mistake.<br>• The color wheel will be referred to all term so keep it in a handy place. One idea is to paste it onto the inside cover of your Art Book. <br>∞ Image Link: Example of Expanded Color Wheel</p>","","https://planning.alveary.org/links.html?id=recD6sCXurd6xJISq&term=1&week=1","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recKRSzNxPPXh1bj8","1","2","45m Art: Level 7 - Lesson 2","<p>Color Theory: New Expanded Color Wheel   <br>⍞ Materials: spray bottle, watercolor palettes, brushes, water, cloth, color wheel</p><p>➜ RECAP<br>• What are our new primary colors? (Phthalo Blue, Quinacridone Gold &amp; Quinacridone Red) <br>• What were the primary colors in previous levels? (Quinacridone Pink, Prussian Blue, and Hansa Yellow)</p><p>➜ PRACTICE<br>• Complete the new color wheel. <br>• Finish mixing colors and painting them in the appropriate places.<br>• Refer to the example if you are confused about placement within the wheel.<br>• Color placement on the color wheel must be exact. Start over if you make a mistake.<br>• The color wheel will be referred to all term so keep it in a handy place. One idea is to paste it onto the inside cover of your Art Book. <br>∞ Image Link: Example of Expanded Color Wheel</p><p>• OCCUPATIONS Practice color matching in your nature journal.</p>","","https://planning.alveary.org/links.html?id=recD6sCXurd6xJISq&term=1&week=1","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recf1xjhMiS0GBWXB","2","1","45m Art: Level 7 - Lesson 3","<p>Color Theory: Playing with Different Color Wheels <br>⍞ Materials: spray bottle, watercolor palettes, brushes, water, cloth, printed color wheel</p><p>PREP: Print on cardstock<br>∞ Link: Color Wheel</p><p>➜ RECAP<br>• Recall all you know about color thus far.<br>• Name the primary colors that you used in previous levels.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Different Primaries = Different Rainbows L7 L1</p><p>➜ INTRO<br>We will use new primary colors in Levels 7 &amp; 8: Phthalo Blue, Quinacridone Gold &amp; Quinacridone Red. New primary colors will create a completely new rainbow. Let’s create a new color wheel as we begin to explore our new colors.</p><p>➜ PRACTICE<br>• Make other color wheels by mixing your previous primaries with the new primaries. Anytime you sub one primary for another, you will get a completely new rainbow. So if you kept Phthalo Blue and Quinacridone Gold, but used Quinacridone Pink, you would get different oranges and purples. If you used Prussian Blue and mixed it with Quinacridone Red, you would get a different purple, etc. Just be sure to keep your experimental palette separate from your working palette.<br>• Label your new Rainbow with the primaries that you used.</p>","","https://planning.alveary.org/links.html?id=recD6sCXurd6xJISq&term=1&week=2","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recRdDXC582aIP9xz","2","2","45m Art: Level 7 - Lesson 4","<p>Color Theory: Playing with Different Color Wheels <br>⍞ Materials: spray bottle, watercolor palettes, brushes, water, cloth, printed color wheel</p><p>PREP: Print on cardstock<br>∞ Link: Color Wheel</p><p>➜ RECAP<br>• Recall all you know about color thus far.<br>• Name the primary colors that you used in previous levels.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Different Primaries = Different Rainbows L7 L1</p><p>➜ INTRO<br>We will use new primary colors in Levels 7 &amp; 8: Phthalo Blue, Quinacridone Gold &amp; Quinacridone Red. New primary colors will create a completely new rainbow. Let’s create a new color wheel as we begin to explore our new colors.</p><p>➜ PRACTICE<br>• Make another new color wheel by mixing your previous primaries with the new primaries. Anytime you sub one primary for another, you will get a completely new rainbow. So if you kept Phthalo Blue and Quinacridone Gold, but used Quinacridone Pink, you would get different oranges and purples. If you used Prussian Blue and mixed it with Quinacridone Red, you would get a different purple, etc. Just be sure to keep your experimental palette separate from your working palette.<br>• Label your new Rainbow with the primaries that you used. <br>• You should have at least four different purples, greens, and oranges at this point from your new color wheels. All of your tertiary colors will be different as well. You have all of these different colors just by using two different blues, yellows, and reds. Adding in neutrals expands your colors even more!</p>","","https://planning.alveary.org/links.html?id=recD6sCXurd6xJISq&term=1&week=2","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recfg2t5nE1GnAIMI","3","1","45m Art: Level 7 - Lesson 5","<p>Color Theory: Mixing Browns  <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book</p><p>➜ RECAP<br>• Recall tertiary colors.<br>• Recall complementary colors.</p><p>➜ INTRO<br>Students will make browns from their new color wheels.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Mixing Browns L7 L5</p><p>➜ PRACTICE<br>• Mix two different browns using yellow &amp; purple and yellow-green &amp; red-purple. Paint the new brown in the appropriate swatch.<br>• Label your new browns so that you remember how to mix them when you need them.</p><p>➜ DISCUSS<br>What did you observe about your colors?</p>","","https://planning.alveary.org/links.html?id=recD6sCXurd6xJISq&term=1&week=3","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recafNmnTNdKwUAPM","3","2","45m Art: Level 7 - Lesson 6","<p>Color Theory: Mixing Browns   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book</p><p>➜ RECAP<br>• Recall tertiary colors.<br>• Recall complementary colors.</p><p>➜ INTRO<br>Students will continue to make browns from their new color wheel.</p><p>➜ PRACTICE<br>• Mix two browns using green &amp; red and blue-green &amp; red-orange. Paint the brown in its proper swatch.<br>• Label your new browns so that you remember how to mix them when you need them.</p><p>➜ DISCUSS<br>What do you observe about your colors?</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for and collect items on your nature walk that are variations of one color.</p>","","","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recaFgddv6JxRX6AE","4","1","45m Art: Level 7 - Lesson 7","<p>Color Theory: Mixing Brown  <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book, a flower with leaves and a stem</p><p>➜ RECAP<br>Recall tertiary colors.</p><p>➜ PRACTICE<br>• Mix browns using blue &amp; orange and blue-purple &amp; yellow-orange today. Paint them in their appropriate swatch.<br>• Label your new browns so that you remember how to mix them when you need them.</p><p>➜ DISCUSS<br>What did you observe about your colors?</p><p>• OCCUPATIONS Do this same activity in your Art Book with pastels.</p>","","","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recrPWBz7Sd01071Q","4","2","45m Art: Level 7 - Lesson 8","<p>Color Theory: Value Scales   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book, pencil</p><p>➜ RECAP<br>Recall warm and cool colors.</p><p>➜ INTRO<br>Students will create warm and cool value scales. This lesson will take two sessions to complete.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Warm and Cool Value Scales L7 L8</p><p>➜ PRACTICE<br>Create value scales for secondary colors (orange, green, and purple).<br>• Use a pencil to lightly sketch three value scales in your Art Book. Each value scale should have eleven 1” squares.<br>• Start with each secondary color in two clean wells. <br>• Paint the middle square in the first scale orange.<br>• Dip the very tip of our brush into Quinacridone Red. (Use only a tiny amount so you get a gradual change.) Mix into one of your orange wells. Paint the next square (on the right side). Repeat this step five times.<br>• Do this same process on the other side of your orange value scale, but add a tiny amount of Quinacridone Gold and use the second well of fresh orange.<br>• Create a value scale for green. Repeat steps above. Add Phthalo Blue on one side and then Quinacridone Gold on the other side.<br>• Create a value scale for purple. Repeat steps above. Add Quinacridone Red to one side and Phthalo Blue to the other side.</p><p>➜ DISCUSS<br>Tell the process you went through to change the value of secondary colors.</p>","","https://planning.alveary.org/links.html?id=recD6sCXurd6xJISq&term=1&week=4","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-rec79Lop9h7jPY8tw","5","1","45m Art: Level 7 - Lesson 9","<p>Color Theory: Value Scales   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book</p><p>➜ RECAP<br>Recall warm and cool colors.</p><p>➜ INTRO<br>Students will continue creating warm and cool value scales.</p><p>➜ PRACTICE<br>Finish creating value scales for secondary colors (orange, green, and purple).</p><p>➜ DISCUSS<br>Tell the process you went through to change the value of secondary colors.</p>","","","Lesson","0","FALSE"
"alveary-recD6sCXurd6xJISq","alveary-recpZfqtuqEkofhTB","5","2","45m Art: Level 7 - Lesson 10","<p>Color Theory: Color Intensity   <br>⍞ Materials: spray bottle, watercolor palette, brushes, water, cloth, Art Book, pencil</p><p>➜ RECAP<br>• Recall value and shading.<br>• Recall how to change the value by adding Neutral.</p><p>➜ INTRO<br>Today, we are going to learn about color intensity. Color intensity refers to the brightness or dullness of a color.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Color Intensity Scales with Complementaries L7 L10</p><p>➜ PRACTICE<br>• Lightly sketch 12 color scales with five 1” squares in each.<br>• Begin by painting the pure hue (color) into the first square on the scale.<br>• Slowly add a tiny amount of its complement into the color and paint the next square. Do this a total of four times.<br>• Paint scales for Quinacridone Red, red-orange, orange, and yellow-orange today.</p><p>➜ DISCUSS<br>Walk through the process you went through and share your thoughts with your teacher.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for and collect items on your nature walk that are variations of one color.</p>","","https://planning.alveary.org/links.html?id=recD6sCXurd6xJISq&term=1&week=5","Lesson","0","FALSE"
