"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-1-1","1","1","40m Pre-Calculus: Part 1 - Lesson 1","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-1-2","1","2","40m Pre-Calculus: Part 1 - Lesson 2","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-1-3","1","3","40m Pre-Calculus: Part 1 - Lesson 3","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-1-4","1","4","40m Pre-Calculus: Part 1 - Lesson 4","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-1-5","1","5","40m Pre-Calculus: Part 1 - Lesson 5","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-2-1","2","1","40m Pre-Calculus: Part 1 - Lesson 6","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-2-2","2","2","40m Pre-Calculus: Part 1 - Lesson 7","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-2-3","2","3","40m Pre-Calculus: Part 1 - Lesson 8","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-2-4","2","4","40m Pre-Calculus: Part 1 - Lesson 9","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-2-5","2","5","40m Pre-Calculus: Part 1 - Lesson 10","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-3-1","3","1","40m Pre-Calculus: Part 1 - Lesson 11","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-3-2","3","2","40m Pre-Calculus: Part 1 - Lesson 12","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
"alveary-recDDSyn48JSd0tLu","alveary-tracker-recDDSyn48JSd0tLu-3-3","3","3","40m Pre-Calculus: Part 1 - Lesson 13","<p>rec609RJCtuqW0JGV</p>","","","Lesson","0","FALSE"
