"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recDenQ9P14S7U5Jy","alveary-recGbJzuYoKnpLCDT","1","1","10m Recitation: Grades 4-6 - Lesson 1","<p>Old Testament</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recarV7hl9aOBvo3u","1","2","10m Recitation: Grades 4-6 - Lesson 2","<p>Poem</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Paper Boats&quot; by Tagore OR The Tempest, Act 4, Scene 1, Lines 165-180</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec855VL4k9Fm6bFi","1","3","10m Recitation: Grades 4-6 - Lesson 3","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec9Fs4D86iL2HIlX","1","4","10m Recitation: Grades 4-6 - Lesson 4","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore OR The Tempest, Act 4, Scene 1, Lines 165-180</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rect7JzVcwnZOMvdT","1","5","10m Recitation: Grades 4-6 - Lesson 5","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recf0X0erHFxhJpiO","2","1","10m Recitation: Grades 4-6 - Lesson 6","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore OR The Tempest, Act 4, Scene 1, Lines 165-180</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recKCMc5fYjD7I3Wl","2","2","10m Recitation: Grades 4-6 - Lesson 7","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec27NeJBGfjK202Z","2","3","10m Recitation: Grades 4-6 - Lesson 8","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore OR The Tempest, Act 4, Scene 1, Lines 165-180</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recs8jtgSiQ0PK8O9","2","4","10m Recitation: Grades 4-6 - Lesson 9","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec68nKu9fsBp1OEH","2","5","10m Recitation: Grades 4-6 - Lesson 10","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore OR The Tempest, Act 4, Scene 1, Lines 165-180</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recjCmgKkcGwhsM6G","3","1","10m Recitation: Grades 4-6 - Lesson 11","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recx1Omnv9zfksm7E","3","2","10m Recitation: Grades 4-6 - Lesson 12","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore OR The Tempest, Act 4, Scene 1, Lines 165-180</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recALCi2FUM8HpDbX","3","3","10m Recitation: Grades 4-6 - Lesson 13","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recowcuLXl4zABS9y","3","4","10m Recitation: Grades 4-6 - Lesson 14","<p>Poem</p><p>➜ PRACTICE<br>&quot;Paper Boats&quot; by Tagore OR The Tempest, Act 4, Scene 1, Lines 165-180</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recfEjM7yxHzNUmIh","3","5","10m Recitation: Grades 4-6 - Lesson 15","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recO0GY5wicalwJsE","4","1","10m Recitation: Grades 4-6 - Lesson 16","<p>Psalm</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recdcbQUImQfIu3fr","4","2","10m Recitation: Grades 4-6 - Lesson 17","<p>New Testament</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>John 3:9-21</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recSW3wGmRwSCA1uK","4","3","10m Recitation: Grades 4-6 - Lesson 18","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec00IoxLdPS872L1","4","4","10m Recitation: Grades 4-6 - Lesson 19","<p>New Testament</p><p>➜ PRACTICE<br>John 3:9-21</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recrjnAjEt09aSZ1I","4","5","10m Recitation: Grades 4-6 - Lesson 20","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-reccmrBOgOMbI7E3b","5","1","10m Recitation: Grades 4-6 - Lesson 21","<p>New Testament</p><p>➜ PRACTICE<br>John 3:9-21</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recNbYfWUfJJXz22b","5","2","10m Recitation: Grades 4-6 - Lesson 22","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec7LW7T11qM2Wnqs","5","3","10m Recitation: Grades 4-6 - Lesson 23","<p>New Testament</p><p>➜ PRACTICE<br>John 3:9-21</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec3KVHNLY2obbmn1","5","4","10m Recitation: Grades 4-6 - Lesson 24","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recjCbQMrYj92WzDQ","5","5","10m Recitation: Grades 4-6 - Lesson 25","<p>New Testament</p><p>➜ PRACTICE<br>John 3:9-21</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec9eZpB5OAu8IquW","6","1","10m Recitation: Grades 4-6 - Lesson 26","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recrfnnzd7BY5UBR4","6","2","10m Recitation: Grades 4-6 - Lesson 27","<p>New Testament</p><p>➜ PRACTICE<br>John 3:9-21</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recmJoIRaqfETwCgr","6","3","10m Recitation: Grades 4-6 - Lesson 28","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec52kNWBtQOaMkAh","6","4","10m Recitation: Grades 4-6 - Lesson 29","<p>New Testament</p><p>➜ PRACTICE<br>John 3:9-21</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-rec8AnlRFACnzAJn3","6","5","10m Recitation: Grades 4-6 - Lesson 30","<p>Psalm</p><p>➜ PRACTICE<br>Psalm 67:1-7; Psalm 18:30-35</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recdEThkd17jCnGE1","7","1","10m Recitation: Grades 4-6 - Lesson 31","<p>Hymn</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;How Firm a Foundation&quot;</p>","","","Lesson","0","FALSE"
"alveary-recDenQ9P14S7U5Jy","alveary-recwCvgK1ZClg4Z2M","7","2","10m Recitation: Grades 4-6 - Lesson 32","<p>Old Testament</p><p>➜ PRACTICE<br>Joshua 5:13-6:9</p>","","","Lesson","0","FALSE"
