"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-1-1","1","1","10m Penmanship & Copywork: Grade 2 - Lesson 1","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-1-2","1","2","10m Penmanship & Copywork: Grade 2 - Lesson 2","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-1-3","1","3","10m Penmanship & Copywork: Grade 2 - Lesson 3","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-1-4","1","4","10m Penmanship & Copywork: Grade 2 - Lesson 4","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-1-5","1","5","10m Penmanship & Copywork: Grade 2 - Lesson 5","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-2-1","2","1","10m Penmanship & Copywork: Grade 2 - Lesson 6","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-2-2","2","2","10m Penmanship & Copywork: Grade 2 - Lesson 7","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-2-3","2","3","10m Penmanship & Copywork: Grade 2 - Lesson 8","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-2-4","2","4","10m Penmanship & Copywork: Grade 2 - Lesson 9","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
"alveary-recFWa8jq2cb203BQ","alveary-tracker-recFWa8jq2cb203BQ-2-5","2","5","10m Penmanship & Copywork: Grade 2 - Lesson 10","<p>recq7vD7MSc8EhXlY</p>","","","Lesson","0","FALSE"
