"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recFzc62gdI8njsrI","alveary-rechyiZk6gFFz2vI4","1","1","15m Story of Arithmetic: Part 1 - Lesson 1","<p>Counting: Introduction<br>⍞ Materials: Number Stories of Long Ago, Student World Atlas</p><p>➜ INTRO<br>Today, we will meet a boy who lived long ago at the foot of &quot;Mt. Yu,&quot; or Mount Yushan, which is in Taiwan. Find Taiwan on the map. What kind of climate does it have?<br>⍞ Map Resource: Student World Atlas &quot;Asia&quot; p.92-95</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.7-8 &quot;The logs are&quot; - &quot;to do so.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-recdbwTlzhQrtvJaP","2","1","15m Story of Arithmetic: Part 1 - Lesson 2","<p>How Ching, An-Am + Menes Counted <br>⍞ Materials: Number Stories of Long Ago, Historical Atlas of the World, World Wall Map</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.8-10 &quot;At the time&quot; - &quot;great many apples.&quot;</p><p>➜ LOCATE<br>⍞ Map Resource: Historical Atlas of the World &quot;Alexander's Empire: 336-323 B.C.&quot; p.10-11<br>Find ancient Mesopotamia and Babylon.</p><p>⍞ Map Resource: World Wall Map<br>What is this area (ancient Mesopotamia and Babylon) called today? Now find Egypt. Who lived closer to An-am, Menes or Ching?</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-recsOfvVjF6lqARgd","3","1","15m Story of Arithmetic: Part 1 - Lesson 3","<p>Counting Larger Numbers<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.10-11 &quot;When Ching and&quot; - &quot;were quite enough.&quot;</p><p>➜ PRACTICE<br>If the boys could only count to &quot;three threes and two,&quot; what is the maximum number of sheep they could count?</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-recSXfsm85dYRicIr","4","1","15m Story of Arithmetic: Part 1 - Lesson 4","<p>Counting Even Larger Numbers<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.11-12 &quot;While the boys&quot; - &quot;count by tens.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-recWJl0pErmHBWypD","5","1","15m Story of Arithmetic: Part 1 - Lesson 5","<p>Representing Numbers by the Hand <br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.12-13 &quot;Near the equator&quot; - &quot;our two hands.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-recOAGrPSUI8lE1bX","6","1","15m Story of Arithmetic: Part 1 - Lesson 6","<p>Representing Numbers (cont.) <br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.13-14 &quot;Long after the&quot; - &quot;the Story-Teller.&quot;</p><p>➜ VIEW &amp; DISCUSS<br>The picture on p.10 shows how people represented numbers using their hands. Watch this video showing the numbers 1-30 in American Sign Language. Can you follow the patterns?<br>∞ Video Link: Numbers 1-30 ASL (1:45)</p>","","https://planning.alveary.org/links.html?id=recFzc62gdI8njsrI&term=1&week=6","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-rec7ulLgefbAbuCoT","7","1","15m Story of Arithmetic: Part 1 - Lesson 7","<p>Writing Numbers: Introduction <br>⍞ Materials: Number Stories of Long Ago, Student World Atlas</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.17-18 &quot;Just one little&quot; - &quot;as you do.&quot;</p><p>➜ LOCATE<br>⍞ Map Resource: Student World Atlas &quot;Asia&quot; p.92<br>Find the Hwang Ho River; the atlas calls it the Yellow (Huang) River. Use the scale to estimate how far Chang's home was from Ching's.</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-rectATcU30NCTqzln","8","1","15m Story of Arithmetic: Part 1 - Lesson 8","<p>Numbers in Other Languages <br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-21 &quot;Then his father&quot; - &quot;going to school.&quot;</p><p>➜ STUDY<br>Look at the number 789 in Chinese and read the caption. Now look at the Chinese figures. Can you see the pattern?<br>⍞ Image Resource: Number Stories of Long Ago &quot;Chinese Number; Chinese Figures&quot; p.19, 18</p><p>• IMPORTANT DATES<br>Ancient Babylonian Numerals (c.1800 BC)</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-recdAYciwCltUC8HC","9","1","15m Story of Arithmetic: Part 1 - Lesson 9","<p>Egyptian Numerals <br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.21-22 &quot;While Chang&quot; - &quot;invented something better.&quot;</p><p>• IMPORTANT DATES<br>Papyrus Invented (c.3000 BC)<br>Temple at Luxor (1400 BC, Egypt)</p>","","","Lesson","0","FALSE"
"alveary-recFzc62gdI8njsrI","alveary-recPWU6K811yzgKpi","10","1","15m Story of Arithmetic: Part 1 - Lesson 10","<p>Learning More About Arithmetic<br>⍞ Materials: Number Stories of Long Ago</p><p>➜ RECAP<br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.22-23 &quot;There was a&quot; - &quot;ever be needed.&quot;</p><p>➜ STUDY<br>Look at the Egyptian number for 27,529. Can you see a pattern? How might you write 37,354? What problem would you encounter if you tried adding these two numbers using the Egyptian symbols? How could you solve it?<br>⍞ Image Resource: Number Stories of Long Ago &quot;Egyptian Number&quot; p.23</p>","","","Lesson","0","FALSE"
