"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recG9ae1rAwq5ueET","alveary-rec4gkGGHRyfwJOrR","1","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 1.1-1.5 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-rec2Zo5YhdVsX5NSp","2","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 1.6-1.10 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recLIxgC4iB1vRkJJ","3","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 1.11-2.3 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recH7ISeuPpZ6Y31K","4","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 3.1-3.5 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recONWLMNir4gtwVx","5","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 4.1-5.3 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recwgKg0V5Ds0BUKk","6","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 6.1-8.2 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recZPTCYs65Cg1r10","7","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 9.1-12.1 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recGgkvqkdilJ84H8","8","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 12.2-13.2 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recFKBt6AdEEPmkkW","9","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 14.1-15.2 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recl3pPNuqcskREqg","10","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 15.3-16.4 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-reckM4LHWC7ixD4pM","11","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 16.5-18.1 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recvrP7xKFgtSCwGD","12","1","15m Reading Level 2 - Tracker","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p><p>Questions will come from:<br>Reading: Level 2</p>","<p>★ Reading Level 2 — TERM 1 EXAM QUESTIONS<br>· Reading-Literature: First Reader: Have the student read aloud for one minute using either the next (previously unread) section in Treadwell or a previously unread section from another book the student has been using for reading practice. Count the number of words read correctly during that minute. For the Fall of 2nd grade, the typical fluency rate is somewhere between 30-80 words per minute (Rasinski &amp; Padak, 2009).</p>","","Exam","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recJdcjxPSOfhpmKM","13","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 18.2-19.1 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-rec2ZcC5uEjrwyV5P","14","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 19.2-20.3 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-rec7vBU7375D8T0wm","15","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 20.4-22.1 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recnzFPCOZ8FPgj8D","16","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 22.2-24.1 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recAIblddnLNG7BWs","17","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 24.2-25.3 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recbs777O5SNAbU0t","18","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 26.1-27.2 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-recBvpc1GmtahxgG6","19","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 28.1-28.5 this week</p>","","","Lesson","0","FALSE"
"alveary-recG9ae1rAwq5ueET","alveary-rec79RXEUnqB3kvHr","20","1","15m Reading Level 2 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚</p><p>➜ COMPLETE<br>Lessons 29.1-29.5 this week</p>","","","Lesson","0","FALSE"
