"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recGRj2yx5IFvoFVJ","alveary-rectpYLfxXPGLutrP","1","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recYPo2U1c3pmX5Ip","2","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recDEbacU0fHuO38f","3","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recTroYHRFOswCI8G","4","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recXSDTNFtjFtniPd","5","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recXNS1tepzhFO95f","6","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-rec2wwEiRDNr2IgpQ","7","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recxbjvldxq0TxRvr","8","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recTc3goHHATVZQ7z","9","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
"alveary-recGRj2yx5IFvoFVJ","alveary-recHP7sCmsOntuGvc","10","1","10m Copywork: Grade 7 - Tracker","<p>Tracker: ⬚ ⬚ ⬚ ⬚ ⬚<br>⍞ Materials: Grade 7 Student packet of copywork and dictation passages</p><p>➜ COPYWORK <br>Spend ten minutes daily working on copywork this week. You can use this week's suggested passage or choose your own of a similar length.</p>","","","Lesson","0","FALSE"
