"course_custom_id","syllabird_status","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-recszF049nxRcbRZy","1","1","10m Folk Songs - Lesson 1","<p>Steal Away<br>⍞ Materials: Our Work or Music PDF, Like a Bird</p><p>➜ INTRO<br>• The word &quot;steal&quot; usually means to take something that isn't yours. Can you think of any other meanings the word has?<br>• Tell what you think this sentence means: &quot;Let's steal away now and tell them what we saw!&quot;</p><p>➜ READ &amp; DISCUSS<br>Our first folk song for the year is called &quot;Steal Away to Jesus.&quot; Its history is somewhat debated. Some think that Nat Turner was one of the first to sing it. Others tell the story of Wallace Willis and how the Reverend Alexander Reid heard Willis singing &quot;Steal Away&quot; (and Swing Low, Sweet Chariot) and told the Jubilee Singers, a famous singing group, about his songs in 1871. It's often hard to trace the history of songs that were orally composed and passed along to others!</p><p>Like a Bird p.29<br>∞ Article Link: History Article 1 or History Article 2</p><p>➜ LISTEN &amp; DISCUSS<br>Refer to your Our Work/Music PDF lyrics as you listen.<br>∞ Music Links: Steal Away (YouTube or Spotify)</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• AFTERNOON LISTENING<br>Be sure to listen to the term's songs throughout the week!</p>","<p>★ TEACHER NOTE<br>Feel free to choose your own version of Steal Away to learn. Just know that the lyrics vary widely, so another audio or video is unlikely to match the words in your Our Work or Music books.</p>","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=1","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-rec9UlJZE0ywld46H","2","1","10m Folk Songs - Lesson 2","<p>Steal Away (cont.)<br>⍞ Materials: Our Work or Music PDF, United States Atlas or a Globe</p><p>➜ RECAP <br>What do you remember about the history of &quot;Steal Away&quot;?</p><p>➜ SING <br>Listen to the full song, paying attention to the lyrics. Then listen again and hum along. <br>∞ Music Links: Steal Away (YouTube or Spotify)</p><p>➜ READ or VIEW<br>Steal Away became an enormously popular song across the United States and the world because of the Fisk Jubilee Singers. Fisk University was founded in 1866, right after the Civil War ended with the Emancipation Proclamation. Students who had previously had limited access to higher education because of slavery and poverty flocked to its doors. But a few years later, the school was struggling financially, and many feared it would have to close. However, relief came from an unexpected source—one of the school's leaders organized a group of the school's talented singers and set up a series of concerts. Initially, they sang classical and popular songs familiar to their white audiences, but eventually the students began also singing the spirituals that they had sung during the years they were enslaved. These spirituals, like Steal Away and Swing Low, Sweet Chariot, skyrocketed the Fisk Jubilee Singers and the school to fame, and both still exist today! Read or watch more about the Jubilee Singers and listen to a recording of Swing Low, Sweet Chariot from 1909 with the remaining time!<br>∞ Article Link: Jubilee Singers Article<br>or<br>∞ Video Link: Jubilee Singers Video</p><p>➜ LISTEN (optional)<br>∞ Audio Link: Swing Low, Sweet Chariot</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• EXTRA HELPING<br>View the Extra Helpings page for books, documentaries, and resources on the Jubilee Singers!</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=2","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-receYUesawdlAbHx5","3","1","10m Folk Songs - Lesson 3","<p>Steal Away (cont.)<br>⍞ Materials: Our Work or Music PDF, World Map/Globe/Google Maps</p><p>➜ RECAP <br>Can you hum the tune of &quot;Steal Away&quot;?</p><p>➜ SING &amp; PRACTICE<br>Listen to the full song. Then listen again and try to sing along with the recording when the singers repeat the first four lines.<br>∞ Music Links: Steal Away (YouTube or Spotify)</p><p>➜ MAPWORK<br>The initial group of Jubilee singers disbanded in 1878 after six strenuous years touring across North America and Europe, but a new group came together and began touring again in 1894, singing everywhere from Canada to Kolkata (then Calcutta), from New England to New Zealand.</p><p>View the article and map to get a general sense of the choir's tour and look up as many of the places mentioned as time allows. Note that some cities have been renamed.<br>∞ Article Link: Jubilee Singer Travels (start reading at the paragraph under the map which describes the tour)</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=3","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-recm4rn2z4aXpV370","4","1","10m Folk Songs - Lesson 4","<p>Steal Away (cont.)<br>⍞ Materials: Our Work or Music PDF</p><p>➜ RECAP <br>Sing as much of &quot;Steal Away&quot; as you can from memory. Note the spots where you get stuck!</p><p>➜ INTRO<br>If you could ask some of the first Jubilee Singers any questions, what would you ask?</p><p>➜ SING &amp; PRACTICE<br>∞ Music Links: Steal Away (YouTube or Spotify)</p><p>➜ LISTEN<br>Steal Away is a popular choice for many different artists and groups. Listen to a few different renditions of the song (scroll down the playlist to see a few more options).<br>∞ Music Links: Steal Away Versions</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=4","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-reczbVnbphJsIi4r7","5","1","10m Folk Songs - Lesson 5","<p>Wellerman<br>⍞ Materials: Our Work or Music PDF, World Atlas/Globe/Google Maps</p><p>PREP: For younger students, mark sections of the article on our next folk song's history to read or share with your students. Print off sheet music if desired.<br>∞ Article Link: Wellerman History<br>∞ PDF Link: Wellerman Sheet Music</p><p>➜ RECAP <br>Sing Steal Away from memory.</p><p>➜ INTRO<br>• Do you know any sea shanties? Our next folk song is a sea shanty that tells a story about a whale. While the story is made up, the Weller brothers were real men who founded a whaling base in 1831 on Aotearoa/New Zealand's South Island. A version of the shanty likely became popular a few decades later, before another author/editor developed the lyrics into their current form in the 1960s.<br>• Locate New Zealand in your atlas or globe and see if you can find Otakou (look on the South Island).</p><p>➜ LISTEN &amp; READ<br>Follow along with the lyrics as you listen to the song. <br>∞ Video Link: Wellerman YouTube<br>∞ Audio Link: Wellerman Spotify</p><p>➜ READ<br>With remaining time, start reading (older students) or sharing (younger students) about the history behind the Wellerman. See Extra Helpings for more on whales, whaling, and the Wellermans.<br>∞ Article Link: Wellerman History</p><br><h2>Additional Notes</h2>
<p>────────────────────</p>
<p>• TERMINOLOGY<br>Wellerman: ship owned by the Weller brothers coming with supplies</p><p>tonguing: refers to the process of cutting up the whale for oil</p><p>right whale: a species of whale that is now endangered because of the whaling industry that was so prevalent in the 19th century.</p><p>• IMPORTANT DATES<br>Weller brothers found their whaling base on the Otago peninsula in New Zealand (1831 AD)</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=5","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-recdpw4E215olUeF7","6","1","10m Folk Songs - Lesson 6","<p>Wellerman (cont.)<br>⍞ Materials: Our Work or Music PDF, Globe or World Atlas</p><p>➜ RECAP<br>• Review Steal Away. <br>• What do you remember about our new folk song?</p><p>➜ LISTEN <br>Listen to the song once or twice. Pay attention to the verses, as there are some words that go by quickly! As you begin to catch onto the tune, start singing the chorus with the recording. <br>∞ Video Link: Wellerman YouTube<br>∞ Audio Link: Wellerman Spotify</p><p>➜ EXPLORE<br>With remaining time, finish reading (older students) or sharing (younger students) about the history behind the Wellerman, or see Extra Helpings for more on whales, whaling, and the Wellermans.<br>∞ Article Link: Wellerman History</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=6","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-recUTcuvQXW5HPCtD","7","1","10m Folk Songs - Lesson 7","<p>Wellerman (cont.)<br>⍞ Materials: Our Work or Music PDF, sketching supplies (optional)</p><p>➜ RECAP <br>Can you hum (or sing?) the Wellerman's chorus?</p><p>➜ SING &amp; PRACTICE<br>Listen to the song once through and mark any sections that you know you don't know well. Then listen again and pause the video after each line of the verses to echo it back. <br>∞ Video Link: Wellerman YouTube<br>∞ Audio Link: Wellerman Spotify</p><p>➜ ILLUSTRATE (optional)<br>With any remaining time or in the afternoon, sketch an illustration to go with this song. (One idea: look up pictures of a right whale and draw a diagram.)</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=7","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-recpDKBzrGtF04y29","8","1","10m Folk Songs - Lesson 8","<p>Wellerman (cont.)<br>⍞ Materials: Our Work or Music PDF</p><p>➜ RECAP<br>Recite as many of the words (or sing as much of the song) as you can from memory.</p><p>➜ SING<br>Continue working on the words and tune! Focus on parts you don't know by pausing the video after a line to echo the song back. <br>∞ Video Link: Wellerman YouTube<br>∞ Audio Link: Wellerman Spotify</p><p>➜ LISTEN &amp; DISCUSS<br>Listen to another sea shanty (see options in Extra Helpings). How does it feel different or similar? What do you think makes a good &quot;work&quot; song?</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=8","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-recf44VT1piyp5UEi","9","1","10m Folk Songs - Lesson 9","<p>Wellerman (cont.)<br>⍞ Materials: Our Work or Music PDF</p><p>➜ RECAP <br>Sing as much of the Wellerman as you can from memory.</p><p>➜ LISTEN &amp; SING <br>Listen to the full song once, paying attention to any difficult spots. Then try to sing the song yourself with the karaoke version. <br>Consider creating your own accompaniment to the song by tapping a rhythm, marching as you sing, etc.<br>∞ Video Link: Wellerman YouTube<br>∞ Audio Link: Wellerman Spotify<br>∞ Video: Wellerman Tune</p><p>➜ READ &amp; NARRATE<br>∞ Article Link: Work Songs</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=9","Lesson","0","FALSE"
"alveary-recH2WghU2kFg2Bsh","Import is Current","alveary-rectTor2NYB8nAp1d","10","1","10m Folk Songs - Lesson 10","<p>Wellerman (cont.)<br>⍞ Materials: Our Work or Music PDF</p><p>➜ RECAP &amp; INTRO<br>• What did you learn about 19th-century work songs in the last lesson? Do you think we have work songs today?<br>• Fun fact: in the United States, work songs (like Steal Away and other spirituals) became the roots of what would become jazz and the blues in the 20th century.</p><p>➜ SING<br>Can you sing Wellerman from memory now? Listen to the song first before trying, if needed. Feel free to sing with your own accompaniment.<br>∞ Video Link: Wellerman YouTube<br>∞ Audio Link: Wellerman Spotify<br>∞ Video: Wellerman Tune</p><p>➜ LISTEN &amp; DISCUSS<br>Enjoy a different take on Wellerman! Discuss how/if the different musical styles and/or instruments change the feel of the song.<br>∞ Video Link: Ragtime Wellerman<br>∞ Video Link: Symphony Wellerman</p>","","https://planning.alveary.org/links.html?id=recH2WghU2kFg2Bsh&term=1&week=10","Lesson","0","FALSE"
