"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recH6yJs8s683UEjb","alveary-recqqHco7wZrND7oP","1","1","10m Sol-fa: Musical Games - Lesson 1","<p>Moving and Music</p><p>➜ LISTEN &amp; PRACTICE<br>“Here We Go Round the Mulberry Bush.” Follow the movement directions, ensuring that larger groups or students with spatial perception differences have enough room.<br>∞ Video Link: Here We Go Round the Mulberry Bush</p><p>➜ SING<br>Now try singing the song and make up some new actions (possibilities: “this is the way we clap our hands,” “sweep the floor,” or “dance around”).</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=1","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-rec2K8o7fsWkmOz1g","2","1","10m Sol-fa: Musical Games - Lesson 2","<p>Join-in Rhymes</p><p>PREP: Print out and read over instructions.<br>∞ Link: &quot;The Owl&quot; and &quot;Here We Go&quot;</p><p>➜ LISTEN &amp; PRACTICE<br>Read “The Owl” and “Here We Go” aloud and tell the students what they are going to say with you (the italicized parts). You may want to read the poem aloud first and then have the students join in the second time. Tell the students to copy you closely. Exaggerate louds, softs, ascending, descending tones of your voice.</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=2","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-recRZrvZQLH3odX9u","3","1","10m Sol-fa: Musical Games - Lesson 3","<p>Acting</p><p>➜ LISTEN &amp; PRACTICE<br>Today's songs need your help. In the first one, you need to pretend to be a teapot, and for the second one, you're going to make a lot of animal noises.<br>∞ Audio Link: I'm a Little Teapot<br>∞ Audio Link: Old MacDonald Had a Farm</p><p>➜ SING<br>With any extra lesson time, make up some new verses about other animals to “Old MacDonald Had a Farm.&quot;</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=3","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-recelF21qS4mL5rWu","4","1","10m Sol-fa: Musical Games - Lesson 4","<p>Improvising</p><p>➜ RECAP<br>Sing as much of “I'm a Little Teapot” or “Old MacDonald Had a Farm” as you can without the music.</p><p>➜ SING<br>Sing along with the songs today. Make up verses or add any you made up last time.<br>∞ Audio Link: I'm a Little Teapot<br>∞ Audio Link: Old MacDonald Had a Farm</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=4","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-recEmYOzpIh2WYmzS","5","1","10m Sol-fa: Musical Games - Lesson 5","<p>Dwarfs and Giants</p><p>➜ LISTEN &amp; PRACTICE<br>Listen to &quot;In the Hall...&quot; by Edvard Grieg. Tiptoe with hands on hips when the music is soft. When it is loud, pretend to be a giant and march with your hands high in the air. During the second song, stand in one place, but move your body up and down as the music gets louder or softer. You can also swing your arms and twist with the music. Ensure that larger groups or students with spatial perception differences have enough room.<br>∞ Audio Link: In the Hall of the Mountain King<br>∞ Audio Link: Morning Mood</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=5","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-reckFNDX5PconwWLq","6","1","10m Sol-fa: Musical Games - Lesson 6","<p>Skipping</p><p>➜ LISTEN &amp; PRACTICE<br>Today we're going to have fun skipping! (Teacher should demonstrate how to skip to make sure students know how; if skipping is too challenging, teachers can model a shuffle instead.) Listen to “Skip to My Lou” and practice skipping with the music.<br>∞ Audio Link: Skip to My Lou</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=6","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-rec3ZplKnhBsdSZIH","7","1","10m Sol-fa: Musical Games - Lesson 7","<p>Skipping Part 2</p><p>➜ RECAP<br>Skip in a circle. If skipping is too challenging, students may shuffle instead.</p><p>➜ PRACTICE<br>We're going to skip more today, but this time, see if you can skip sideways! Try sideways skipping (left and right). (If there is a group of students, have them take hands and skip sideways in a ring.) Try to make up another way to skip (maybe backwards!). After you feel confident, skip and sing with the music.<br>∞ Audio Link: Skip to My Lou</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=7","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-recWmqKGqxnXLTRea","8","1","10m Sol-fa: Musical Games - Lesson 8","<p>Guessing Instruments</p><p>PREP: Think of how you want to imitate different instruments for your student to guess.</p><p>➜ PRACTICE<br>Imitate various instruments and have your students guess what they are. If students find this excessively difficult, do it together or make it a funny game of charades.</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=8","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-recEZCE9zjD3rHNza","9","1","10m Sol-fa: Musical Games - Lesson 9","<p>Echoing</p><p>➜ SING<br>You get to echo the singer in this song. (Sing with the kids in the audio.) Sing the song through a few times.<br>∞ Audio Link: My Aunt Came Back</p><p>➜ DISCUSS<br>Where are some of the places the aunt went? Look them up on your map. (Click on countries or islands to zoom in to find the cities/places mentioned in the song.)<br>∞ Map Link: Clickable World Map</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=9","Lesson","0","FALSE"
"alveary-recH6yJs8s683UEjb","alveary-recwvsyfDilyQIhKB","10","1","10m Sol-fa: Musical Games - Lesson 10","<p>“My Aunt Came Back” (cont.)</p><p>➜ RECAP<br>Keep practicing “My Aunt Came Back.” Can you hum the tune without the music?</p><p>➜ SING<br>Sing the song through a few times with the audio, then try singing it on your own.<br>∞ Audio Link: My Aunt Came Back</p><p>• AFTERNOON LISTENING<br>Along with the lesson's songs, read stories and/or listen to songs about Winnie the Pooh.<br>∞ Audio Link: Afternoons: Pooh Songs</p>","","https://planning.alveary.org/links.html?id=recH6yJs8s683UEjb&term=1&week=10","Lesson","0","FALSE"
