"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-1-1","1","1","20m Nature Notebook: Grades 9-12 - Lesson 1","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-2-1","2","1","20m Nature Notebook: Grades 9-12 - Lesson 2","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-3-1","3","1","20m Nature Notebook: Grades 9-12 - Lesson 3","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-4-1","4","1","20m Nature Notebook: Grades 9-12 - Lesson 4","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-5-1","5","1","20m Nature Notebook: Grades 9-12 - Lesson 5","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-6-1","6","1","20m Nature Notebook: Grades 9-12 - Lesson 6","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-7-1","7","1","20m Nature Notebook: Grades 9-12 - Lesson 7","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-8-1","8","1","20m Nature Notebook: Grades 9-12 - Lesson 8","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-9-1","9","1","20m Nature Notebook: Grades 9-12 - Lesson 9","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
"alveary-recH7dK88YkNRwvPD","alveary-tracker-recH7dK88YkNRwvPD-10-1","10","1","20m Nature Notebook: Grades 9-12 - Lesson 10","<p>➜ LESSON<br>Complete the next lesson.</p>","","","Lesson","0","FALSE"
