"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recHJenMoQE2N0d4B","alveary-recqZTwmWy6WLRhv7","1","1","20m Math Lessons: Grade 1 - Lesson 1","<p>Subitizing 1 to 3   <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 1</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-recCoDlNhM36Nq3Gd","1","2","20m Math Lessons: Grade 1 - Lesson 2","<p>Subitizing 4 and Patterning   <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 2</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-recTuzyzejqvSvAeI","1","3","20m Math Lessons: Grade 1 - Lesson 3","<p>Sorting   <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 3</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-rec3646sFgUFxeh8j","1","4","20m Math Lessons: Grade 1 - Lesson 4","<p>Subitizing 5   <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 4</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-reczc7LJkRgCOcTRr","1","5","20m Math Lessons: Grade 1 - Lesson 5","<p>More Patterning   <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 5</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-recxnlOgG58PLrK8e","2","1","20m Math Lessons: Grade 1 - Lesson 6","<p>Subitizing 6   <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 6</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-recJZuMUNxBoFDLIN","2","2","20m Math Lessons: Grade 1 - Lesson 7","<p>Matching  <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 7</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-rec3v8MKqGvJBqYAo","2","3","20m Math Lessons: Grade 1 - Lesson 8","<p>Subitizing 7 &amp; the AL Abacus  <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 8</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-recSERorBZZZS8xel","2","4","20m Math Lessons: Grade 1 - Lesson 9","<p>Subitizing 8 &amp; Ordinal Counting  <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 9</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-recTJcd10guY32CYg","2","5","20m Math Lessons: Grade 1 - Lesson 10","<p>Catch-Up Day  <br>⍞ Materials: RightStart Math Level A</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lesson","0","FALSE"
"alveary-recHJenMoQE2N0d4B","alveary-recp8PdI6Ks4U8pjA","3","1","20m Math Lessons: Grade 1 - Lesson 11","<p>Ordering   <br>⍞ Materials: RightStart Math Level A</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 10</p>","","","Lesson","0","FALSE"
