"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recHNbzBzzYBXExPF","alveary-recfyVkoSnJMnynKQ","1","1","20m Art: Level 2 - Lesson 1","<p>Color Theory: Basic Color Wheel with Pastels <br>⍞ Materials: Soft pastels, cloth, color wheel, fixative</p><p>➜ NOTE<br>• This lesson is important to do at the beginning of a new school year, even if it was completed in the prior year.<br>• The objective of Color Theory in Level 2 is for the students to become familiar with the primary, secondary, warm, cool, and complementary colors. Point them out and talk about them along the way. In the Spring, notice them in flowers, etc. Ask them what primary colors they might mix to get the color of a bush if they were to paint it, etc.</p><p>PREP: View the tutorial to learn how to make a color wheel with pastels. Print a Color Wheel on cardstock for each student. <br>∞ Video Link: Color Theory with Pastels L2 L1 &amp; L3 L25<br>∞ PDF Link: Color Wheel<br> <br>➜ RECAP<br>• Discuss with students that there are six colors in the basic color wheel (three primaries and three secondaries) <br>• Which colors are secondary? (orange, green, and purple)<br>• How do we get orange, green, and purple? (yellow+red=orange; yellow+blue=green; blue+red=purple)</p><p>➜ INTRO<br>Today, we will make a color wheel using soft pastels.</p><p>➜ WARM UP<br>Practice mixing pastels on a scrap piece of paper. Clean the pastel by rubbing it on a clean cloth until clean.</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>• Have students fill in the three primary color circles and then mix the secondary colors in the appropriate places by layering the pastels. Color yellow first and then red on top to get orange, etc.<br>• Spray with fixative.<br>• The color wheel will be referred to throughout the term, so keep it in a handy place. One idea is to paste it onto the inside cover of your Art Book.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Spend time looking outside and naming the colors that you see. Talk about the primary colors that you would use to get those colors. Try to mimic a color from something on your nature walk.</p>","","https://planning.alveary.org/links.html?id=recHNbzBzzYBXExPF&term=1&week=1","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-rec0ZEy63KsnLyL4l","1","2","20m Art: Level 2 - Lesson 2","<p>Color Theory: Primary Color Flags <br>⍞ Materials: Student World Atlas p.126-133, colored construction paper (a full sheet of white, ½ sheet each of red, yellow, and blue), scissors, glue or glue sticks</p><p>PREP: Cut red, yellow, and blue construction paper in half.</p><p>➜ RECAP<br>• Discuss what the primary colors are.</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>Make a flag using only primary colors. <br>• Look at flag examples in Student World Atlas p.126-133, and discuss the designs.<br>• Students may cut the three primary colored papers into any shape.<br>• Encourage students to experiment and try different designs before gluing their pieces in place.<br>• Glue primary colors to the white background.</p><p>➜ DISCUSS<br>Tell what you notice about your primary colors on a white background.</p><p>• OCCUPATIONS Make more flags using the primary colors.</p>","","","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recs4TbDqn7h3UHGU","2","1","20m Art: Level 2 - Lesson 3","<p>Color Theory: Cool Colors  <br>⍞ Materials:  Completed color wheel, modeling clay (blue, green, and purple), and cardboard</p><p>PREP: Watch &quot;Cool Color Waves with Modeling Clay.&quot; Your student will only be using the cool colors for creating today. They are: purple, green, and blue. You can mix colors to gain more colors. You can also mix white or black with colors to make tints and shades. <br>∞ Video Link: Cool Color Waves with Modeling Clay</p><p>➜ NOTE<br>Students will need to press hard to adhere the clay to the cardboard.  Alternatively, you could use colored cardstock in a cool color as the background.</p><p>➜ INTRO<br>Today, we will learn about “cool” colors. What do you think “cool” colors are? (“Cool” colors are blue, green, and purple.)</p><p>➜ STUDY, NARRATE, &amp; DISCUSS<br>• Look at your color wheel. Find the “cool” colors. What do you notice? (They are all on the same side.) Discuss observations.<br>• Why do you think they are called “cool”?<br>• Look at the Monet images<br>∞ Image Link: Monet's Water Lilies<br>∞ Image Link: Monet<br>• What colors did Monet mostly use?<br>• Do these colors make you feel a certain way?<br>• Does this painting of the water lilies appear as though it comes towards you or moves away from you?</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>Smash and manipulate the clay onto the cardboard to create ocean waves in cool colors.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Notice the cool colors all around you. Discuss as you walk by the way.</p>","","https://planning.alveary.org/links.html?id=recHNbzBzzYBXExPF&term=1&week=2","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recbNeEmOzWCJ7IkC","2","2","20m Art: Level 2 - Lesson 4","<p>Color Theory: Warm Colors <br>⍞ Materials: Completed color wheel, modeling clay (red, yellow, and orange), and cardboard</p><p>➜ NOTE<br>This lesson proceeds much like the previous one. You can watch the tutorial if you need an example. Students can mix colors to create more variations. You can also add white for tints and black for shades. Brown is a nice color to add with warm colors to bring in another color variation.<br>∞ Video Link: Warm Color Flowers with Modeling Clay</p><p>➜ RECAP<br>Recall the cool colors. Why do you think they came to be called “cool”?</p><p>➜ INTRO<br>Today, we will focus on &quot;warm&quot; colors. These are on the opposite side of the color wheel from cool colors. Warm colors are red, yellow, and orange.</p><p>➜ STUDY, NARRATE, &amp; DISCUSS<br>• Find warm and cool colors on the color wheel.<br>• Spend time looking at Georgia O’Keeffe’s Red Canna, 1924 <br>∞ Image Link: Red Canna, 1924<br>• What colors did she mostly use? <br>• Do these colors make you feel a certain way? <br>• Does the painting look as though it comes towards you or away from you? Allow the student to make their own observations, but be sure to keep it focused on the warm colors.<br> <br>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>Smash and manipulate the modeling clay onto your cardboard in the form of poppies or sunflowers, or any warm-colored flowers you can think of.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Notice the warm colors all around you. Discuss as you walk by the way.</p>","","https://planning.alveary.org/links.html?id=recHNbzBzzYBXExPF&term=1&week=2","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recEhTA3yZBRMfYeu","3","1","20m Art: Level 2 - Lesson 5","<p>Color Theory: “Free Drawing” with a Set of Colors <br>⍞ Materials: Completed color wheel, modeling clay, cardboard</p><p>➜ NOTE<br>This lesson proceeds as the two before, like Cool Color Waves.</p><p>➜ RECAP<br>• Recall primary, secondary, warm, and cool colors. Find them on your color wheel.<br>• Discuss what you have learned about the color wheel.<br>• How do you mix secondary colors?</p><p>➜ NOTE<br>The objective of Color Theory in Level 2 is for the students to become familiar with the primary, secondary, warm, cool, and complementary colors. Point them out and talk about them along the way. In the Spring, notice them in flowers, etc. Ask them what primary colors they might mix to get the color of a bush if they were to paint it, etc.</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>Use your modeling clay on your cardboard to create a sunset or sunrise. Think about the warm and cool colors you are creating and how they mix.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Notice the colors all around you. Discuss based on what you have learned.</p>","","","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recugkBZbgf9iAIea","3","2","20m Art: Level 2 - Lesson 6","<p>Color Theory: Introduction to Complementary Colors <br>⍞ Materials: Color construction paper (red, yellow, blue, green, orange, and purple), scissors, glue, Art Book, color wheel, pictures from picture study</p><p>PREP: You will need to cut each of our six colors–red, yellow, blue, green, orange, and purple–into half sheets. Discard the other set of ½ sheets. Cut one ½ sheet set of colors in half again. Now you have a set of ¼ sheets. Discard one of those sets. Now, cut the ¼ sheets in half again. You should have two sets of ⅛ sheets. Put one set aside. Cut the keeper set in half again. One of those halves (now at 1/16 of the original size) will be the background color. Cut the other set of 1/16 into halves again (now 1/32). This will be the color glued on top. Watch the tutorial video for teachers and view the sample of a completed project. <br>∞ Video Tutorial: Prep Color Theory L2 L6<br>∞ Image Link: Complementary Colors</p><p>➜ RECAP<br>Recall all that you know thus far about the color wheel.</p><p>➜ INTRO<br>We are going to learn about complementary colors. They are the colors that are across from each other on the color wheel. These colors are traditionally known to “look good” together. Think red and green as Christmas colors. Many sports teams use yellow and purple or blue and orange as their team colors.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Tutorial: Complementary Colors L2 L6</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>• Glue a small rectangle of each color onto the center of its complementary larger rectangle.<br>• Glue all of these into your Art Book.</p><p>➜ OBSERVE &amp; DISCUSS<br>Study the paintings from the picture study you have already looked at. Find where the artist has used complementary colors.</p><p>➜ DISCUSS<br>Which colors go together to make complementary colors?</p><p>• OCCUPATIONS Use your pastels and create swatches of complementary colors next to each other on a page in your Art Book. You could also do this with your watercolors.</p>","","https://planning.alveary.org/links.html?id=recHNbzBzzYBXExPF&term=1&week=3","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recFezRzGrteGKQQ0","4","1","20m Art: Level 2 - Lesson 7","<p>Color Theory: Mixing Brown with Green and Quinacridone Pink <br>⍞ Materials: spray bottle, watercolor palettes, Art Book, water, cloth, brushes, pencil</p><p>➜ RECAP<br>Recall complementary colors.</p><p>➜ INTRO<br>Do we have brown in our palette? Complementary colors are important because we use them to mix different brown colors.</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>• First, make a green using Hansa Yellow and Prussian Blue. Next, add some Quinacridone Pink and mix. (Don’t add a lot of pink, but just enough to change the color to brown.)<br>• Discuss what happened. <br>• Draw in pencil three squares on a clean page in your Art Book that are big enough to fit three fingers side-by-side in. <br>• Paint one of those squares with your brown and label it “Green + Quinacridone Pink.” You will use this same page for the next two Color Theory lessons, so leave the other two squares blank for now.<br>• Use this brown to illustrate a poem that you have read recently. <br>• Feel free to use other colors as well.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for browns on your nature walk. How would you make that color if you were drawing it in your nature notebook?</p>","","","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recz5vM6Q1XNYkOOF","4","2","20m Art: Level 2 - Lesson 8","<p>Color Theory: Mixing Brown with Orange and Prussian Blue <br>⍞ Materials: spray bottle, watercolor palettes, Art Book, water, cloth, brushes</p><p>➜ RECAP<br>Recall complementary colors.</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>• Mix an orange using Hansa Yellow and Quinacridone Pink. Next, add some Prussian Blue and mix. (Don’t add a lot of blue, but do add just enough to change the color to brown.)<br>• Discuss what happened. <br>• Paint one of the other squares with your new brown and label it “Orange + Prussian Blue.” <br>• Compare and contrast. Is it the same as your other brown?<br>• Use this brown to illustrate a scene from literature. Feel free to use other colors as well.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for browns on your nature walk. How would you make that color if you were drawing it in your nature notebook?</p>","","","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recNiH1nNjAzgYdvY","5","1","20m Art: Level 2 - Lesson 9","<p>Color Theory: Mixing Brown with Purple and Hansa Yellow <br>⍞ Materials: spray bottle, watercolor palettes, Art Book, water, cloth, brushes</p><p>➜ RECAP<br>Recall complementary colors.</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>• Mix a purple using Prussian Blue and Quinacridone Pink. Next, add some Hansa Yellow and mix. (Don’t add a lot of yellow, but do add just enough to change the color to brown.)<br>• Discuss what happened. <br>• Paint the last square with your new brown and label it “Purple + Hansa Yellow.”<br>• Compare and contrast. Is it the same as your other browns?<br>• Use this brown to illustrate a scene from literature. Feel free to use other colors as well.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for browns on your nature walk. How would you make that color if you were drawing it in your Art Book?</p>","","","Lesson","0","FALSE"
"alveary-recHNbzBzzYBXExPF","alveary-recSFUE6ptNlZSJot","5","2","20m Art: Level 2 - Lesson 10","<p>Color Theory: Painting with Browns in Pastels<br>⍞ Materials: Pastels, Art Book, cloth, fixative</p><p>➜ RECAP<br>• Bring out your color wheel and recall complementary colors.<br>• Recall primary, secondary, warm, and cool colors.</p><p>➜ PRACTICE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          <br>Using your pastels, in your Art Book:<br>• mix green and red together<br>• mix yellow and purple together<br>• mix orange and blue together</p><p>Compare your pastel browns to your watercolor browns. Are they the same? Why or why not? (Answers may be because they are different primary colors from what is used in watercolor, etc. The point is to get your student thinking about why colors change.)  Spray with fixative.</p><p>• OBSERVE &amp; DISCUSS Practice identifying Art skills.<br>Look for browns on your nature walk. How many different browns can you find?</p>","","","Lesson","0","FALSE"
