"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recIH7hEQ8Avx0iaE","alveary-recIqLOHTPLFtdW6t","1","1","15m Story of Geometry: Part 2 - Lesson 1","<p>The Rules of the Game <br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.10 p.79-81 (UK 72-75) &quot;With this&quot; - &quot;agreements and definitions.&quot;</p><p>• How was Thales' use of geometry similar to and different from the Egyptians'?</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-recDGf1eKzn6wf6gl","2","1","15m Story of Geometry: Part 2 - Lesson 2","<p>Circles: Terms, Definitions, &amp; Rules <br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.10 p.82-84 (UK 75-78) &quot;We can hardly&quot; - &quot;than two angles.&quot;</p><p>➜ PRACTICE <br>Using your geometry tools, draw a line that is 2 inches long. Use this as the radius for a circle. What is the diameter? Using the bottom picture as a model, divide the circle into 6 equal parts.<br>⍞ Image Resource: Materials: String, Straight-Edge, and Shadow p.83 (UK 77)</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-recz23f863aowcQpV","3","1","15m Story of Geometry: Part 2 - Lesson 3","<p>Triangles: Terms, Definitions, &amp; Rules<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.10 p.85-87 (UK 78-80) &quot;Speaking of&quot; - &quot;180 degrees.&quot;</p><p>➜ PRACTICE<br>Using your geometry tools, construct a right triangle with a base that is 2 inches long. Construct a similar triangle with a base that is 4 inches long.</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-recdNJju8Vuaox1rf","4","1","15m Story of Geometry: Part 2 - Lesson 4","<p>Lines: Terms, Definitions, &amp; Rules<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.10 p.88-91 (UK 81-84) &quot;Since two&quot; - &quot;Greek theoretical geometry!&quot;</p><p>➜ PRACTICE<br>Look at the picture. What must be the measure of angle 1? [Use what you know about equilateral triangles.] What about angle 2? [Use what you know about right triangles.] How do you know? Can you figure out the measures of the unlabeled angles?<br>⍞ Image Resource: Materials: String, Straight-Edge, and Shadow p.90 (UK 83)</p><p>• Draw or paint a picture that shows how Pythagoras determined that the Earth was round.</p><p>• IMPORTANT DATES<br>Pythagoras (c.570 BC-c.495 BC)</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-recJaCHyKmpz3EhMs","5","1","15m Story of Geometry: Part 2 - Lesson 5","<p>Pythagoras Studies with Thales<br>⍞ Materials: String, Straight-Edge, and Shadow; World Wall Map</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.11 p.93-95 (UK 86-88) &quot;The early story&quot; - &quot;also was spherical.&quot;</p><p>➜ LOCATE <br>⍞ Map Resource: World Wall Map<br>∞ Map Link: Croton<br>Look at the map and find Croton. Then find it on your wall map.</p>","","https://planning.alveary.org/links.html?id=recIH7hEQ8Avx0iaE&term=1&week=5","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-recaTiHMaN48hWq0k","6","1","15m Story of Geometry: Part 2 - Lesson 6","<p>Pythagoras and His Followers<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.11 p.96-97 (UK 88-90) &quot;And the radiant&quot; - &quot;meant mathematics.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-recfLxTdVkSViIPcg","7","1","15m Story of Geometry: Part 2 - Lesson 7","<p>A Famous Theorem<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.12 p.98-99 (UK 91-92) &quot;The most famous&quot; - &quot;Secret Brotherhood.&quot;</p><p>• Copy the tile illustration on p.101 (UK 93). Pretend you are Pythagoras explaining this truth to your new initiates.</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-reclcVc4lZcDYxXgV","8","1","15m Story of Geometry: Part 2 - Lesson 8","<p>Great Mathematical Discoveries<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.12 p.100-101 (UK 92-94) &quot;The very term&quot; - &quot;hypotenuse.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-recH27tYL87pIP79Y","9","1","15m Story of Geometry: Part 2 - Lesson 9","<p>A Rigorous Proof<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.12 p.102-103 (UK 94-95) &quot;Again he waited&quot; - &quot;showed plainly.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recIH7hEQ8Avx0iaE","alveary-reclDcYOhBn7iy7Is","10","1","15m Story of Geometry: Part 2 - Lesson 10","<p>Pythagoras' Theorem Defined<br>⍞ Materials: String, Straight-Edge, and Shadow</p><p>➜ RECAP <br>What did you read last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.12 p.104-105 (UK 96-97) &quot;Look again!&quot; - &quot;sacrifice renowned!&quot;</p><p>➜ VIEW<br>Video on Pythagorean Theorem<br>∞ Video Link: Pythagorean Theorem</p><p>➜ PRACTICE<br>Construct your own 3-4-5 right triangle. Use cubes, tiles, or graph paper to prove the Pythagorean Theorem.</p>","","https://planning.alveary.org/links.html?id=recIH7hEQ8Avx0iaE&term=1&week=10","Lesson","0","FALSE"
