"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-1-1","1","1","40m Geometry: Part 2 - Lesson 1","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-1-2","1","2","40m Geometry: Part 2 - Lesson 2","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-2-1","2","1","40m Geometry: Part 2 - Lesson 3","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-2-2","2","2","40m Geometry: Part 2 - Lesson 4","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-3-1","3","1","40m Geometry: Part 2 - Lesson 5","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-3-2","3","2","40m Geometry: Part 2 - Lesson 6","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-4-1","4","1","40m Geometry: Part 2 - Lesson 7","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-4-2","4","2","40m Geometry: Part 2 - Lesson 8","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-5-1","5","1","40m Geometry: Part 2 - Lesson 9","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-5-2","5","2","40m Geometry: Part 2 - Lesson 10","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-6-1","6","1","40m Geometry: Part 2 - Lesson 11","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-6-2","6","2","40m Geometry: Part 2 - Lesson 12","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-7-1","7","1","40m Geometry: Part 2 - Lesson 13","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
"alveary-recIK8xpJ8QBgmOAp","alveary-tracker-recIK8xpJ8QBgmOAp-7-2","7","2","40m Geometry: Part 2 - Lesson 14","<p>recoBcLzZY4L2F7h0</p>","","","Lesson","0","FALSE"
