"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recIVyFFuzbJhFIAy","alveary-rec6OuxRXpCvPFW1W","1","1","25m Canadian Government: Grade 7 - Lesson 1","<p>Introduction<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ INTRO<br>How would you answer the question that is in the title of the book you will begin reading today? Who is in charge in Canada? How does our country make decisions? How does a law get made? What happens during an election? In this course, you will learn about the electoral process, the different aspects of parliamentary government, the Canadian legal system, and the concept of citizenship.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.1-6 &quot;All week our classmates&quot; - &quot;in a moment.&quot; (Audiobook chapters 1-2)</p><p>➜ NOTEBOOK<br>The Citizenship Notebook is an excellent place to keep track of definitions and to copy in diagrams. If any of these terms are new to you, you may choose to include definitions in your notebook: democracy, municipal, federal, parliament, legislature, legislative, executive, judicial. As you read through the book this year, look for other terms that are new to you. The diagram on page 6 would also be a good one to copy.</p>","<p>★ TEACHER TIP<br>If you are using the audio recording of the book, the readings will correspond with the audiobook chapters (with timestamps, if necessary), and the recordings clearly denote the corresponding page numbers.<br>Students can be encouraged to take notes as they listen to the audio recording.</p>","","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-recgLLPZQaEWUTfYc","2","1","25m Canadian Government: Grade 7 - Lesson 2","<p>Senators, the Supreme Court, and the Prime Minister<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember about the three levels of government from last week?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.7-11 &quot;When adults talk&quot; - &quot;by the government.&quot; (Audiobook chapters 3 0:00-8:49)<br>The following are points you can discuss with your parent or teacher, or write about in your citizenship notebook.<br>• Who are Senators, and what are the four important roles of the Senate?<br>• What is the role of the Supreme Court?<br>• What is the role of the Prime Minister? What kinds of appointments can he or she make?</p><p>➜ VIEW<br>What do you think a Senator's day at Parliament Hill is like? Follow two of them around for a day to see what kind of work they do.<br>∞ Video Link: A Day in the Life of Senator Yonah Martin <br>∞ Video Link:</p><p>• EXTRA HELPING<br>Have you ever wondered how and why Ottawa was chosen as Canada's capital city?<br>∞ Video Link: The Selection of Ottawa as the Capital of Canada</p>","","https://planning.alveary.org/links.html?id=recIVyFFuzbJhFIAy&term=1&week=2","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-recz7kFhAwTlCZxLv","3","1","25m Canadian Government: Grade 7 - Lesson 3","<p>More Government Positions and the British North America Act<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember from last week about the various positions in Parliament?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.12-17 &quot;If Nathan were the prime minister&quot;- &quot;strong as written laws!&quot; (Audiobook: from chapter 3 at 8:50 to the end of chapter 4)</p><p>➜ VIEW<br>1\. Learn more about the role and duties of the Governor General.<br>∞ Video Link: What are the duties of Canada's governor general?</p><p>2\. Learn more about the British North America Act.<br>∞ Video Link: The Words That Shaped Canada: The British North America Act</p>","","https://planning.alveary.org/links.html?id=recIVyFFuzbJhFIAy&term=1&week=3","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-rec1GqDKdGtJXtWy0","4","1","25m Canadian Government: Grade 7 - Lesson 4","<p>Confederation, The Constitution Act, and the Charter<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember from last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.18-23 &quot;Why mess with perfection?&quot;- &quot;equality of men and women.&quot; (Audiobook: Chapter 5)<br>Discuss these points with your parent/teacher, or make some notes in your citizenship notebook:<br>• What changes were made with the Constitution Act of 1982?<br>• What types of rights are guaranteed in the Canadian Charter of Rights and Freedoms?</p><p>➜ VIEW<br>1\. Learn more about Canada's Constitution<br>∞ Video Link: What is the Canadian Constitution?</p><p>2\. Test your knowledge of what are rights and what are freedoms with an online activity.<br>∞ Link: Understanding Rights and Freedoms</p>","","https://planning.alveary.org/links.html?id=recIVyFFuzbJhFIAy&term=1&week=4","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-recKrJ7b7C8fMmoyM","5","1","25m Canadian Government: Grade 7 - Lesson 5","<p>Winners &amp; Losers<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember from last week's reading about Canada's Constitution?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.24-27 &quot;Some people are so keen&quot; - &quot;it all depends!&quot; (Audiobook: Chapter 6)</p><p>➜ NOTEBOOK<br>Choose one of the federal referendums on page 27 and create a pros/cons list of reasons why someone might vote for or against the question.<br>Mark a few notable dates regarding the history of voting in Canada in your notebook or Timeline.</p><p>• COMPOSITION<br>Imagine you are going to start your own political party. What are some issues that matter the most to you? Define 3-5 foundational positions that your party would hold.</p>","","","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-rec6sakNkenYMcDh3","6","1","25m Canadian Government: Grade 7 - Lesson 6","<p>Current Events - Government</p><p>➜ READ &amp; NARRATE<br>Find a current events article about your government. Narrate your chosen article either orally or in writing.</p>","","","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-rec2pkrd3byYS2YYr","7","1","25m Canadian Government: Grade 7 - Lesson 7","<p>Election Time<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember from the reading last time about political parties and voting?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.28-31 &quot;How will you&quot; - &quot;Congratulations!&quot; (Audiobook: Chapter 7 0:00-6:09)</p><p>➜ ACTIVITY<br>Test your knowledge of how elections are called and how they function.<br>∞ Link: Parliament and Elections</p>","","https://planning.alveary.org/links.html?id=recIVyFFuzbJhFIAy&term=1&week=7","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-recBBppUp14rDdGjh","8","1","25m Canadian Government: Grade 7 - Lesson 8","<p>Campaigns and Voters<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember from the reading last time about calling an election?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.32-35 &quot;Are you ready&quot; - &quot;always had the vote.&quot; (Audiobook: chapter 7, 6:10-end)<br>• Looking at the timeline on page 35 (reproduced in Chapter 7 of the audio membership), determine when your province or territory first granted women the right to vote.</p><p>➜ WATCH <br>Learn more about Nellie McClung and her quest to get the vote for women.<br>∞ Video Link: Heritage Minutes: Nellie McClung</p>","","https://planning.alveary.org/links.html?id=recIVyFFuzbJhFIAy&term=1&week=8","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-recqdYSFKMxTRkX6u","9","1","25m Canadian Government: Grade 7 - Lesson 9","<p>Election Day<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember from last week's reading about starting an election campaign?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.36-43 &quot;Even though it's so easy&quot; - &quot;late into the evenings.&quot; (Audiobook: Chapter 8)<br>• Describe some of the activities that take place on election day.</p>","","","Lesson","0","FALSE"
"alveary-recIVyFFuzbJhFIAy","alveary-recVxhIZpMnOdbAGW","10","1","25m Canadian Government: Grade 7 - Lesson 10","<p>Election Day<br>⍞ Materials: Who Runs This Country, Anyway?</p><p>➜ RECAP<br>What do you remember from last week's reading about election day?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.44-47 &quot;Both you and Nathan&quot; - &quot;who elected them.&quot; (Audiobook: Chapter 9)</p><p>➜ WATCH<br>1\. Learn more about how MPs are elected and what happens to Parliament after an election.<br>∞ Video Link: How do elections affect Canada's Parliament?</p><p>2\. Learn more about majority and minority governments.<br>∞ Video Link: What are majority and minority governments?</p><p>3\. Learn more about what the term &quot;Responsible Government&quot; means.<br>∞ Video Link: What is responsible government?</p>","","https://planning.alveary.org/links.html?id=recIVyFFuzbJhFIAy&term=1&week=10","Lesson","0","FALSE"
