"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recIakhHcEehc3HcF","alveary-recHOVprrtY0gd1TV","1","1","20m Art: Level 1 - Lesson 1","<p>Drawing: Introduction<br>⍞ Materials: Drawing, Design, and Craft-Work, white chalk, chalkboard, pencil, and scrap paper (a small piece is fine)</p><p>PREP: Read “Introduction” Drawing, Design, and Craft-Work p.1-12 (to “for the sake of its freedom”).  View the tutorial and learn some basics to share with students.</p><p>Paint or hang a chalkboard on the wall, or lean it against an easel. At the very least, prop the chalkboard in your student's lap, and lean it against the table so that they are working in an upright position as opposed to having their arm anchored on the table. Make sure students are sitting up and not leaning on the board.</p><p>If you need help understanding what it means to draw from your shoulder, watch this.<br>∞ Video Link: Drawing From Your Wrist and Shoulder (Start watching at 4:00 if showing directly to students.)</p><p>➜ WARM UP<br>Allow students three to four minutes to draw with the chalk freely, i.e., &quot;free draw.&quot; This will begin the habit of warming up at the chalkboard before drawing, even in later levels. Start strong to end strong.</p><p>➜ INTRO<br>During our art lessons, we are going to learn how to draw like real artists.</p><p>➜ PRACTICE<br>• Ask the student to write his/her name on the scrap paper with the pencil as they normally would. <br>• Notice the pencil grip, the size of the letters, and what parts of the arm/hand move (mostly hand and wrist).<br>• Discuss your observations.<br>• Have the student write his/her name on the upright chalkboard.<br>• Notice and discuss the differences between the two. <br>• Which parts of the arm moved then? (whole arm) Model if necessary.<br>• Tell the students that this is how we are going to draw most of the time: moving the whole arm from the shoulder.<br>• Allow students to explore the use of the chalk again. Suggest different kinds of marks, i.e., thick marks (chalk on its side), thin marks (on its tip), heavy, light, etc. <br>• The student may draw or write any words, pictures, or designs desired on the chalkboard for the rest of the lesson time.<br>• Make sure to remind them to use their shoulder muscles to draw with and not their wrists or elbows.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Teachers, allow students the margin to free draw and explore the medium. Observe how they move their arm while drawing and reinforce moving from the shoulder as opposed to the fingers, wrist, or elbow. Remind students that they have more ability and freedom of movement from their shoulders.</p><p>• OCCUPATIONS <br>Spend time in the afternoon drawing on the chalkboard with white chalk.</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=1","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-recp5xpBnt7dg621F","1","2","20m Art: Level 1 - Lesson 2","<p>Drawing: Circles <br>⍞ Materials: White chalk, chalkboard</p><p>PREP: Watch Video<br>∞ Video Link: Drawing Circles Art L1 L2</p><p>Remember that this video is here to help with understanding what it means to draw from your shoulder.<br>∞ Video Link: Drawing From Your Wrist and Shoulder</p><p>➜ RECAP<br>Ask students to recall what they learned in the last drawing lesson. What part of our body do we focus energy on when drawing? (shoulder)</p><p>➜ WARM UP<br>Give students about a one-inch piece of chalk to draw with, and allow them to draw whatever they choose for three or four minutes.</p><p>➜ PRACTICE<br>• Have students stand up, stretch out their dominant arm/hand, and draw a circle in the air. What is the smallest circle you can draw? What is the largest circle? (Focus on the shoulder moving as opposed to the wrist or elbow, but don't fixate. Continuing to practice will help this to come more naturally, but will not be perfect in the beginning.)<br>• Find a medium-sized circle where your arm moves from the top of your head to about your belly button. <br>• Practice drawing this circle in the air, moving your arm clockwise and then counter-clockwise.<br>• Draw different-sized circles on the chalkboard using the same process as in the air.<br>• Model the circles in both directions.<br>• Have the student practice drawing this circle several times, going in both directions.<br>• What can you make out of the circles that you have drawn?  Snowmen, donuts, wheels, baseballs, etc.?<br>• Allow students the margin to free draw and explore the medium and new skills for the rest of the lesson time. <br>• Is there anything in your classroom that has circles? If so, try to draw it.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Teachers, allow students the margin to free draw and explore the medium and new skills. Practice identifying art skills &quot;by the way.&quot; Look for things on your nature walk that have a circular shape. Draw them in your nature notebook. <br>Read Article<br> ∞ Article Link: Circles in Nature</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=1","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-reczXY4cbUWhrimbO","2","1","20m Art: Level 1 - Lesson 3","<p>Drawing: Spirals <br>⍞ Materials: White chalk, chalkboard</p><p>➜ WARM UP<br>Practice your large, small, and medium circles in the air in both directions and on the board for three or four minutes. Make sure the same large shoulder muscles are used to draw all sizes of circles.</p><p>➜ INTRO<br>Today, we are going to draw a design that starts like a small circle, but then it grows into a big circle. This shape is called a “spiral.”<br>Watch Video<br>∞ Video Link: Drawing Spiral L1 L3</p><p>➜ PRACTICE<br>• Model drawing a spiral in the air in both directions with the student following along. <br>• Model drawing the spiral shape on the board with the chalk on its side. Do this in both directions.<br>• Have students do the same thing with the chalk on its side.<br>• What can you turn your spiral shapes into? A fan, a flower, etc.?<br>• Allow students the margin to free draw and explore the medium and new skills for the rest of the lesson time. <br>• Is there anything in the room that is a spiral shape? If so, try to draw it.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Look for things on your nature walk that have a spiral shape to collect/draw in your nature notebook. Does the spiral stay the same width all the way around, or does it start tiny in the middle and then get fatter?</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=2","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-recYzsMsa0xXO0jQ1","2","2","20m Art: Level 1 - Lesson 4","<p>Drawing: Mass Drawing Squares &amp; Triangles<br>⍞ Materials: Drawing, Design, and Craft-Work, white chalk, and chalkboard</p><p>PREP: Read “Mass Drawing” and “Mass Drawing and Silhouette” Drawing, Design, and Craft-Work p.39-40, 42-43 <br>∞ Video Link: Mass Drawing Versus Outline Drawing L1 L4</p><p>➜ WARM UP<br>Practice drawing spirals on your chalkboard in both directions using large shoulder movements for three to four minutes.</p><p>➜ INTRO<br>Today, we are going to draw squares first, and then triangles with our chalk on its side. This is called a “mass” drawing or “silhouette.”<br>Watch the video together.<br>∞ Video Link: Mass Drawing Squares L1 L4</p><p>➜ PRACTICE<br>• Teach students how to turn their chalk on its side and do a mass drawing.<br>• Draw a square in the air in all directions using large shoulder movements.<br>• Model drawing squares of different sizes on the board.<br>• What can you turn your squares into?<br>• Mention that squares have four equal, straight sides and four 90-degree angles. <br>• Repeat the same process with triangles.<br>• What can you turn a triangle into?<br>• Allow students the margin to free draw and explore the medium and new skills for the rest of the lesson time.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Look for squares and triangles in nature.</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=2","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-recd85NPWxNDYEv2J","3","1","20m Art: Level 1 - Lesson 5","<p>Cityscapes<br>⍞ Materials: White chalk, chalkboard, towels to protect lap, pastels, Art Book, fixative, and pictures of cityscapes</p><p>PREP: If you are unfamiliar with soft pastels, watch the tutorial.<br>∞ Video Link: Tutorial: Pastel Basics #1 L1 L5</p><p>➜ WARM UP<br>Practice drawing strokes and shapes on the chalkboard using both the tip and the sides of the chalk for three or four minutes.</p><p>➜ VIEW &amp; DISCUSS       <br>∞ Link: Cityscape Examples<br>•Observe and discuss the cityscape examples, pointing out circles, squares, triangles, and spirals (if there are any).<br>•What other shapes do you see?<br> <br>∞ Image Link: Paul Klee's Castle and Sun (1928)<br>• What shapes do you see?</p><p>➜ VIEW &amp; PRACTICE<br>∞ Video Link: Cityscapes L1 L5 (This is an example, not to be copied exactly.)<br>• Give students their Art Books and pastels. <br>• Students should place towels over their laps, prop their Art Books in their laps, and lean them against the table. <br>• Have them draw their own cityscapes using circles, squares, triangles, and spirals.<br>• Remind students to draw the way they have been practicing on the chalkboard, using the pastel on its side to create mass drawings. (They can turn the pastel to use the tip for details like windows and doors.)<br>• Remind students to draw from their shoulders.</p><p>➜ DISCUSS<br>Tell what was noticed or discovered.</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Discuss objects that you see. Ask guiding questions to help students think through what they see.</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=3","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-rec6cS83BmVXgPU11","3","2","20m Art: Level 1 - Lesson 6","<p>Drawing: Trilliums<br>⍞ Materials: Drawing, Design, and Craft-Work, white chalk, and chalkboard</p><p>PREP: View the tutorial to learn how to teach students to draw a trillium.<br>∞ Video Link: Tutorial: Trilliums L1 L6</p><p>➜ WARM UP<br>Draw with big arm muscles on the board. Draw silhouettes of triangles of various sizes.</p><p>➜ INTRO<br>Today, we are going to draw a shape that is like a triangle but has curved lines that intersect before coming to a point. This shape is called a “trillium.” (Trilliums are difficult to do as a mass drawing, but do keep the chalk on its side while drawing. Next, try it with the point of the chalk.)</p><p>➜ STUDY, NARRATE, &amp; DISCUSS<br>“Plate 1” Drawing, Design, and Craft-Work p.11</p><p>➜ PRACTICE<br>• Have students draw a trillium in the air.<br>• Model drawing trilliums of various sizes on the board.  Make three dots in a triangular shape. Draw a line that arches in towards the center from dot to dot as seen in the teacher prep video.<br>• Have students trace your trillium first with their finger and then with the chalk.<br>• Allow students time to practice doing trilliums on the board.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Look for triangles on your nature walk. Look for triangles around the classroom. Draw what you see.</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=3","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-receC9JVbOqXKnRwh","4","1","20m Art: Level 1 - Lesson 7","<p>Drawing: Trilliums <br>⍞ Materials: Pastels, towels to protect lap, fixative, and Art Book</p><p>➜ WARM UP<br>Draw with big arm muscles on the board. Draw silhouettes of triangles of various sizes.</p><p>➜ INTRO<br>Today, we are going to turn trilliums into lilies. Look at the trillium and lily examples and discuss where you see trillium shapes. <br>∞ Link: Trilliums &amp; Lilies<br>∞ Link: Trillium Flowers</p><p>➜ VIEW &amp; PRACTICE<br>• Watch the tutorial video together. This is an example, not to be copied exactly.<br>∞ Video Link: Drawing Trilliums L1 L7<br>• Have students draw a trillium in the air.<br>• Model turning a trillium shape into a lily for your students.<br>• Have students turn trillium shapes into lilies in their Art Books using pastels. <br>• Allow students to decorate the background, add leaves, and change colors as they see fit.<br>• Add trillium flowers to your pictures if you would like.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Look for trilliums on your nature walk in other flowers you come across. Look for trilliums around the classroom. Draw what you see.</p><p>• OCCUPATIONS <br>Encourage your students to draw lilies using trilliums to give away as gifts to loved ones or to decorate the classroom.</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=4","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-recTrjXnqvcFNY6e9","4","2","20m Art: Level 1 - Lesson 8","<p>Drawing: Free Arm Exercises in Chalk <br>⍞ Materials: Drawing, Design, and Craft-Work, white chalk, chalkboard, and classroom objects</p><p>PREP: Read “Chalk Drawing” p.10-12.</p><p>➜ NOTE<br>This drawing lesson will take two class times. Allow students to draw objects from the plate on p.11. Find similar objects from around your classroom to have students draw. Remember, this is like penmanship–the more students practice observing, seeing, and building those muscles, the stronger they will become.</p><p>➜ RECAP<br>Recall what muscles should be used for drawing. (shoulder)</p><p>➜ WARM UP<br>Draw with big arm muscles on the board for three minutes. Do mass drawings of squares, circles, triangles, spirals, and trilliums.</p><p>➜ STUDY, NARRATE, &amp; DISCUSS<br>Choose an object to begin with. It can be any of them. <br>“Plate 1” p.11</p><p>➜ PRACTICE<br>• Have students draw the overall shape of that object in the air (similar to how they practiced in the last lesson).<br>• Students should then draw the same object on the board as a silhouette, carefully and with great thought, as in crafting a letter in penmanship.<br>• Repeat with other objects for the remainder of the lesson. <br>• Be careful to make sure that students are not rushing through the figures, but working carefully.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Notice and discuss objects on your nature walk. How would you draw them in your notebook? Refer to the Nature Notebook course for more information. Try drawing more objects from “Plate 1” on the chalkboard.</p>","","","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-recENVUooEFPFp2RF","5","1","20m Art: Level 1 - Lesson 9","<p>Drawing: Free Arm Exercises in Chalk <br>⍞ Materials: Drawing, Design, and Craft-Work, pastels, Art Book, towels, and fixative</p><p>➜ RECAP<br>Recall what muscles should be used for drawing (shoulder) and the objects you drew in the last lesson.</p><p>➜ WARM UP<br>Draw with big arm muscles on the board for three minutes. Do mass drawings of squares, circles, triangles, spirals, and trilliums.</p><p>➜ STUDY, NARRATE, &amp; DISCUSS<br> Choose a new object to focus on.<br>“Plate 1” p.11</p><p>➜ PRACTICE<br>• Have students draw the overall shape of that object in the air.<br>• Students should then draw the same object in their Art Books as a silhouette, carefully and with great thought, as in crafting a letter in penmanship.<br>• Have students look around the classroom to find a similar object.<br>• Students should then practice drawing that object from life in their Art Books.</p><p>➜ NOTE<br>These lessons are challenging for Level 1 students. They are learning new skills, working new muscles, and building new habits. Encourage them not to give up, but to persevere. Modeling drawing alongside your students will encourage them greatly.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Notice and discuss objects on your nature walk. How would you draw them in your notebook? Refer to the Nature Notebook course for more information.</p><p>• OCCUPATIONS <br>Try finding more objects similar to “Plate 1” and drawing them from life on the chalkboard.</p>","","","Lesson","0","FALSE"
"alveary-recIakhHcEehc3HcF","alveary-reczeaTMLA77jgiCH","5","2","20m Art: Level 1 - Lesson 10","<p>Drawing: Still Life<br>⍞ Materials: White chalk, chalkboard, and simple objects for still life (think soup can, ball, tissue box, book, etc.)</p><p>PREP: Watch Setting Up a Still Life L1 L10<br>∞ Video Link: Setting Up a Still Life L1 L10 &amp; L5 L26</p><p>➜ RECAP<br>Recall what muscles should be used for drawing. (shoulder)</p><p>➜ WARM UP<br>Draw with big arm muscles on the board for three minutes. Do mass drawings of squares, circles, triangles, spirals, and trilliums.</p><p>➜ STUDY, NARRATE, &amp; DISCUSS<br>∞ Link: Still Life with a Parrot by Frida Kahlo <br>∞ Link: Still Life with a Coffee Pot by Vincent van Gogh<br>∞ Link: Still Life in Pastel Student Examples</p><p>➜ PRACTICE<br>• Set up a still life from the everyday objects you have drawn each week or new ones you have chosen.<br>• Have students draw the still life on the board with chalk.<br>• Remember mass drawing. <br>• Tell students this is their practice drawing, and next lesson, they will begin a project.</p><p>➜ DISCUSS<br>What was noticed or discovered?</p><p>• OBSERVE &amp; DISCUSS <br>Practice identifying art skills. Discuss objects that you see. Ask guiding questions to help students think through what they see.</p>","","https://planning.alveary.org/links.html?id=recIakhHcEehc3HcF&term=1&week=5","Lesson","0","FALSE"
