"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recIjTaWJviBZTIrd","alveary-recX9rm3kTovClhQR","1","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 1","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-rec4dZtui3F3UY686","2","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 2","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-rec45mRa1PVcy4uWZ","3","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 3","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recwV4TKdnfk5SKg1","4","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 4","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recPYh0RdrXwn5pJf","5","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 5","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-rech3VVncVpHHYtUT","6","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 6","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recrp2x3QUmnMsYVm","7","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 7","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recRmghY86HkMPbpW","8","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 8","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recVh8gmedfFJCVNl","9","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 9","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recWNvCFNWacxLyCb","10","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 10","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recDfl1LoBgzkArKS","11","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 11","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recNje763w0BUFAIz","12","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 12","","","","Exam","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recOw9cVLbqiwH6No","13","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 13","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-rec7L4qTQpTOwWaY3","14","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 14","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recBIFA7J7ArcaG0j","15","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 15","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recPkyRoxxRWAF5Gn","16","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 16","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-reczwDiwmGbHNasxD","17","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 17","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recPHgwC3Vj6uHvzo","18","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 18","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recShj10sPgmsL1hI","19","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 19","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recN0W4XlpfxH3I5c","20","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 20","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recIWfRDpYB5DmRTu","21","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 21","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-rec4z3gE63FBO9u4Q","22","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 22","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-rec0s4R2wJQ7Bc2gQ","23","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 23","","","","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recHGUiztJzNlKqft","24","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 24","","<p>★ Canadian Gov./ Economics: Grade 8 — TERM 2 EXAM QUESTIONS<br>· (Charter of Rights and Freedoms): List as many rights and freedoms contained<br>in the Charter as you can and provide some concrete examples of how they do (or could) affect<br>your daily life.</p>","","Exam","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-reclg25hNhioRWYji","25","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 25","<p>⍞ Materials: Dollars &amp; Sense</p><p>➜ INTRO<br>Are you familiar with the Bible verse, &quot;The love of money is a root of all kinds of evil&quot; (I Timothy 6:10)?  What do you think that means, and how have you seen that truth play out? This term, we will be studying economics which has to do with money and the way a country uses and produces goods and services.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Introduction ix-xiii &quot;Bread, Dough.&quot; - &quot;dollars and cents.&quot;<br>Also, go to Ch.1 and read the section at the bottom of p.8 &quot;You've Got It and I Want It: The Law of Supply and Demand&quot;</p><p>• How does money help the economy, and how does greed hurt the economy?</p><p>• Explain the economic principle &quot;The Law of Supply and Demand.&quot;<br>∞ Video Link: What is Supply and Demand?</p><p>• CITIZENSHIP NOTEBOOK<br>Make a list of the goods and services your family uses that contribute toward a healthy economy. Goods are tangible things you buy, such as clothes and food. Services are intangible and usually involve paying for a business to do something for you. Examples: haircuts, car insurance, phone service.</p><p>Can you think of examples that fit this economic principle? Also, make a list of items that may be in high demand or low demand depending on the time of year.</p>","","https://planning.alveary.org/links.html?id=recIjTaWJviBZTIrd&term=3&week=25","Lesson","0","FALSE"
"alveary-recIjTaWJviBZTIrd","alveary-recjqHuAk7d9bABfs","26","1","25m Canadian Gov./ Economics: Grade 8 - Lesson 26","<p>⍞ Materials: Dollars &amp; Sense</p><p>➜ RECAP<br>What do you remember about last week's reading?</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1 Skulls, Sheep, and Shells,  p.1-9 &quot;Have you ever&quot; - &quot;the ancient world.&quot;</p><p>• Why did the bartering system need to be replaced with something better?</p><p>• Talk about the different items used before money and why they didn't work out.</p><p>∞ Image Link: Cowrie shells used as money in ancient China<br>∞ Image Link: Deerskin used as folding money (China)<br>∞ Image Link: Chinese paper money<br>∞ Image Link: Fort Knox</p><p>• CITIZENSHIP NOTEBOOK<br>Make a timeline and draw pictures with labels to show the different mediums of exchange from ancient times to the present day. Look at p.4-5 to help you fill out the timeline. There are links to see some of the different mediums that were used.</p>","","https://planning.alveary.org/links.html?id=recIjTaWJviBZTIrd&term=3&week=26","Lesson","0","FALSE"
