"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recJCc8CXGFHLFyso","alveary-rech8658Zh8scSPoU","1","1","20m Jump Rope - Lesson 1","<p>⍞ Materials: The Book of Playground Songs &amp; Rhymes</p><p>PREP: Learn song and motions.<br>&quot;Icka Backa Soda Cracker&quot; p.48</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Read the rhyme aloud, practice reciting.<br>2\. Clap a steady beat to find the rhythm.<br>3\. Jump to rhythm, landing on stressed beats.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recdwzkDr1BgUNV2G","2","1","20m Jump Rope - Lesson 2","<p>Icka Backa Soda Cracker<br>⍞ Materials: Long Jump Rope, Two Twirlers</p><p>➜ NOTE<br>Continue with the same rhyme.</p><p>➜ PRACTICE<br>1\. Recite the rhyme without jumping.<br>2\. Listen to rhyme and jump with long rope.<br>3\. Recite the rhyme while jumping.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recx4JCc8zfwCi6Rn","3","1","20m Jump Rope - Lesson 3","<p>Icka Backa Soda Cracker<br>⍞ Materials: Short Jump Rope</p><p>➜ NOTE<br>Continue with the same rhyme</p><p>➜ PRACTICE<br>1\. Recite the rhyme without jumping.<br>2\. Listen to rhyme and jump with a short rope.<br>3\. Recite the rhyme while jumping.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recFnBlHqhxGzLyNQ","4","1","20m Jump Rope - Lesson 4","<p>Icka Backa Soda Cracker<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ NOTE<br>Continue with the same rhyme.</p><p>➜ PRACTICE<br>1\. Listen to rhyme while jumping.<br>2\. Recite rhyme while jumping.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recdlWkwjzTsUcPLT","5","1","20m Jump Rope - Lesson 5","<p>Icka Backa Soda Cracker<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ NOTE<br>Continue with the same rhyme.</p><p>➜ PRACTICE<br>Recite rhyme while jumping.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recfpHUTinCTFVecm","6","1","20m Jump Rope - Lesson 6","<p>Variations<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ PRACTICE<br>• Jump to a variety of rhymes.<br>• Recite other jump rope rhymes.<br>• Sing songs or other catchy rhymes.<br>• Recite Modern Language rhymes.<br>• Recite poetry or math facts.</p><p>➜ PRACTICE<br>• Vary the skill level, add tricks.<br>• Increase or decrease speed.<br>• Run in and out.<br>• Turn around.<br>• Touch ground.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recm71K8ym9bJPnhR","7","1","20m Jump Rope - Lesson 7","<p>Variations<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ PRACTICE<br>• Jump to a variety of rhymes.<br>• Recite other jump rope rhymes.<br>• Sing songs or other catchy rhymes.<br>• Recite Modern Language rhymes.<br>• Recite poetry or math facts.</p><p>➜ PRACTICE<br>• Vary the skill level, add tricks.<br>• Increase or decrease speed.<br>• Run in and out.<br>• Turn around.<br>• Touch ground.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recPeJRVEPNenxyJf","8","1","20m Jump Rope - Lesson 8","<p>Variations<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ PRACTICE<br>• Jump to a variety of rhymes.<br>• Recite other jump rope rhymes.<br>• Sing songs or other catchy rhymes.<br>• Recite Modern Language rhymes.<br>• Recite poetry or math facts.</p><p>➜ PRACTICE<br>• Vary the skill level, add tricks.<br>• Increase or decrease speed.<br>• Run in and out.<br>• Turn around.<br>• Touch ground.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recik8yyPoJmAOxKE","9","1","20m Jump Rope - Lesson 9","<p>Variations<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ PRACTICE<br>• Jump to a variety of rhymes.<br>• Recite other jump rope rhymes.<br>• Sing songs or other catchy rhymes.<br>• Recite Modern Language rhymes.<br>• Recite poetry or math facts.</p><p>➜ PRACTICE<br>• Vary the skill level, add tricks.<br>• Increase or decrease speed.<br>• Run in and out.<br>• Turn around.<br>• Touch ground.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recJyfXJsh4YmmIoj","10","1","20m Jump Rope - Lesson 10","<p>Variations<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ PRACTICE<br>• Jump to a variety of rhymes.<br>• Recite other jump rope rhymes.<br>• Sing songs or other catchy rhymes.<br>• Recite Modern Language rhymes.<br>• Recite poetry or math facts.</p><p>➜ PRACTICE<br>• Vary the skill level, add tricks.<br>• Increase or decrease speed.<br>• Run in and out.<br>• Turn around.<br>• Touch ground.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recESfhXkC9Q3x1Bg","11","1","20m Jump Rope - Lesson 11","<p>Variations<br>⍞ Materials: Long or Short Jump Rope</p><p>➜ PRACTICE<br>• Jump to a variety of rhymes.<br>• Recite other jump rope rhymes.<br>• Sing songs or other catchy rhymes.<br>• Recite Modern Language rhymes.<br>• Recite poetry or math facts.</p><p>➜ PRACTICE<br>• Vary the skill level, add tricks.<br>• Increase or decrease speed.<br>• Run in and out.<br>• Turn around.<br>• Touch ground.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-rec8GOJoumYzaDSrC","12","1","20m Jump Rope - Lesson 12","<p>➜ EXAMS<br>Answer question(s) related to course.</p><p>Questions will come from:<br>Playground Songs &amp; Rhymes</p>","","","Exam","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recBzymbrOpmNDwB4","13","1","20m Jump Rope - Lesson 13","<p>⍞ Materials: The Book of Playground Songs &amp; Rhymes</p><p>PREP: Learn song and motions.<br>&quot;Motor Boat, Motor Boat&quot; p.46</p><p>➜ LISTEN &amp; PRACTICE<br>1\. Read the rhyme aloud, practice reciting.<br>2\. Clap a steady beat to find the rhythm.<br>3\. Jump to rhythm, landing on stressed beats.</p>","","","Lesson","0","FALSE"
"alveary-recJCc8CXGFHLFyso","alveary-recsn82SMmsHeY7EB","14","1","20m Jump Rope - Lesson 14","<p>Motor Boat, Motor Boat<br>⍞ Materials: Long Jump Rope, Two Twirlers</p><p>➜ NOTE<br>Continue with the same rhyme.</p><p>➜ PRACTICE<br>1\. Recite the rhyme without jumping.<br>2\. Listen to rhyme and jump with long rope.<br>3\. Recite the rhyme while jumping.</p>","","","Lesson","0","FALSE"
