"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recJSVNFOi2NGTd6p","alveary-rec4BEFhK36fc7D08","1","1","45m Botany Lessons - Lesson 1","<p>Botany Literature<br>⍞ Materials: What a Plant Knows</p><p>➜ INTRO<br>At least one day each week will be spent reading important works of botanical literature. The lesson plans give you an idea of how many pages to read each week to finish the book by the end of the term. If one day is not enough, you might read about half on one day and half on the flex day. If one day is enough, then decide how you would like to use your flex day. Consider the ideas provided on Day 4 of the week.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 14 pages per week; p.3-17.</p><p>➜ WRITE <br>Write a narration in your Botany Notebook.</p><p>• PLAN WEEKLY<br>⬚ Nature walk - Look for the plants and/or features mentioned in your books. Record observations.<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-recA9wlveiI3G5tfG","1","2","45m Botany Lessons - Lesson 2","<p>How Plants Work, Life Cycle of Flowering Plants<br>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.1. Work through the material, adding drawings to your notebook. You may need to visit local nurseries, botanical gardens, neighbors' yards, and gardens to find specimens to examine. Pick a question at the end to answer fully in your notebook for your narration.</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-rec5G5o10MamiAVYS","1","3","45m Botany Lessons - Lesson 3","<p>Identification<br>⍞ Materials: Botany in a Day</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Forward, Region Covered, and p.1-9</p><p>➜ NOTE<br>You may or may not agree with the author's presentation of the evolution of plants. Still, it is important to know current botanical thinking, especially as we seek to understand how plants have been organized. This will help us as we begin to learn plant families.</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-recCtKIxNno0ruFT6","1","4","45m Botany Lessons - Lesson 4","<p>Flex Day<br>⍞ Materials: Selected botany literature OR lab/field supplies</p><p>➜ INTRO<br>Use this flex day to finish the week's reading from What a Plant Knows, or continue any lab/field activities. Suppose you have completed the week's activities. In that case, you may use this day to tailor the course to be more literary by reading an additional text, such as Growing a Revolution, or more active by pursuing a special study of interest.</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-recNAbJ7Bjo4oOCs0","1","5","45m Botany Lessons - Lesson 5","<p>Special Study<br>⍞ Materials:  The Milkweed Lands</p><p>➜ INTRO<br>Notice how the author and illustrator make a study of and learn so much about this one plant. Whether you have milkweed near you and can notice their observations, or you make a similar study of a particular plant in your locale, enjoy their method as you develop your own.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Half of Ch.1 (to the end of &quot;Dangerous Colors&quot; p.8)</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-recXGB23nbfd7asxx","2","1","45m Botany Lessons - Lesson 6","<p>Botany Literature<br>⍞ Materials: What a Plant Knows</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Read about 14 pages per week; p.17-31.</p><p>➜ WRITE <br>Write a narration in your Botany Notebook.</p><p>• PLAN WEEKLY<br>⬚ Nature walk - Look for the plants and/or features mentioned in your books. Record observations.<br>⬚ science free read</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-recUTzBzLqrzNw1UK","2","2","45m Botany Lessons - Lesson 7","<p>How Plants Work, Use of Water<br>⍞ Materials: Elementary Studies in Plant Life</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Ch.2</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-recrv0K3bPcMMfnoy","2","3","45m Botany Lessons - Lesson 8","<p>Identification<br>⍞ Materials: Botany in a Day</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.10-18</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-recUJ8ao5a1dl6qld","2","4","45m Botany Lessons - Lesson 9","<p>Flex Day<br>⍞ Materials: Selected botany literature OR lab/field supplies</p><p>➜ NOTE<br>Use this flex day to finish the week's reading from What a Plant Knows, or continue any lab/field activities. Suppose you have completed these activities for the week. In that case, you may use this day to tailor the course to be more literary by reading an additional text, such as Growing a Revolution, or more active by pursuing a special study of interest.</p>","","","Lesson","0","FALSE"
"alveary-recJSVNFOi2NGTd6p","alveary-rec4wpp4tDm77GRfT","2","5","45m Botany Lessons - Lesson 10","<p>Special Study<br>⍞ Materials: The Milkweed Lands</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>Finish Ch.1 from p.8.</p>","","","Lesson","0","FALSE"
