"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recJaV8SyposOAfRl","alveary-recc58TmnXBKPFTX3","1","1","25m Ethics: Part 3 - Lesson 1","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XII p.136-137 &quot;We must know&quot; - &quot;govern our actions.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Choose a habit you would like to cultivate and tell a little about why. Draw a chart for keeping up with your new habit and check in daily. See example in Citizenship Notebook PDF in Quick Links.</p><p>➜ DISCUSS (with remaining time)<br>Write or tell about the impact that governing our actions can have upon those around us.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-recdR0vvy35z2G6HB","2","1","25m Ethics: Part 3 - Lesson 2","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XII p.137-139 &quot;I must be Just&quot; - &quot;as they are.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log. Start a chart where you can list desirable human character traits on one side and their daemons on the other.</p><p>➜ JOURNAL (with remaining time)<br>Write of a time you were able to pay the dues of justice by thinking fairly, speaking truly, or acting justly toward someone else.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-recCQyfoSJPONq0IE","3","1","25m Ethics: Part 3 - Lesson 3","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XIII p.140-143 &quot;We begin to&quot; - &quot;are gently received.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION -  Persuasive<br>Write at least two paragraphs to persuade your peers to be thoughtful and considerate, avoiding injuring body and soul of others.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-recnGfsL5jsvO3oWo","4","1","25m Ethics: Part 3 - Lesson 4","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XIII p.143-145 &quot;We are not&quot; - &quot;he belongs to.&quot;</p><p>• Think of a time someone was disagreeable.  How did or could you have used candour to see the other side.</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-recuEzs5y6TmR6t1q","5","1","25m Ethics: Part 3 - Lesson 5","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XIII p.145-147 &quot;Prejudice.-Opposed&quot; - &quot;is their due.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION - Compare/Contrast<br>Compare and contrast the similarities and differences between candour and prejudice.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-recJhRAjG1CmeMvrU","6","1","25m Ethics: Part 3 - Lesson 6","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XIII p.147-149 &quot;Discernment.-See,&quot; - &quot;works of others.&quot;</p><p>• How important is discernment in our modern world?  What are some practical steps students can take to develop discernment?</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update character traits chart. Think of a new habit you would like to cultivate and create a tracking chart.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-reczEd4NqFabN9zSD","7","1","25m Ethics: Part 3 - Lesson 7","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XIV p.150-153 &quot;Truth is not&quot; - &quot;at our hands.&quot;</p><p>➜ VIEW &amp; DISCUSS: &quot;Calumny of Apelles&quot; by Botticelli<br>∞ Art Print Link: Calumny of Apelles</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p>","","https://planning.alveary.org/links.html?id=recJaV8SyposOAfRl&term=1&week=7","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-rec8G8SXP8yWQcw6c","8","1","25m Ethics: Part 3 - Lesson 8","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XIV p.153-155 &quot;Insidiousness and Envy&quot; - &quot;of human nature.&quot;</p><p>• What are the differences and similarities of a fanatic and a martyr?</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-rectBTPJSQd6QgsRQ","9","1","25m Ethics: Part 3 - Lesson 9","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XV p.156-158 &quot;We have not&quot; - &quot;even less accurate.&quot;</p><p>• Tell about the importance of using veracity when communicating with others. Can you think of any examples from your own life or others?</p><p>• CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart this week.</p>","","","Lesson","0","FALSE"
"alveary-recJaV8SyposOAfRl","alveary-recgqF6mEUOFHEuWk","10","1","25m Ethics: Part 3 - Lesson 10","<p>⍞ Materials: Ourselves: Book I</p><p>➜ READ, NARRATE, &amp; DISCUSS <br>Ch.XV p.158-160 &quot;Exaggeration-Another&quot; - &quot;win a laugh.&quot;</p><p>➜ CITIZENSHIP NOTEBOOK<br>Update habits log and character traits chart.</p><p>• COMPOSITION - Story<br>Write a story of someone who found themselves in trouble due to their habit of exaggeration.</p>","","","Lesson","0","FALSE"
