"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recJlZumjEUgeobT3","alveary-reciMKUX3shqLiATq","1","1","30m Geometry: Grade 7 - Lesson 1","<p>Getting Started<br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 1</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recjqNYc42csSJ82H","1","2","30m Geometry: Grade 7 - Lesson 2","<p>Drawing Diagonals <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 2</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recEtgYnwxrvGne3z","1","3","30m Geometry: Grade 7 - Lesson 3","<p>Drawing Stars <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 3</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recKIh9zdhmqhrBhP","2","1","30m Geometry: Grade 7 - Lesson 4","<p>Equilateral Triangles into Halves <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 4</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recgLsBGgPKcJSAPy","2","2","30m Geometry: Grade 7 - Lesson 5","<p>Equilateral Triangles into 6ths and 3rds <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 5</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recQqrzjJesZ59ryP","2","3","30m Geometry: Grade 7 - Lesson 6","<p>Equilateral Triangles into 4ths and 8ths <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 6</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-reck4sSRaD1M0CwbN","3","1","30m Geometry: Grade 7 - Lesson 7","<p>Equilateral Triangles into 9ths <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 7</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recR5zP392do4RhqC","3","2","30m Geometry: Grade 7 - Lesson 8","<p>Equilateral Triangles into 12ths and More <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 8</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recRopTY175hfYXuz","3","3","30m Geometry: Grade 7 - Lesson 9","<p>Hexagrams &amp; Seal of Solomon <br>⍞ Materials: RightStart Math Level G</p><p>PREP: Read the lesson. Work through it to acquaint yourself with the concepts. Lay out all materials.</p><p>➜ PRACTICE<br>Lesson 9</p>","","","Lesson","0","FALSE"
"alveary-recJlZumjEUgeobT3","alveary-recQvjeOcz7JwfkzI","4","1","30m Geometry: Grade 7 - Lesson 10","<p>Review and Games 1 <br>⍞ Materials: RightStart Math Level G</p><p>➜ PRACTICE<br>Lesson 10<br>Work through the lesson with student. Note any places of difficulty and take time to revisit those concepts.</p>","","","Lesson","0","FALSE"
