"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recJnS9WLFjeyObeC","alveary-recQpa5UfHPD5Qv39","1","1","30m Geography: Grade 8 (U.S.) - Lesson 1","<p>Solomon Carvalho: Solomon Joins Fremont<br>⍞ Materials: Westward with Fremont, notebook, United States Atlas, blank map</p><p>➜ PREP<br>Your geography notebook will be used on both days of the week. You may be asked to make an entry or to tape your printed maps for Map Work. Ensure that each entry is labeled with the date or lesson number. Your notebook should have a minimum of 70 pages. It is suggested to label the first page in your notebook “Solomon Carvalho's Journey” and set aside the next 5 pages. Place a marker or paper clip, label the page &quot;John Audubon's Wilderness Travels,&quot; and save 5 pages. Place another marker. This section will be used on the second day for notebooking work; label the title page for that section “The United States of America.”<br> <br>➜ INTRODUCTION   <br>Westward with Fremont: The Story of Solomon Carvalho tells the true story of a dangerous expedition led by explorer John C. Fremont and documented by photographer Solomon Nunes Carvalho. Carvalho was not a mountain man or soldier; he was an ordinary person and an artist. Armed with early photographic equipment, he traveled across the Great Plains, through the towering Rocky Mountains, and into the arid lands of the Great Basin, eventually reaching California. You will particularly study the river systems and mountain ranges traveled by the expedition. During the expedition, not all states were established; there were many regions they traveled through that were still considered territories.</p><p>➜ LOCATE   <br>⍞ Map Resource: United States Atlas p.27<br>1.  In your United States Atlas, locate Washington, D.C., New York City (New York), and Baltimore (Maryland). These are major cities in the Eastern region of the country. Notice that Washington, D.C., is labeled as the District of Columbia on the map. <br>2. What states border the city of Washington, D.C.? (Maryland and Virginia) The city is not part of either state. It is the capital city of the country.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Westward with Fremont  Ch.1-2 p.1-11 “I give you” - ”their Jewish neighbors.”</p><p>➜ MAP WORK<br>⍞ Materials: geography notebook, blank map of U.S.<br>∞ Map Link: Country Outline Map<br>∞ Map Link: Blank Map of U.S.<br>In your notebook, print and tape the blank map of the United States on the page after your “Solomon Carvalho's Journey” page. Notice that one map includes all the state outlines while the other does not. If you feel you need the state borders to guide you, then use the Blank Map of U.S. If you feel you want to place your own borders or territory sections, then choose the Country Outline Map. <br>You will use this map to record Solomon’s journey throughout future lessons. Title the map “Solomon’s Journey West.” Locate Baltimore, Maryland. Draw a house to signify Solomon’s hometown. Now, locate the 38th parallel and draw a faint dotted line along the map. This will be the route the group will try to follow.</p><p>• DEFINITIONS<br>expedition: a journey taken for a specific purpose, often exploration</p><p>frontier: the edge of settled land</p><p>daguerreotype: an early type of photograph made on a metal plate</p><p>survey: to measure and map land</p><p>38th Parallel in the United States: passes through California (near San Francisco/Mono Lake), Nevada (Henderson/Hoover Dam), Arizona (Grand Canyon), Oklahoma (Tulsa), Missouri, Kentucky, and Virginia</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=1","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recI220RsTaJYgOba","1","2","30m Geography: Grade 8 (U.S.) - Lesson 2","<p>Northeastern U.S.<br>⍞ Materials: Our States Have Crazy Shapes, United States Atlas, blank map, geography notebook<br>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         <br>PREP: Print 8 copies of the linked United States blank map, to be used over the next several weeks. One of these is to be placed in your student's geography notebook (leave an opposite page blank for the state capitals). States will be added from week to week, and the map will be used to study each week. The additional maps are used at the beginning of each week's lesson to see what the student remembers.<br>[∞ Map Link: Blank Map of U.S.](https://www.geoguessr.com/assets/seterra/printables/en/us-states-map.pdf)</p><p>➜ INTRO<br>The second lesson each week in Geography will be spent on Map Questions and Map Work/Projects. There is a Read, Narrate, &amp; Discuss portion from Our States Have Crazy Shapes that will cover two states per lesson in order of their acquired statehood. Please work for the time scheduled. There will be days when your state notebook entries might not be possible. Save those entries for another day or when you can return to them. It is recommended that you find a game about the states or follow along with the &quot;Extra Helpings&quot; of video suggestions to enlighten your assigned reading about each state.</p><p>➜ MAP WORK<br>⍞ Map Resource: United States Atlas p.14-15, 27<br>1. Our stories this year are about the journey of Solomon Carvalho and the adventures of John James Audubon. They begin in the eastern part of the United States, but we will take you through to the West Coast of the United States. Day two will focus on each region of the United States. We will begin in the northeastern part and will work our way to fill the entire map of the United States.<br>2. Read p.14-15 about our &quot;giant patchwork quilt.&quot;<br>3. Now turn to p.27 and locate Maine, New Hampshire, and Vermont. Add them to your blank map that you will place in your geography notebook.<br>4. What country borders these states to the North? (Canada) What Ocean borders the states to the east? (Atlantic Ocean) Add Canada and the Atlantic Ocean to your map.<br>5. Tape this map into your notebook. On the blank opposite page, start a state capital list. Add the state and capitals for Maine, New Hampshire, and Vermont to your list.<br>6. Spend some time studying the states, their capitals, and the region. Next week, you will fill these in from memory.</p><p>➜ READ &amp; NOTEBOOK<br>Delaware and Pennsylvania<br>Our States Have Crazy Shapes Ch.1-2 p.33-39<br>⍞ Map Resource: United States Atlas p.33, 47<br>1.  Draw an outline of Delaware and Pennsylvania on separate pages in your notebook in &quot;The United States of America&quot; section.  Moving forward, any states that you draw will be in this section.  Be sure to label each page with the state name at the top.  Observe the boundaries, and try to answer the following questions: What geographical features make up the boundaries of the state? Is there anything unique about the borders? <br>2. Read the pages in the book for each state. You may want to read about each state at a time and work on the map for that state. <br>3. Add any comments to your maps that you learned about in the reading. Aim to include at least 3 interesting things about the state and its boundaries. See example below. <br>[∞ Image Link: Example of State Map](https://www.dropbox.com/scl/fi/jup0ft3fy1u3tfrdltcrv/Example-of-State-Map.pdf?rlkey=97xmw2r7d34npl11p5ijxwbnp&amp;dl=0)</p><p>• EXTRA HELPING<br>View the video tour of Acadia National Park.<br>∞ Video Link: Acadia National Park</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=1","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-rec5StEf4yt10C44t","2","1","30m Geography: Grade 8 (U.S.) - Lesson 3","<p>Solomon Carvalho: Solomon Joins Fremont<br>⍞ Materials: Westward with Fremont, geography notebook, United States Atlas, Rivers Map</p><p>➜ RECAP    <br>What did you read last time?</p><p>➜ LOCATE   <br>⍞ Map Resource: United States Atlas p.101<br>1. Locate St. Louis on p.101.<br>2.  Locate the Missouri River. The river starts in the Rocky Mountains in southwestern Montana and ends just north of St. Louis, Missouri. It runs about 2,341 miles and is the longest river in the U.S.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br> Westward with Fremont Ch.3-4 p.12-21 “Baltimore, with its” - ”turned everything silver.”</p><p>➜ MAP WORK<br>⍞ Materials: geography notebook<br>In the Solomon Carvalho section on the map of the U.S., use a color pen or pencil to draw the Missouri River on the blank map. You will be drawing several rivers during the study of this expedition. For reference, you may use the link to the Rivers Map to help you draw your own rivers on the blank map in your notebook. As you continue reading, you will notice how close the expedition stays to different river systems.<br>∞ Map Link: Rivers Map</p><p>• DEFINITIONS<br>provisions: supplies needed for a journey</p><p>terrain: physical features of the land</p><p>command: authority to lead</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=2","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recKHEbbBy1kwFI6P","2","2","30m Geography: Grade 8 (U.S.) - Lesson 4","<p>Northeastern U.S.<br>⍞ Materials: Our States Have Crazy Shapes, United States Atlas, blank map, geography notebook</p><p>PREP: Make sure you have a blank map of the U.S.<br>∞ Map Link: Blank Map of U.S.</p><p>➜ MAP WORK<br>⍞ Map Resource: United States Atlas p.27, blank map of the U.S.<br>1. Using a fresh blank map, fill out the states, capitals, and other labels you remember from last week. <br>2. Use the map in your notebook to check your work. Add anything you missed.<br>3. On p.27, locate the following states: New York, Connecticut, Rhode Island, and Massachusetts. Add these to the map in your notebook. <br>4. Add the states and capitals for New York, Connecticut, Rhode Island, and Massachusetts on the state capitals page.<br>5. Spend some time studying the states, their capitals, and the region. Next week, you will fill these in from memory.</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: United States Atlas p.10-11<br>1. Looking at the northeastern region of the United States, what is the predominant climate zone? (Cold Wet in the far north and the lower states in the region are Temperate Wet)<br>2. Based on the Warming Up map on p.11, is the region experiencing a warming trend? (Yes, the Northeast is well above its usual temperatures for 2021.)</p><p>➜ READ &amp; NOTEBOOK<br>New Jersey and Georgia <br>Our States Have Crazy Shapes Ch.3-4 p.41-48<br>⍞ Map Resource: United States Atlas p.43, 65<br>1. Draw an outline of New Jersey and Georgia, observe the boundaries, and try to answer the following questions: What geographical features make up the boundaries of the state? Is there anything unique about the borders? <br>2. Read the pages in the book for each state. You may want to read about each state at a time and work on the map for that state. <br>3. Add any comments to your maps that you learned about in the reading. Aim to include at least 3 interesting things about the state and its boundaries. See example below. <br>∞ Image Link: Example of State Map</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=2","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recQjVMIwcj04XmoZ","3","1","30m Geography: Grade 8 (U.S.) - Lesson 5","<p>Solomon Carvalho: Westward from St. Louis <br>⍞ Materials: Westward with Fremont, geography notebook, United States Atlas</p><p>➜ RECAP    <br>What did you read last time?</p><p>➜ LOCATE<br>⍞ Map Resource: United States Atlas p.89, 101<br>1. Locate Kansas City (Westport), MO, p.101. Westport was a trading post town during the time of the expedition. It was later annexed to be part of modern-day Kansas City, MO, in 1897.<br>2. Locate the Illinois River p.89. The river is part of the Illinois Waterway, connecting the Great Lakes to the Mississippi River, serving as a major commercial navigation route. It is about 273 miles long.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Westward with Fremont Ch.4-5 p.22-35 “Father sniffed at” - ”he said.”</p><p>➜ MAP WORK<br>⍞ Materials: geography notebook<br>On your map in the Solomon Carvalho section, use a color pen or pencil to draw the Illinois River. Now find Westport, MI, draw a dot, and label “Start of Expedition.”</p><p>• IMPORTANT DATES<br>Westward migration peak 1840s–1850s</p><p>• DEFINITIONS<br>territory: an organized division of a country that is not yet admitted to the full rights of a state</p><p>river basin: land drained by a river</p><p>migration: movement from one place to another</p>","","","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recshE4SuIHOwsyya","3","2","30m Geography: Grade 8 (U.S.) - Lesson 6","<p>Northeastern U.S. <br>⍞ Materials: Our States Have Crazy Shapes, United States Atlas, blank map, geography notebook</p><p>PREP: Make sure you have a blank map of the U.S.<br>∞ Map Link: Blank Map of U.S.</p><p>➜ MAP WORK<br>⍞ Map Resource: United States Atlas p.27<br>1. Using a fresh blank map, fill in the states, capitals, and other labels you remember from last week. <br>2. Use the map in your notebook to check your work. Add anything you missed.<br>3. On p.27, locate the following states: Pennsylvania, New Jersey, Delaware, and Maryland. Add these to your map in your notebook. <br>4. Add the states and capitals for Pennsylvania, New Jersey, Delaware, and Maryland on the state capitals page.<br>5. Spend some time studying the states, their capitals, and the region. Next week, you will fill these in from memory.</p><p>➜ READ &amp; NOTEBOOK<br>Connecticut and Massachusetts<br>Our States Have Crazy Shapes Ch.5-6 p.49-56<br>⍞ Map Resource: United States Atlas p.31, 39<br>1. Draw an outline of Connecticut and Massachusetts on separate pages. Observe the boundaries, and try to answer the following questions: What geographical features make up the boundaries of the state? Is there anything unique about the borders? <br>2. Read the pages in the book for each state. You may want to read about each state at a time and work on the map for that state. <br>3. Add any comments to your maps that you learned about in the reading. Aim to include at least 3 interesting things about the state and its boundaries.</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=3","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recaPwrazA9NSYsLU","4","1","30m Geography: Grade 8 (U.S.) - Lesson 7","<p>Solomon Carvalho: Westward from St. Louis<br>⍞ Materials: Westward with Fremont, geography notebook, United States Atlas</p><p>➜ RECAP    <br>What did you read last time?</p><p>➜ LOCATE   <br>⍞ Map Resource: United States Atlas p.95<br>1. Locate the Republican River on p.95. It is in the central Great Plains of North America, starting in eastern Colorado and flowing east through Nebraska and Kansas. It runs about 453 miles.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Westward with Fremont Ch6. p.36-45 “The Delaware Indians” - ”remember at all.”</p><p>➜ MAP WORK<br>⍞ Materials: geography notebook<br>On a new page in your notebook, draw a bison. You may use the link to learn how to draw it. If you want to learn more about them, watch the video. On your map, draw a very small bison in the areas just south of the Republican River.<br>∞ Video Link: Draw a Bison<br>∞ Video Link: Bison of North America</p><p>• DEFINITIONS<br>prairie: wide grassland</p><p>climate: long-term weather pattern</p><p>bison: large Plains animal</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=4","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recMbhfFusxuRKaFz","4","2","30m Geography: Grade 8 (U.S.) - Lesson 8","<p>Northeastern U.S. Regional Features<br>⍞ Materials: Our States Have Crazy Shapes, United States Atlas, blank map, geography notebook</p><p>PREP: You will need two different maps for today—the U.S. and the Northeastern Region<br>∞ Map Link: Blank map of the Northeastern Region<br>∞ Map Link: Blank Map of the U.S.</p><p>➜ MAP WORK<br>⍞ Map Resource: United States Atlas p.26-27<br>1. Using a fresh blank U.S. map, fill out the states, capitals, and the geographical features you remember.<br>2. Use the map in your notebook to check your work. Add anything you missed. <br>3. On your printed blank map of the northeastern region, add geographical physical features.<br>4. On the topographical/physical map (p.26), is there anything you notice about the geographical physical features of the northeastern region? What geographical features stand out? <br>5. Locate Lake Erie. What geographical features are near Lake Erie? Find the Erie Canal, Niagara Falls, and Lake Ontario. Label the new map. <br>6. Locate Massachusetts Bay. Find the following near the bay: Gulf of Maine, Cape Ann, Cape Cod, and Martha's Vineyard. Label the new map. <br>7. Locate the Hudson River and Appalachian Mountains. Label the new map.<br>8. Tape this map into your notebook and label it Northeast Region. You will add 4 other regional maps to your notebook throughout the year, so leave the next 4 pages empty for upcoming maps.<br>9. Spend some time studying the features you have added.</p><p>➜ MAP QUESTIONS<br>⍞ Map Resource: United States Atlas p.26-27<br>1. Find the Appalachian Mountains. What other mountain ranges are close to the Appalachians in the northeastern region? (White Mountains, Allegheny Mountains, Catskill Mountains, Adirondack Mountains) The Appalachians stretch from the Island of Newfoundland in Canada to central Alabama in the United States. The range is about 2,050 mi (3,300 km).<br>2. What is the highest mountain in the northeastern region? (Mt. Washington at 6,288.2 ft/1,917 m in New Hampshire)</p><p>➜ READ &amp; NOTEBOOK<br>Maryland and South Carolina<br>Our States Have Crazy Shapes Ch.7-8 p.57-63<br>⍞ Map Resource: United States Atlas p.37, 75<br>1. Draw an outline of Maryland and South Carolina on separate pages.  Observe the boundaries, and try to answer the following questions: What geographical features make up the boundaries of the state? Is there anything unique about the borders? <br>2. Read the pages in the book for each state. You may want to read about each state at a time and work on the map for that state. <br>3. Add any comments to your maps that you learned about in the reading. Aim to include at least 3 interesting things about the state and its boundaries.</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=4","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recKZSTyMvMFzzwup","5","1","30m Geography: Grade 8 (U.S.) - Lesson 9","<p>Solomon Carvalho: Westward from St. Louis<br>⍞ Materials: Westward with Fremont, geography notebook, United States Atlas</p><p>➜ RECAP    <br>What did you read last time?</p><p>➜ LOCATE   <br>⍞ Materials: United States Atlas p.95, 128<br>1. Locate the Arkansas River on p.95. The river runs about 1,469 miles, starting in Colorado, running through Kansas, Oklahoma, Arkansas, and eventually joining the Mississippi River. <br>2. Locate the Rocky Mountains on p.128. The range expands about 3,000 miles, with some of the highest peaks stretching over 14,000 feet. Seventy-eight of those peaks are found in Colorado.</p><p>➜ READ, NARRATE, &amp; DISCUSS  <br>Westward with Fremont Ch.7 p.46-57 “The Cheyenne and” - ”the Ute Indians.”</p><p>➜ MAP WORK<br>Use this time to catch up and/or add to notebook entries for Day 1 or Day 2.</p>","","","Lesson","0","FALSE"
"alveary-recJnS9WLFjeyObeC","alveary-recX0qQeZnZtuNXiK","5","2","30m Geography: Grade 8 (U.S.) - Lesson 10","<p>Local<br>⍞ Materials: Our States Have Crazy Shapes, United States Atlas, blank maps, geography notebook, colored pencils, pastels, or watercolors</p><p>PREP: You will need a blank map for today.<br>∞ Map Link: Blank Map of the Northeastern Region</p><p>➜ MAP WORK (Northeastern Regional)<br>⍞ Map Resource: United States Atlas p.26-27<br>1. Using a blank map, fill in the geographical features and states you remember.<br>2. Check your work and anything you missed.</p><p>➜ MAP QUESTIONS (Local)<br>⍞ Map Resource: State map (Google Maps)<br>1. Locate your city or closest municipality. What part of the state is it located in?<br>2. Locate your county. What are the bordering counties?<br>3. How far away is your city from the northern border of your state? Southern border? Eastern border? Western border?<br>4. Locate the capital of your state. Which direction would you travel to get there from your home? <br>5. Can you find a line of latitude and longitude that runs through your state?<br>6. Find the bodies of water and watercourses.</p><p>➜ MAP WORK<br>You are going to draw an aerial view of your house using any medium you would like—colored pencils, pastels, or watercolors. (If you did this last year, try picking a different location.)<br>1. Go to Google Earth and type in the address of your house or school. <br>2. You may want to begin with a pencil drawing. Try to see the picture as a series of geometric and curvilinear spaces. <br>3. Add in the colors with your medium of choice. <br>∞ Link: Google Earth<br>∞ Link: Example of a Pastel Drawing of a Ranch</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>New Hampshire and Virginia<br>Our States Have Crazy Shapes Ch.9-10 p.65-72<br>⍞ Map Resource: United States Atlas p.41, 79<br>1. Draw an outline of New Hampshire and Virginia on separate pages.  Observe the boundaries, and try to answer the following questions: What geographical features make up the boundaries of the state? Is there anything unique about the borders? <br>2. Read the pages in the book for each state. You may want to read about each state at a time and work on the map for that state. <br>3. Add any comments to your maps that you learned about in the reading. Aim to include at least 3 interesting things about the state and its boundaries.</p>","","https://planning.alveary.org/links.html?id=recJnS9WLFjeyObeC&term=1&week=5","Lesson","0","FALSE"
