"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recJqZs3VhMsLmzUf","alveary-recKSWrNxMn4mPvsh","1","1","20m Sloyd: Level 3 - Lesson 1","<p>Third Year Model 1 Pocket-Comb Case<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, glue</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Pocket-Comb Case</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Third Year Models &quot;I. Pocket-Comb Case&quot; p.41<br>This pocket-comb case is great for holding sticks of gum in your bag.</p>","","https://planning.alveary.org/links.html?id=recJqZs3VhMsLmzUf&term=1&week=1","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recIXXuapb82cRRWJ","2","1","20m Sloyd: Level 3 - Lesson 2","<p>Third Year Model 1 Pocket-Comb Case<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, glue</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Third Year Models &quot;I. Pocket-Comb Case&quot; p.41<br>This pocket-comb case is great for holding sticks of gum in your bag.</p>","","","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recVOfcOpkDXycXql","3","1","20m Sloyd: Level 3 - Lesson 3","<p>Third Year Model 1 Pocket-Comb Case<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, glue</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Third Year Models &quot;I. Pocket-Comb Case&quot; p.41<br>This pocket-comb case is great for holding sticks of gum in your bag.</p>","","","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recPD5uLlW3a9SGq7","4","1","20m Sloyd: Level 3 - Lesson 4","<p>Third Year Model 2 Pyramidal Catch-All <br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, compass, glue</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Pyramidal Catch-All</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Third Year Models &quot;II. Pyramidal Catch-All&quot; p.42 <br>Stuff this catch-all with candy or other small trinkets, and give it as a gift. It is also great to use as a party favor. You can change the color of cardstock to fit your event theme.</p>","","https://planning.alveary.org/links.html?id=recJqZs3VhMsLmzUf&term=1&week=4","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recJOuiYT6EkkOemU","5","1","20m Sloyd: Level 3 - Lesson 5","<p>Third Year Model 2 Pyramidal Catch-All<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, compass, glue</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Third Year Models &quot;II. Pyramidal Catch-All&quot; p.42<br>Stuff this catch-all with candy or other small trinkets, and give it as a gift. It is also great to use as a party favor. You can change the color of cardstock to fit your event theme.</p>","","","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recKFQliLkPC0quzS","6","1","20m Sloyd: Level 3 - Lesson 6","<p>Third Year Model 2 Pyramidal Catch-All<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, compass, glue</p><p>➜ DISCUSS<br>What could you do with this project to make a gift?</p><p>➜ PRACTICE<br>Repeat the project; make gifts.<br>Third Year Models &quot;II. Pyramidal Catch-All&quot; p.42<br>Stuff this catch-all with candy or other small trinkets, and give it as a gift. It is also great to use as a party favor. You can change the color of cardstock to fit your event theme.</p>","","","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-rechcmz8S55g1LQII","7","1","20m Sloyd: Level 3 - Lesson 7","<p>Third Year Model 3 Bookmark (Rosette)<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch, X-acto knife, cutting mat</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Bookmark (Rosette)</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Supplementary Models &quot;XIV: Bookmark&quot; p.77<br>Add scripture or encouraging words to your bookmark, and give it as a gift.</p>","","https://planning.alveary.org/links.html?id=recJqZs3VhMsLmzUf&term=1&week=7","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recnKuYAkkOS94iO7","8","1","20m Sloyd: Level 3 - Lesson 8","<p>Third Year Model 3 Bookmark (Rosette)<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch, X-acto knife, cutting mat</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Bookmark (Rosette)</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Supplementary Models &quot;XIV: Bookmark&quot; p.77<br>Add scripture or encouraging words to your bookmark, and give it as a gift.</p>","","https://planning.alveary.org/links.html?id=recJqZs3VhMsLmzUf&term=1&week=8","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recdX0eBNMJ5709d6","9","1","20m Sloyd: Level 3 - Lesson 9","<p>Third Year Model 3  Bookmark (Rosette)<br>⍞ Materials: Paper Sloyd for Primary Grades, cardstock, ruler, pencil, scissors, tape, hole punch, X-acto knife, cutting mat</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Bookmark (Rosette)</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Supplementary Models &quot;XIV: Bookmark&quot; p.77<br>Add scripture or encouraging words to your bookmark, and give it as a gift.</p>","","https://planning.alveary.org/links.html?id=recJqZs3VhMsLmzUf&term=1&week=9","Lesson","0","FALSE"
"alveary-recJqZs3VhMsLmzUf","alveary-recNMhBria8ztQtEv","10","1","20m Sloyd: Level 3 - Lesson 10","<p>Third Year Model 4 Postal Card Holder<br>⍞ Materials: Paper Sloyd for Primary Grades, 9x12 cardstock, ruler, pencil, scissors, tape, compass, glue</p><p>➜ VIEW<br>Photo of the model and tutorial.<br>∞ Image &amp; Video Link: Postal Card Holder</p><p>➜ PRACTICE<br>Work on the model together. Read and demonstrate instructions one step at a time.<br>Third Year Models &quot;IV. Postal Card Holder&quot; p.43 <br>The postal card holder can be used for organizing things on your bulletin board or message center. You can also use it to add an air plant or flower to your board.</p>","","https://planning.alveary.org/links.html?id=recJqZs3VhMsLmzUf&term=1&week=10","Lesson","0","FALSE"
