"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recKDeGxPlNFhF9Vr","alveary-recifEeP27BnXSCfa","1","1","60m Introduction to Engineering Labs - Lesson 1","<p>⍞ Materials: internet access</p><p>➜ PROJECT<br>If there is a design problem in your home or community that you would like to tackle, use this time to research, design, and execute your solution.</p><p>If you'd like to sample different areas of engineering, begin with the structural engineering project linked, The Leaning Tower of Pasta. Or you might find your own idea by exploring the Science Buddies website. The filters on the left side of the page allow you to narrow your results. Once you have chosen a project, let your teacher know if you need any materials. Your project might take the whole year or you might finish it in just a few weeks. Whenever you finish your project, select another one! Record your work and your observations in your lab notebook.<br>∞ Website Link: The Leaning Tower of Pasta<br>∞ Website Link: Science Buddies</p>","","https://planning.alveary.org/links.html?id=recKDeGxPlNFhF9Vr&term=1&week=1","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-receVtLqg4z5qWrFb","2","1","60m Introduction to Engineering Labs - Lesson 2","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-rec1Z2vIG3HB8BbwK","3","1","60m Introduction to Engineering Labs - Lesson 3","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recZ3p11YmPXUKsXY","4","1","60m Introduction to Engineering Labs - Lesson 4","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recxxlmpSIIkEwa0E","5","1","60m Introduction to Engineering Labs - Lesson 5","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recDGMacXeUSbSSeE","6","1","60m Introduction to Engineering Labs - Lesson 6","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>If there is a design problem in your home or community that you would like to tackle, use this time to research, design, and execute your solution.</p><p>If you'd like to sample different areas of engineering, try the materials engineering project linked, Pounding Papyrus. Or you might find your own idea by exploring the Science Buddies website. The filters on the left side of the page allow you to narrow your results. Once you have chosen a project, let your teacher know if you need any materials. Your project might take the whole year or you might finish it in just a few weeks. Whenever you finish your project, select another one! Record your work and your observations in your lab notebook.<br>∞ Website Link: Pounding Papyrus<br>∞ Website Link: Science Buddies</p>","","https://planning.alveary.org/links.html?id=recKDeGxPlNFhF9Vr&term=1&week=6","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-rec1KgXtJuvwEhUxu","7","1","60m Introduction to Engineering Labs - Lesson 7","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recerNXS0BL59leJC","8","1","60m Introduction to Engineering Labs - Lesson 8","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recDLLcY3A4604uaM","9","1","60m Introduction to Engineering Labs - Lesson 9","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-rec2gawmiMgDjpuAY","10","1","60m Introduction to Engineering Labs - Lesson 10","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recMcaPEKAHaGCDnl","11","1","60m Introduction to Engineering Labs - Lesson 11","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recPiDKpft9MgLywu","12","1","60m Introduction to Engineering Labs - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer exam questions from:<br>Project Work</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-reci3WgpeaFeEtyHz","13","1","60m Introduction to Engineering Labs - Lesson 13","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>If there is a design problem in your home or community that you would like to tackle, use this time to research, design, and execute your solution.</p><p>If you'd like to sample different areas of engineering, try the mechanical engineering project linked, Choosing the Best Gear Ratio for Maximum Bike Speed. Or you might find your own idea by exploring the Science Buddies website. The filters on the left side of the page allow you to narrow your results. Once you have chosen a project, let your teacher know if you need any materials. Your project might take the whole year or you might finish it in just a few weeks. Whenever you finish your project, select another one! Record your work and your observations in your lab notebook.<br>∞ Website Link: Choosing the Best Gear Ratio for Maximum Bike Speed<br>∞ Website Link: Science Buddies</p>","","https://planning.alveary.org/links.html?id=recKDeGxPlNFhF9Vr&term=2&week=13","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-rec9ZI7uQqxwOHqcF","14","1","60m Introduction to Engineering Labs - Lesson 14","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recMsLfHtZM8Y3G8n","15","1","60m Introduction to Engineering Labs - Lesson 15","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recYvSxgnivPTlywv","16","1","60m Introduction to Engineering Labs - Lesson 16","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recevs5BHnn47VhIF","17","1","60m Introduction to Engineering Labs - Lesson 17","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recVcPc0WOA0T1Wvd","18","1","60m Introduction to Engineering Labs - Lesson 18","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recxg2fFkwyPQRTB9","19","1","60m Introduction to Engineering Labs - Lesson 19","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>If there is a design problem in your home or community that you would like to tackle, use this time to research, design, and execute your solution.</p><p>If you'd like to sample different areas of engineering, try the electronics engineering project linked, Make Your Own Low-Power AM Radio Transmitter. Or you might find your own idea by exploring the Science Buddies website. The filters on the left side of the page allow you to narrow your results. Once you have chosen a project, let your teacher know if you need any materials. Your project might take the whole year or you might finish it in just a few weeks. Whenever you finish your project, select another one! Record your work and your observations in your lab notebook.<br>∞ Website Link: Make Your Own Low-Power AM Radio Transmitter<br>∞ Website Link: Science Buddies</p>","","https://planning.alveary.org/links.html?id=recKDeGxPlNFhF9Vr&term=2&week=19","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recLlU1VilU11I8Ph","20","1","60m Introduction to Engineering Labs - Lesson 20","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recRuyrDg2EkkjhEF","21","1","60m Introduction to Engineering Labs - Lesson 21","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recjtPEBaSlRf4I4x","22","1","60m Introduction to Engineering Labs - Lesson 22","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recf6ThTplnBrBhWy","23","1","60m Introduction to Engineering Labs - Lesson 23","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recCmJK11cf6YepHp","24","1","60m Introduction to Engineering Labs - Lesson 24","<p>Exam Week</p><p>➜ EXAMS<br>Answer exam questions from:<br>Project Work</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recTuxBJemZjLtCVM","25","1","60m Introduction to Engineering Labs - Lesson 25","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>If there is a design problem in your home or community that you would like to tackle, use this time to research, design, and execute your solution.</p><p>Or you might choose between the linked materials (Living Loom), electronic engineering projects(Obstacle-Detecting Cane with Arduino), or another project from the Science Buddies website. Once you have chosen a project, let your teacher know if you need any materials.<br>∞ Website Link: Living Loom<br>∞ Website Link: Obstacle-Detecting Cane with Arduino<br>∞ Website Link: Science Buddies</p>","","https://planning.alveary.org/links.html?id=recKDeGxPlNFhF9Vr&term=3&week=25","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-reckC2oPdsUIF9rdi","26","1","60m Introduction to Engineering Labs - Lesson 26","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recbFWE31cnIOdPy5","27","1","60m Introduction to Engineering Labs - Lesson 27","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recbaSwqsTeShmXue","28","1","60m Introduction to Engineering Labs - Lesson 28","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
"alveary-recKDeGxPlNFhF9Vr","alveary-recwzLk4ck2jubRjP","29","1","60m Introduction to Engineering Labs - Lesson 29","<p>⍞ Materials: by student choice &amp; notebook</p><p>➜ PROJECT<br>Continue working on your project.</p>","","","Lab","0","FALSE"
