"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recLxHIpB9s53QHpZ","alveary-recavU7xDV5YXI32c","1","1","30m Plutarch: Grades 6-8 - Lesson 1","<p>Introduction and Lesson 1 Julius Caesar p. 1-12<br>**⍞ **Materials: The Plutarch Project Volume 3, Historical Atlas</p><p>PREP**:** We highly recommend reading a retelling so you can be familiar with the story. This is for your understanding and should not be read to the students. Read introduction, review vocabulary, and preread the lesson.</p><p>∞ Link: Retelling of Caesar (from Our Young Folks' Plutarch)</p><p>➜INTRO <br>Have you ever heard of Julius Caesar? If so, what do you know about him?</p><p>➜VIEW<br>∞ Image Link: Julius Caesar</p><p>⍞ Map Resource: Historical Atlas, p.14-15</p><p>➜LOCATE<br>Take 1-2 minutes to look over the map of The Roman Republic and the surrounding &quot;world&quot; in Caesar's time. Find **Rome **in Italy. Find the **Aegean Sea** between the province of **Asia** and **Achaea**. This is the coastline where the pirates operated. Find **Bithynia** on the southern shore of the **Black Sea** where Caesar went after his release. These are the places where a teenager on the wrong side of Roman politics spent his first years away from home.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson One, Parts One - Three, p.9-12. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>In the introduction of Lesson One, we learn that &quot;young Julius Caesar was on the wrong side. Most people in that position would have stayed hidden or at least tried to live quietly.&quot; (p. 7) In a situation where staying silent means comfort and safety, what factors or beliefs might make a person decide that standing up is worth the risk?</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>If you found yourself on the &quot;wrong side&quot; of a big decision at school or with your friends, and staying quiet was the only way to stay safe and comfortable, how would you decide which ideas are worth being &quot;exiled&quot; for and which ones are just you being stubborn?</p><p>• CHARACTERS<br>-Julius Caesar (JOOL-yus SEE-zar): born in 100 B.C. He was a Roman statesmen and general during the last years of the Roman Republic.  He held many high civic, military, and religious positions and was a noted orator and writer.</p><p>-Sulla (SUH-luh): was made the Perpetual Dictator, but resigned after one year and was elected as a consul instead.</p><p>-Cinna (SIN-uh)  There are several Cinnas in the story.  This Cinna, Lucius Cornelius Cinna the Elder, is Caesar's first father-in-law and ally of Marius, Caesar's uncle.</p><p>-Marius (MARR-ee-us): He was involved in a Civil War against Sulla and was also Caesar's uncle by marriage.  Marius was an ally of Cinna, the father-in-law of Caesar.  Julius Caesar was on the side of Cinna and Marius in the Civil War.</p><p>-King Nicomedes (nih-kuh-MEE-deez): King of Bithynia 94 B.C.-74 B.C.</p><p>-Marcus Juncus (MAHR-kuss JUNG-kuss): governor of Aisa in 75 B.C.</p>","<p>★ TEACHER TIP<br>∞ Link: Character Cards<br>To keep track of all of the characters in the story, it may be helpful for your student to keep a list or chart of some kind in their citizenship notebook.  They could also sketch the characters and include facts about them.  Or, you could use the character cards linked.</p><p>★ TEACHER NOTE<br>∞ Link: Watch this overview video to help with the Character Simulator (Link coming soon)</p>","https://planning.alveary.org/links.html?id=recLxHIpB9s53QHpZ&term=1&week=1","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-reclJd30v9gLA2eG5","2","1","30m Plutarch: Grades 6-8 - Lesson 2","<p>⬚  30m Plutarch: Grade 9 - Lesson 2 Julius Caesar p. 12-17<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What did we learn so far about Caesar from the first reading?</p><p>➜LOCATE<br>Find **Hither Spain** and **Farther Spain** on the western edge of the map. Both are already &quot;Roman Pink.&quot; Find the **Alps**. This is the route Caesar traveled when he passed through a tiny village and said, &quot;For my part, I had rather be the chiefest man here, than the second person in Rome.&quot; (p. 15, The Plutarch Project)</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful to write definitions into the text, so you do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Two, Parts One - Three, p.14-17. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are a young officer who rode with Caesar when he passed through a tiny village in the Alps and said he would rather be the first man there than the second in Rome. What do you think about that comment?</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>Explain how you might distinguish between a person who wants to do great things and a person who simply wants to be the greatest.</p><p>While all of Gaul is pink on this map, remember that when Caesar began his command, only the southern tip belonged to Rome. His campaigns are what eventually brought the rest of that territory into the Empire.</p><p>• DEFINITIONS<br>Pontifex Maximus: There were numerous levels and types of priesthood in Rome and throughout the rest of Italy; and these positions carried political as well as spiritual authority.</p>","<p>★ TEACHER NOTE<br>The map shows the world in 31 B.C., shortly after Caesar's time. You will notice Italy is shaded pink; while it ws the Roman Homeland and not a province, it is colored here to show it was under central Roman control.</p>","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-recJBMFGOKmSP5oNr","3","1","30m Plutarch: Grades 6-8 - Lesson 3","<p>⬚  30m Plutarch: Grade 9 - Lesson 3 Julius Caesar p. 17-24<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Find **Transalpine Gaul **and the **Rhine River** marking the boundary between **Gaul **and **Germania**. Notice that Germania is entirely outside the Roman pink. The is the boundary Caesar was about to push.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Three, Parts One - Three, p.19-23. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are one of Caesar's soldiers who has watched him for days while ill and exhausted. Tonight he is sick again. What do you think about his choices while chronically ill? (p. 22)</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>Describe the different ways Caesar and his companions responded to the dish served by their host in Milan. (p. 23)</p><p>• CULTURAL CONNECTION<br>Sweet Ointment: also translated &quot;oil of perfume&quot; or &quot;myrrh.&quot; It appears that Valerius Leo hadn't just pulled out the wrong bottle of salad dressing, rather that he was trying to show off his wealth. The reference to the host's want of breeding seems to confirm that.</p>","<p>★ TEACHER NOTE<br>Germania was entirely outside Roman control.<br>- The Rhine was the line Caesar pushed against, even crossing it twice (in 55 and 53 BC) to build famous bridges and conduct show of force expeditions.<br>- Despite these incursions, Rome never successfully turned the main body of Germania into a permanent province, even in the centuries following Caesar</p>","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-recCFyOMxlLAam8y3","4","1","30m Plutarch: Grades 6-8 - Lesson 4","<p>⬚  30m Plutarch: Grade 9 - Lesson 4 Julius Caesar p. 24-30<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas, p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Find the Rhine separating Gaul from Germania. Find Cisalpine Gaul south of the Alps. Trace north from Cisalpine Gaul all the way to the Rhine. This is the distance those men were willing to march.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Four, Parts One - Four, p.26-30. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>Caesar &quot;never failed to dismiss all with present pledges of his kindness in hand, and further hopes for the future.&quot; (p. 29) As one of his soldiers, you've just watched him march over a bridge of fallen soldiers. Now, he stands before you, gives you gold, and speaks of the future with hope. How do you make sense of the leader you saw at the river and the generous, hopeful man standing in front of you now?</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>Caesar &quot;commanded them that were afraid, that they should depart home, and not put themselves in danger against their wills.&quot; (p. 27-28) How would you respond if you were one of the &quot;young gentlemen of noble houses of Rome, who thought to have gone to the wars with him as only for their pleasure and gain&quot; and Caesar was sending you home? (p. 27)</p>","","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-rectNhXgYKlksi192","5","1","30m Plutarch: Grades 6-8 - Lesson 5","<p>⬚  30m Plutarch: Grade 9 - Lesson 5 Julius Caesar p. 30-36<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas, p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Find **Arverni** where Vercingetorix and the Arverni lived. Find **Alesia**. Notice the rivers and terrain and consider why Caesar chose to build where he did.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Five, Parts One - Two, p.32-36. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are Vercingentorix, riding out of the gates of Alesia in full armor to give yourself up. What do you think about the choice you are making?</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>Look closely at the rivers surrounding Alesia. How might these help a general trying to keep an army from escaping?</p>","","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-recooWq81w9lqqnXr","6","1","30m Plutarch: Grades 6-8 - Lesson 6","<p>⬚  30m Plutarch: Grade 9 - Lesson 6 Julius Caesar p. 36-42<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas, p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Find the Rubicon. Locate Brundisium on the Adratic coast. Find Dyrrhachium across the Ionian Sea and notice the distance Caesar was asking his army to cross. Consider the risk of moving a massive force across that stretch of the Ionian Sea while being hunted by an enemy fleet.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Six, Parts One - Two, p. 38-42. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are Asinius Pollio, standing beside Caesar at the Rubicon while he talks through what crossing will mean. What do you think as you listen to him? (p. 41-42)</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>On the banks of the Rubicon, Caesar's abstract plain shifts to the reality of the action. Describe what he sees and feels in that moment of doubt as he considers the &quot;desperateness of his attempt.&quot; (p. 41)</p>","","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-rec9NnYBXNJxbAwif","7","1","30m Plutarch: Grades 6-8 - Lesson 7","<p>⬚  30m Plutarch: Grade 9 - Lesson 7 Julius Caesar p. 42-50<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas, p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Trace the route Caesar used to move through Italy in sixty days without a major battle. Find Corfinium where Domitius surrendered. Locate Brundisium where Pompey escaped by sea.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Seven, Parts One - Four, p.45-49. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are Labienus, Caesar's most trusted general for ten years, the night you walked out of his camp for the last time. What do you think about the man you are leaving? (p. 46)</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>Caesar said, &quot;Time of war and law are two things.&quot; (p. 47) What does he mean?</p>","","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-rec2iosrj0bdkvoZH","8","1","30m Plutarch: Grades 6-8 - Lesson 8","<p>⬚  30m Plutarch: Grade 9 - Lesson 8 Julius Caesar p. 50-56<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas, p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Find the city of **Rome** in **Italy** and cross the **Adriatic Sea** to the province of **Macedonia**, the rugged region where the Battle of Pharsalus was fought. Find **Pharsalus**. Trace the coastline south to **Alexandria** and the **Kingdom of the Ptolemies**, where the defeated Pompey eventually fled for refuge. These are the locations where the future of the Roman world was decided as Caesar pursued his rival across the Mediterranean.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Eight, Parts One - Three, p.51-56. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are one of Caesar's soldiers who ran to meet him when he returned to shore, and you are angry. Your general just risked his life sneaking across a war zone in a twelve-oar boat dressed as a slave, without telling anyone. What specifically bothers you about what he did, and what does your reaction say about what you believe a leader owes the people who follow him?</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>Caesar's plan to aim at the faces of the young cavalrymen worked because he thought carefully about who they actually were, not just what they were doing on the battlefield. Describe a conflict or disagreement you have had where understanding the other person's specific fears or weaknesses would have changed how you approached the situation.</p>","<p>★ TEACHER NOTE<br>The writing prompt is slightly uncomfortable by design, because understanding someone's fears in order to respond more effectively sits right on the edge between wisdom and manipulation</p>","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-recNtAwmoGxvZ6XsC","9","1","30m Plutarch: Grades 6-8 - Lesson 9","<p>⬚  30m Plutarch: Grade 9 - Lesson 9 Julius Caesar p. 57-62<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas, p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Find **Alexandria** on its Mediterranean coast. This is where Caesar spent months managing a dangerous court, a burning library, a treacherous eunuch, and a queen smuggled in through a castle gate in a bundle. He nearly drowned here. Move northeast into **Syria**, which Caesar passed through on his way to deal with the next problem before the Egyptian one was fully settled. Find **Pontus** on the southern shore of the **Black Sea**. This is where Pharnaces had overrun Roman territory while Caesar was occupied in Alexandria. Caesar arrived, fought, and sent a three-word letter back to Rome. The whole thing was over before the letter arrived.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Nine, Parts One - Three, p.58-61. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are one of Pompey's soldiers who has just been taken prisoner and is now being folded into Caesar's legions. Yesterday you were fighting against this man. Today, he is your general. What do you do with that, and what would you need to see from him before you trusted him? (p. 58-59)</p><p>➜ WRITE (Optional Citizenship Notebook Exercise): Pick 1<br>Caesar &quot;daily saved the lives of some of his countrymen that bore arms against him&quot; and considered this the greatest pleasure of his victory. Think of a conflict, whether between people, groups, or ideas, where the most meaningful thing a winner could do afterward was show restraint or generosity. What makes that kind of choice hard, and what makes it worth it? (p. 59)</p><p>&quot;Veni, Vidi, Vici&quot; worked because it was short, precise, and matched the reality of what had actually happened. Think of a time when you had to report something, explain yourself, or sum up a complicated situation for someone else. What is lost when we say too much, and what is lost when we say too little? (p. 61)</p>","","","Lesson","0","FALSE"
"alveary-recLxHIpB9s53QHpZ","alveary-recQ00rKYQeHJGWyl","10","1","30m Plutarch: Grades 6-8 - Lesson 10","<p>⬚  30m Plutarch: Grade 9 - Lesson 10 Julius Caesar p. 62-69<br>⍞ Materials: The Plutarch Project Volume 3, Historical Atlas, p. 14-15</p><p>PREP: Read introduction, review vocabulary, and preread the lesson.</p><p>➜ RECAP<br>What happened in the last reading?</p><p>➜LOCATE<br>Find **Sicily**, where Caesar camped on the seashore in winter to cut off any thought of delay, then trace his crossing south to the **African coast** and the battle at **Thapsus**, where three camps fell in a single day. Follow him back to **Rome** for the triumphs and the honors, then west to **Spain** and the battle at **Munda**, where Pompey's sons nearly killed him, and back to **Rome** again. He covered all of it inside two years.</p><p>➜ VIEW &amp; PRACTICE<br>Review the vocabulary section before each lesson to familiarize yourself with unfamiliar terms. It may be helpful for students to write definitions into the text, so they do not have to review terms mid-lesson.</p><p>➜ READ, NARRATE<br>Lesson Ten, Parts One - Three, p. 64-68. Once finished, ask, &quot;What do you remember?&quot; + &quot;What else?&quot; Keep narration to 2-3 minutes.</p><p>➜DISCUSS: Character Simulator<br>You are one of Caesar's friends who has just urged him to accept a personal bodyguard, and he has refused, saying it is &quot;better to die once than always to be afraid of death.&quot; You believe there are real plots against him. How would you respond to his answer? (p. 68)</p><p>➜ WRITE (Optional Citizenship Notebook Exercise)<br>Caesar put a man of the right family name at the head of his troops specifically to counter an oracle his enemies believed in. He may have been mocking it or he may have been sincere; Plutarch says it is hard to tell. Think about a time when you did something that could have been interpreted two very different ways depending on who was watching. Do your intentions fully determine the meaning of an action, or does it matter how others read it?  (p. 65)</p>","","","Lesson","0","FALSE"
