"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recMI5BjqlPqhSI34","alveary-reckAv0clwZfVKqpW","1","1","20m Folk Dancing - Lesson 1","<p>Great Big House<br>⍞ Materials: The Book of Song Dances</p><p>PREP: Teaching the song dance is much easier if you split up the skills. Teach the song first, then teach the dance slowly while counting the beat. Once those are mastered separately, you can try putting them together. Review Great Big House on p.30. Listen to the song, watch the demo, and learn the dance. Group instructions and partner variation are available.</p><p>➜ INTRO<br>Say: Today, we are going to learn a new song and dance called Great Big House. We will listen to the song one time, then play it again and sing along.</p><p>➜ LISTEN<br>∞ Audio Link: Great Big House<br>∞ Audio Link: Great Big House (piano only)</p><p>➜ VIEW<br>Watch the demo and learn dance movements. Group Instructions and Partner Variation are available.<br>∞ Video Link: Great Big House</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=1","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recZEcwYR4BXujRMy","2","1","20m Folk Dancing - Lesson 2","<p>Great Big House<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Great Big House</p><p>➜ VIEW<br>Learn the steps to the dance, one part at a time.<br>∞ Video Link: Great Big House</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=2","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recE5tnHcTY0SUowR","3","1","20m Folk Dancing - Lesson 3","<p>Great Big House<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Great Big House</p><p>➜ LISTEN &amp; PRACTICE<br>Practice the dance while listening to the song.<br>∞ Video Link: Great Big House</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=3","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recWIq8fiLLIKAUP3","4","1","20m Folk Dancing - Lesson 4","<p>Great Big House<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Great Big House</p><p>➜ DANCE<br>Practice the dance while singing the song.<br>∞ Video Link: Great Big House</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=4","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recfIjkeAaAfS3T6K","5","1","20m Folk Dancing - Lesson 5","<p>Great Big House<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Great Big House</p><p>➜ DANCE<br>Practice the dance while singing the song.<br>∞ Video Link: Great Big House</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=5","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recEDWbZpJ7KbY7WE","6","1","20m Folk Dancing - Lesson 6","<p>Brother Come and Dance<br>⍞ Materials: The Book of Song Dances</p><p>PREP: Teaching the song dance is much easier if you split up the skills. Teach the song first, then teach the dance slowly while counting the beat. Once those are mastered separately, you can try putting them together. Review Brother Come and Dance on p.51. Listen to the song, watch the demo, and learn the dance. Group instructions and partner variation are available.<br>➜ INTRO<br>Say: Today, we are going to learn a new song and dance called Brother Come and Dance. We will listen to the song one time, then play it again and sing along.</p><p>➜ LISTEN<br>∞ Audio Links: Brother Come and Dance</p><p>➜ VIEW<br>Watch the demo and learn dance movements. Group Instructions and Partner Variation are available.<br>∞ Video Link: Brother Come and Dance</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=6","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recY30V8C8cmXaXas","7","1","20m Folk Dancing - Lesson 7","<p>Brother Come and Dance<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Brother Come and Dance</p><p>➜ VIEW<br>Learn the steps to the dance, one part at a time.<br>∞ Video Link: Brother Come and Dance</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=7","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recU982OdzsvGjXZQ","8","1","20m Folk Dancing - Lesson 8","<p>Brother Come and Dance<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Brother Come and Dance</p><p>➜ LISTEN &amp; PRACTICE<br>Practice the dance while listening to the song.<br>∞ Video Link: Brother Come and Dance</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=8","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recWkqKt0gV3lHJEe","9","1","20m Folk Dancing - Lesson 9","<p>Brother Come and Dance<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Brother Come and Dance</p><p>➜ DANCE<br>Practice the dance while singing the song.<br>∞ Video Link: Brother Come and Dance</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=9","Lesson","0","FALSE"
"alveary-recMI5BjqlPqhSI34","alveary-recgK8iR58SiRcW1z","10","1","20m Folk Dancing - Lesson 10","<p>Brother Come and Dance<br>⍞ Materials: The Book of Song Dances</p><p>➜ RECAP<br>Listen to the song once and sing along. Then sing the song without the music.<br>∞ Audio Links: Brother Come and Dance</p><p>➜ DANCE<br>Practice the dance while singing the song.<br>∞ Video Link: Brother Come and Dance</p>","","https://planning.alveary.org/links.html?id=recMI5BjqlPqhSI34&term=1&week=10","Lesson","0","FALSE"
