"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recMYadcz9N8jmHYs","alveary-recqc5xLiIpQ61Uhx","1","1","20m General Science: Grade 4 - Lesson 1","<p>Zooming In<br>⍞ Materials: The Universe in You, penny/dime, ruler, hand lens, image link</p><p>➜ INTRO<br>What's the smallest Thing you've ever seen? Do you think there is anything smaller? Look at the picture on the cover. What do you think you are seeing? Did you know that there are such Things that are so small that we can't usually see them? This book is about the smallest Things we know of. You can use your ruler to track how small Things are for the first few pages.</p><p>➜ READ<br>p.1-8 &quot;The Calliope Hummingbird&quot; - &quot;of a vellus hair.&quot;</p><p>➜ ACTIVITY<br>Can you see your skin cells or bacteria? How can we know they exist? Sometimes we can sense the effect of something we can't see, like the wind; sometimes we can use a tool to make it visible. To look closer at small Things, scientists use a tool called a microscope. We do 2 things with a microscope: magnify and focus.<br>• Look at ∞ Image Link: Penny &amp; Salt or Dime &amp; Salt<br>• This image has been magnified. Compare it to your coin. What does it mean to be magnified? How much bigger is it? How many of your coins could fit across this image? <br>• Did you notice that there are some salt crystals on the magnified coin? How much has the salt been magnified? (same as the coin)<br>• Use your hand lens to look at your coin. What details do you notice that you couldn't see without the hand lens? Look at the other side: <br>Penny: Can you find the little man between the columns of the building? Notice what happens as you move the penny and lens closer together/farther apart. What does it mean to focus?<br>Dime: Notice that the plants on either side of the torch are different. One is an olive and the other an oak. Can you tell the difference? Notice what happens as you move the dime and lens closer together/farther apart. What does it mean to focus?</p><p>➜ NARRATE &amp; DISCUSS</p>","<p>★ TEACHER TIP<br>Spend as much time as is wanted looking at the artwork in this book before going on to each successive page. Share the captioned facts, as desired.</p><p>★ TEACHER NOTE<br>Note that next week is an activity day. Check your supplies!</p>","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=1","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-rec1vx4JUITzExv6S","2","1","20m General Science: Grade 4 - Lesson 2","<p>The Microscope<br>⍞ Materials: video/image links, microscope, flashlight, slide, salt crystals</p><p>➜ INTRO<br>What did we learn about in the last lesson? How do we see very small Things? What two things does a microscope do? Let's look at a very old microscope, and then we'll compare that to ours. Watch for him to show you the tube where the magnifying lenses are and the mirrors that direct the light.</p><p>➜ VIEW<br>∞ Video Link: A 1750s Compound Microscope (5:06)</p><p>➜ ACTIVITY<br>• Where is the tube and where are the lenses on your microscope? Refer to the diagram that came with your microscope. The one at the link may help for comparison. How much does the lens at your eyepiece (the ocular lens) magnify? How much do the lenses at the bottom of your tube (the objective lenses) magnify?<br>∞ Image Link: Compound Microscope Parts<br>• How did he use the mirror? Where is your light source? Place a slide with a few salt crystals on the stage. Does this direct light through the specimen or onto the surface? Look at the crystals and describe/draw what you see.<br>• Turn the light source off and instead shine the flashlight down onto the surface of the salt crystals. Adjust the flashlight to point as much light onto the surface as you can. Look at the crystals and describe how this is different from the lower light source.</p><p>➜ NARRATE &amp; DISCUSS</p>","","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=2","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recT7EquFdW2z18Q1","3","1","20m General Science: Grade 4 - Lesson 3","<p>Zooming in Further<br>⍞ Materials: The Universe in You</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>What did the girl in this book see last time? Look at the pictures, as needed.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>p.9-end &quot;The smallest hairs&quot; - &quot;the universe within.&quot;</p>","<p>★ TEACHER TIP<br>Students don't need to remember all of the scientific language. Just let them hear it &quot;by the way.&quot;</p>","","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recubRuRw0NbOCTmY","4","1","20m General Science: Grade 4 - Lesson 4","<p>Imagining<br>⍞ Materials: poem link, image links</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>We've been learning about very small Things. Tell me about Things too small to see. How can we know they are there? Some of the Things in your book (and in the lab) are so small that you won't be able to see them even with your microscope. Sometimes, when we first begin looking very closely and using a microscope, it can be hard to know what we are looking at.  Read our poem for today. What do you think the author would say about the strange images we see under the microscope?</p><p>➜ READ, DISCUSS, &amp; REREAD<br>∞ Website Link: The Microbe</p><p>➜ ACTIVITY<br>Even while we keep looking and asking questions, imagining what the image reminds us of can help us think about what we're seeing. Check out the imaginings at the link, and then draw or describe some of your own using the images in the Science Photo Gallery or some that you have seen under your microscope.<br>∞ Image Link: Microscope Imaginings<br>∞ Image Link: Science Photo Gallery</p><p>• DEFINITIONS<br>sanguine: marked by eager hopefulness : confidently optimistic</p>","<p>★ TEACHER TIP<br>Students who find copywork/dictation challenging may be anxious or unsure about today's activity. Encourage them to dictate, work in tandem, or even try a digital drawing program, if this is available.</p>","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=4","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recZCLevxVllsI07x","5","1","20m General Science: Grade 4 - Lesson 5","<p>Louis Pasteur<br>⍞ Materials: video link</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>Tell me what we were thinking about in the last lesson. The invention of the microscope allowed many scientists to begin looking closer and asking questions. Louis Pasteur is one of the most famous. Let's hear his story today.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Louis Pasteur (10:36)</p><p>• Pasteur said, &quot;Do not let yourself be tainted with barren skepticism.&quot; What does that mean? How do we ask questions, like the poet who wrote the Microbe suggests, without being &quot;tainted with barren skepticism&quot;?</p>","<p>★ TEACHER TIP<br>Are your learner(s) demonstrating more ease in using the microscope? More interest/ease in describing what they see with it or how it works? If not, consider practicing together more often, exploring extra helpings, or taking a field trip to a museum or lab with microscopes. Reach out through Contact Us if you need help.</p>","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=5","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recAaBWgXJr3OVBD3","6","1","20m General Science: Grade 4 - Lesson 6","<p>Microscopy Questions Today<br>⍞ Materials: video link</p><p>➜ INTRO<br>What have we been learning about? Who was Louis Pasteur, and what kinds of questions did he ask? What kinds of questions do you think people ask with their microscopes today? For the next few weeks, we'll learn about some of today's questions.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: We Don't Know Why Moth Wings Glow (10:09)</p>","<p>★ TEACHER NOTE<br>The lesson video mentions evolution and adaptation during 5:37-6:40. Teachers might choose to introduce the terms by the way, forward through that portion, or watch without some or all of the narration.</p>","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=6","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recFxOAgUunMxQAiv","7","1","20m General Science: Grade 4 - Lesson 7","<p>Microscopy Questions Today<br>⍞ Materials: video link</p><p>➜ INTRO<br>What did we see last week? Today we have another question that scientists are using microscopes to investigate.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: The Cryptic Origins of Yogurt (10:21)</p>","","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=7","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recUVNM8XcjztGRsh","8","1","20m General Science: Grade 4 - Lesson 8","<p>Microscopy Questions Today<br>⍞ Materials: video link</p><p>➜ INTRO<br>Tell me about our video from last week. Let's learn about one more question today.</p><p>➜ VIEW, NARRATE, &amp; DISCUSS<br>∞ Video Link: Tiny Mysteries from the Black Sea (8:07)</p>","","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=8","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recAscQCHzDIPFahI","9","1","20m General Science: Grade 4 - Lesson 9","<p>The Universe in You<br>⍞ Materials: The Universe in You</p><p>➜ INTRO<br>Tell me about some of the questions that scientists are using microscopes to investigate. Now that you've seen your own cells in the lab, let's read our book one more time.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>The Universe in You (whole book)</p>","","","Lesson","0","FALSE"
"alveary-recMYadcz9N8jmHYs","alveary-recB0y3HMQpkdoIxC","10","1","20m General Science: Grade 4 - Lesson 10","<p>Zooming In Even More<br>⍞ Materials: website link, printable</p><p>PREP: Read Teacher Tip</p><p>➜ INTRO<br>What are some of the most interesting Things you've looked at with your microscope? What else would you like to see? You may have noticed that when you zoom in as much as you can, the image starts to get blurry. Once they zoom in that far, scientists have to use another kind of microscope to zoom in even more. The Science Photo link contains a gallery of images using these special microscopes. The scientist who prepared these images added color to help draw our attention to certain features. Explore the gallery.</p><p>➜ VIEW<br>∞ Website Link: Science Photo Gallery</p><p>➜ ACTIVITY<br>The links below contain a collection of original images without color that a scientist shared especially for you. You may choose images from this collection to add your own color.  Which features do you find most interesting? Which ones do you want your viewer to notice?<br>∞ Printable Link: Electron Microscope Coloring Pages</p>","<p>★ TEACHER TIP<br>Students who find copywork/dictation challenging may be anxious or unsure about today's coloring activity. Encourage them to dictate, work in tandem, or even try a digital coloring program, if this is available.</p>","https://planning.alveary.org/links.html?id=recMYadcz9N8jmHYs&term=1&week=10","Lesson","0","FALSE"
