"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recN5n38Wp9qNytu4","alveary-recZhRgudy5gVCoyV","1","1","45m Labs: Grade 7 - Lesson 1","<p>Changing Constellations<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Changing Constellations, as directed in the Lab Book.</p><p>Suggested day 1: Students read the Introduction. Then compose the prelab narration in the lab notebook. These need not be more than 1-3 sentences at first, and teachers should feel free to scribe for students, as necessary. Spend the remaining time gathering materials for next week. If time permits, students may want to copy any helpful diagrams into their notebooks.</p>","<p>★ TEACHER TIP<br>Students study sky charts over different time periods to notice how observed movement of stars changes. Remember the most important objective is always building skills and habits. Pacing is only a suggestion. Students should engage with lab at a pace that is appropriate for their abilities and interest.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recroIEAQeUZGG81s","2","1","45m Labs: Grade 7 - Lesson 2","<p>Changing Constellations<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Changing Constellations, as directed in the Lab Book.</p><p>Suggested day 2: Students conduct the Procedure today, using the website in the lab book.</p>","","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-rec8HAPY3ogbrTeHf","3","1","45m Labs: Grade 7 - Lesson 3","<p>Changing Constellations<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 3 of Changing Constellations, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 3: Students complete the Analysis and Conclusion.</p>","<p>★ TEACHER TIP<br>Inviting students to share their lab notebooks is a great way to engage in discussion and keep up with their learning! They should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recgtvlLRuZ4LMNp3","4","1","45m Labs: Grade 7 - Lesson 4","<p>A Changing Moon Activity<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of A Changing Moon Activity, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction and begin the Procedure this week.</p>","<p>★ TEACHER TIP<br>Students create a model to understand the phases of the moon.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recT7CKIXzXtl4bg3","5","1","45m Labs: Grade 7 - Lesson 5","<p>A Changing Moon Activity<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 2 of A Changing Moon Activity, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 2: Students complete the Procedure, as well as Analysis and Conclusions, this week.</p>","<p>★ TEACHER TIP<br>Be sure to have students share their notebooks, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recMIkgtvpGBbHrpl","6","1","45m Labs: Grade 7 - Lesson 6","<p>A Curved Earth<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of A Curved Earth, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction and begin the Procedure this week.</p>","<p>★ TEACHER TIP<br>Students use sky charts to support or refute the hypothesis that the Earth is curved.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recHqQZfqB49QMKfi","7","1","45m Labs: Grade 7 - Lesson 7","<p>A Curved Earth<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 2 of A Curved Earth, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 2: Students complete the Procedure, as well as Analysis and Conclusions, this week.</p>","<p>★ TEACHER TIP<br>Be sure to have students share their notebooks, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-rec6518IGhwZQnc69","8","1","45m Labs: Grade 7 - Lesson 8","<p>Moon and Tides<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Moon and Tides, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction. Spend the remaining time gathering materials for next week. If time permits, students may want to copy any helpful diagrams into their notebooks.</p>","<p>★ TEACHER TIP<br>Students use tide data to evaluate any connection to lunar phases.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recdqI7UX20RVNezx","9","1","45m Labs: Grade 7 - Lesson 9","<p>Moon and Tides<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Moon and Tides, as directed in the Lab Book.</p><p>Suggested day 2: Students conduct the Procedure today, using the website and constructing tables.</p>","","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-receuDOH0RzHuSDEy","10","1","45m Labs: Grade 7 - Lesson 10","<p>Moon and Tides<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 3 of Moon and Tides, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 3: Students complete the Analysis and Conclusion.</p>","<p>★ TEACHER TIP<br>Be sure to have students share their notebooks, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recyYAuSYALFhfx8X","11","1","45m Labs: Grade 7 - Lesson 11","<p>Catch Up<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>➜ CATCH UP<br>Use this time to catch up on lessons in this or another course, or explore Extra Helpings.</p>","","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recEraviSSHp6Zxfl","12","1","45m Labs: Grade 7 - Lesson 12","<p>Exam Week</p><p>➜ EXAMS<br>Answer question(s) related to the course.</p><p>Questions will come from:<br>Grade 7 Lab Book</p>","","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recRsO3jOHsk9hOH4","13","1","45m Labs: Grade 7 - Lesson 13","<p>Engineering a Catapult<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Engineering a Catapult, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction. Spend the remaining time gathering materials for next week. If time permits, students may begin steps 1-2 of the Procedure or may wait until next week.</p>","<p>★ TEACHER TIP<br>Students construct and test a catapult to learn about a simple machine. Remember, the most important objective is always building skills and habits. Pacing is only a suggestion. Students should engage with the lab at a pace that is appropriate for their abilities and interests.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-rec0DrQsjcj56z4Q3","14","1","45m Labs: Grade 7 - Lesson 14","<p>Engineering a Catapult<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Engineering a Catapult, as directed in the Lab Book.</p><p>Suggested day 2: Students complete the Procedure today.</p>","","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-rechLT7nN2Lqd8PDO","15","1","45m Labs: Grade 7 - Lesson 15","<p>Engineering a Catapult<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 3 of Engineering a Catapult, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 3: Students complete the Analysis and Conclusion.</p>","<p>★ TEACHER TIP<br>Be sure to have students share their notebooks, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recvwgKL0lB41Pr98","16","1","45m Labs: Grade 7 - Lesson 16","<p>Engineering a Complex Machine<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 1 of Engineering a Complex Machine, as directed in the Lab Book.</p><p>Suggested day 1: Students complete the Introduction, gather materials, and begin step 1 of the Procedure.</p>","<p>★ TEACHER TIP<br>Students construct a device with several simple machines combined.</p>","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recor6n2iKjcl2NiI","17","1","45m Labs: Grade 7 - Lesson 17","<p>Engineering a Complex Machine<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>➜ LAB DAY<br>Complete day 2 of Engineering a Complex Machine, as directed in the Lab Book.</p><p>Suggested day 2: Students conduct most of the Procedure today. Depending on time, they may choose to leave step 3 until next week.</p>","","","Lab","0","FALSE"
"alveary-recN5n38Wp9qNytu4","alveary-recr3Pr21eKL7AzoM","18","1","45m Labs: Grade 7 - Lesson 18","<p>Engineering a Complex Machine<br>⍞ Materials: Grade 7 Lab Book and materials listed within</p><p>PREP: Read Teacher Tip</p><p>➜ LAB DAY<br>Complete day 3 of Engineering a Complex Machine, as directed in the Lab Book. Be sure to narrate the lab to your teacher by showing them your lab notebook.</p><p>Suggested day 3: Students complete the lab this week.</p>","<p>★ TEACHER TIP<br>Be sure to have students share their notebooks, during which they should be able to discuss the science and explain what they did.</p>","","Lab","0","FALSE"
