"course_custom_id","assignment_custom_id","assignment_week","assignment_day","assignment_name","assignment_description","assignment_teachersNote","assignment_linksUrl","assignment_type","assignment_duration","assignment_graded"
"alveary-recNQuj8WsKZWTqtF","alveary-recW1uKKbBE7FyKFs","1","1","15m Lit./Mythology: Grade 3 - Lesson 1","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>OPTION 1: A Wonder Book<br>PREP: Read A Wonder Book for Girls and Boys<br>&quot;Preface&quot;</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;Introductory to The Three Golden Apples&quot; p.110-112 &quot;The snow-storm&quot; - &quot;made their appearance.&quot;<br>---------------<br>OPTION 2: Pilgrim's Progress Book 2<br>➜ INTRO<br>In Book 1 of Pilgrim's Progress, Christian went on a journey from the City of Destruction to the Celestial City, but his wife Christiana and their children would not go with him. Book 2 is the story of Christiana and the children. As the story begins, the narrator is talking to Mr. Sagacity. &quot;Sagacity&quot; means great intelligence and wisdom.</p><p>➜ READ, NARRATE, &amp; DISCUSS<br>&quot;Introduction&quot; p.197-202 &quot;Courteous companions&quot; - &quot;his companions.&quot;</p>","<p>★ TEACHER TIP<br>Be sure to watch the video in the Quick Links and take note of Planning and Prep before beginning any written narration!</p>","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-recQhwqlfHsvZrRe9","2","1","15m Lit./Mythology: Grade 3 - Lesson 2","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;Introductory to The Three Golden Apples&quot; p.113-116 &quot;Go away,&quot; - &quot;the mantelpiece.&quot;<br>---------------<br>➜ INTRO (Option 2: Pilgrim's Progress Book 2)<br>Today, Christiana will talk with her neighbor, Mrs. Timorous. &quot;Timorous&quot; means nervous and afraid. Have you ever felt timorous?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;Introduction&quot; p.203-209 &quot;The next morning&quot; - &quot;handsome fellow.&quot;</p>","<p>★ TEACHER TIP<br>Be sure to take a second to recall where you stopped in the story last time before reading today!</p>","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-reculoYKdINpCLzB9","3","1","15m Lit./Mythology: Grade 3 - Lesson 3","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ INTRO (Option 1: A Wonder Book)<br>The Stranger Meets Some Maidens</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.117-120 &quot;Did you ever&quot; - &quot;serpents and dragons.&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The First Stage&quot; p.211-214 &quot;By this time,&quot; - &quot;overtake them.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-recDtVfMNyqre5Dqm","4","1","15m Lit./Mythology: Grade 3 - Lesson 4","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.120-123 &quot;The young women&quot; - &quot;very short time!&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The First Stage&quot; p.214-217 &quot;Due to&quot; - &quot;the way.&quot;</p>","","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-reciA59XciNOEJtpB","5","1","15m Lit./Mythology: Grade 3 - Lesson 5","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.124-126 &quot;Seeing how earnestly&quot; - &quot;habit of visiting.&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The First Stage&quot; p.217-219 &quot;So He left&quot; - &quot;of his pilgrimage.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-rec2c9mrzKes4RFse","6","1","15m Lit./Mythology: Grade 3 - Lesson 6","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.126-129 &quot;Hercules then asked&quot; - &quot;garden of the Hesperides?&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The Second Stage&quot; p.221-225 &quot;So I saw&quot; - &quot;much blame.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-receoPO7kJfwIPvXa","7","1","15m Lit./Mythology: Grade 3 - Lesson 7","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.129-134 &quot;As you may&quot; - &quot;be at an end.&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The Second Stage&quot; p.225-227 &quot;Mercy gave&quot; - &quot;Master's house.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-recui5CochNnDQWOJ","8","1","15m Lit./Mythology: Grade 3 - Lesson 8","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.134-138 &quot;Nothing was before&quot; - &quot;this poor giant.&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The Second Stage&quot; p.227-230 &quot;After they&quot; - &quot;some more.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-recOOkcDUBCX9HKta","9","1","15m Lit./Mythology: Grade 3 - Lesson 9","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.138-141 &quot;Poor Fellow!&quot; - &quot;those of Hercules.&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The Second Stage&quot; p.230-236 &quot;So he led&quot; - &quot;they were brought.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
"alveary-recNQuj8WsKZWTqtF","alveary-recVijK4N0aKsXhdi","10","1","15m Lit./Mythology: Grade 3 - Lesson 10","<p>⍞ Materials: A Wonder Book OR Pilgrim's Progress Book 2</p><p>➜ RECAP<br>What happened last time?</p><p>➜ READ, NARRATE, &amp; DISCUSS (Option 1: A Wonder Book)<br>&quot;The Three Golden Apples&quot; p.141-146 &quot;When this was&quot; - &quot;bellowing after Hercules!&quot;<br>---------------<br>➜ READ, NARRATE, &amp; DISCUSS (Option 2: Pilgrim's Progress Book 2)<br>&quot;The Third Stage&quot; p.237-242 &quot;The Interpreter&quot; - &quot;combatants are.&quot;</p><p>• ILLUSTRATE - Draw a scene from the story using watercolor or another medium such as chalk, pastels, or crayons.</p>","","","Lesson","0","FALSE"
